"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY 100","22,016.70","22,024.15","21,750.25","21,974.60","21,770.75","-203.85","-0.93","51,83,86,922","31,602.40","22,027.00","16,696.25","3.14","20.85"
"TVSMOTOR","1,994.80","2,062.90","1,980.00","1,979.30","2,038.80","59.50","3.01","21,95,125","446.33","2,062.90","967.55","7.10","98.91"
"MOTHERSON","105.55","107.20","103.90","104.05","106.00","1.95","1.87","3,20,24,265","337.57","108.90","61.80","11.26","40.37"
"ADANIPORTS","1,160.00","1,182.00","1,152.00","1,154.25","1,172.40","18.15","1.57","87,60,094","1,024.55","1,182.00","395.10","14.26","45.00"
"SHREECEM","26,983.05","27,600.00","26,950.05","27,023.30","27,380.00","356.70","1.32","34,058","93.25","29,250.00","21,410.00","-1.23","14.58"
"IRCTC","914.20","929.00","905.85","905.90","916.50","10.60","1.17","96,04,429","881.82","929.00","557.10","22.28","44.06"
"SHRIRAMFIN","2,184.00","2,225.00","2,163.55","2,172.40","2,194.05","21.65","1.00","14,97,595","329.51","2,225.00","1,190.00","8.11","69.65"
"DLF","760.50","773.45","751.30","752.95","760.25","7.30","0.97","44,48,637","338.72","773.45","336.50","16.83","105.35"
"ONGC","218.00","220.80","217.10","216.45","217.65","1.20","0.55","1,93,10,595","422.75","220.80","140.10","11.23","47.91"
"NTPC","316.45","318.35","312.60","314.95","316.60","1.65","0.52","1,01,36,462","320.46","325.65","162.55","11.02","87.25"
"SUNPHARMA","1,305.40","1,309.95","1,299.30","1,300.20","1,307.00","6.80","0.52","16,78,133","218.79","1,328.50","922.45","5.62","29.40"
"HEROMOTOCO","4,014.90","4,050.00","3,993.55","3,990.30","4,010.90","20.60","0.52","5,08,360","204.47","4,193.40","2,246.00","7.91","46.20"
"HCLTECH","1,435.00","1,452.60","1,430.55","1,432.80","1,439.90","7.10","0.50","20,25,264","292.48","1,509.90","1,016.25","6.14","40.19"
"ADANIGREEN","1,685.30","1,714.00","1,665.00","1,674.00","1,681.30","7.30","0.44","11,37,776","192.25","2,185.00","439.10","8.37","-8.61"
"BPCL","456.95","464.30","451.45","453.10","454.80","1.70","0.38","91,16,305","418.06","482.50","314.05","-3.28","32.00"
"BAJFINANCE","7,677.00","7,830.00","7,631.30","7,711.15","7,740.00","28.85","0.37","11,21,209","867.49","8,192.00","5,485.70","5.86","29.36"
"POWERGRID","242.40","245.25","240.40","241.25","242.00","0.75","0.31","1,35,85,746","329.85","245.25","153.19","6.01","16.46"
"EICHERMOT","3,890.00","3,960.40","3,877.50","3,877.05","3,887.80","10.75","0.28","4,01,263","156.92","4,200.00","2,836.00","-4.21","19.49"
"ICICIPRULI","541.00","550.60","539.65","541.00","542.30","1.30","0.24","15,79,306","85.95","615.60","380.70","-0.29","14.58"
"IOC","134.00","136.10","132.25","132.70","132.90","0.20","0.15","2,61,99,907","351.66","136.10","75.75","11.66","65.71"
"BAJAJ-AUTO","7,018.95","7,049.85","6,961.50","6,978.50","6,985.10","6.60","0.09","3,12,733","219.15","7,084.00","3,520.05","14.95","91.75"
"HAL","3,017.00","3,034.95","2,985.00","2,998.85","3,001.00","2.15","0.07","16,82,520","505.99","3,079.00","1,150.00","9.58","19.80"
"BHARTIARTL","1,050.00","1,059.00","1,045.25","1,046.60","1,046.75","0.15","0.01","44,89,695","472.59","1,063.65","735.80","4.88","31.79"
"TATAMTRDVR","531.60","532.65","524.00","526.50","526.40","-0.10","-0.02","7,53,580","39.74","537.30","202.00","9.44","155.89"
"TITAN","3,770.00","3,776.85","3,695.80","3,712.55","3,710.95","-1.60","-0.04","12,02,148","448.23","3,776.85","2,269.60","1.96","46.02"
