"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY COMMODITIES","7,740.30","7,748.00","7,635.15","7,704.45","7,643.50","-60.95","-0.79","19,95,95,499","7,568.71","7,782.75","5,353.55","6.01","30.43"
"HINDPETRO","424.00","438.00","422.20","420.00","429.00","9.00","2.14","1,45,64,712","627.96","438.00","211.65","11.26","68.07"
"SHREECEM","26,983.05","27,600.00","26,950.05","27,023.30","27,380.00","356.70","1.32","34,058","93.25","29,250.00","21,410.00","-2.34","13.29"
"ONGC","218.00","220.80","217.10","216.45","217.65","1.20","0.55","1,93,10,595","422.75","220.80","140.10","10.46","46.90"
"NTPC","316.45","318.35","312.60","314.95","316.60","1.65","0.52","1,01,36,462","320.46","325.65","162.55","10.49","86.36"
"ADANIGREEN","1,685.30","1,714.00","1,665.00","1,674.00","1,681.30","7.30","0.44","11,37,776","192.25","2,185.00","439.10","7.98","-8.94"
"BPCL","456.95","464.30","451.45","453.10","454.80","1.70","0.38","91,16,305","418.06","482.50","314.05","-3.69","31.45"
"IOC","134.00","136.10","132.25","132.70","132.90","0.20","0.15","2,61,99,907","351.66","136.10","75.75","11.70","65.77"
"PIDILITIND","2,738.95","2,738.95","2,692.60","2,722.60","2,720.00","-2.60","-0.10","2,68,950","72.98","2,792.00","2,250.05","6.28","7.94"
"GRASIM","2,079.50","2,083.70","2,057.90","2,079.50","2,077.00","-2.50","-0.12","5,57,308","115.27","2,175.00","1,527.05","0.46","23.74"
"TATACHEM","1,109.00","1,110.80","1,082.15","1,104.70","1,100.50","-4.20","-0.38","12,06,551","132.26","1,141.00","912.00","10.82","16.49"
"TATAPOWER","344.00","344.00","337.35","340.75","338.95","-1.80","-0.53","1,45,48,833","494.99","349.70","182.35","5.32","65.90"
"APLAPOLLO","1,524.05","1,547.80","1,494.55","1,523.75","1,514.90","-8.85","-0.58","7,25,066","109.87","1,800.00","1,047.00","-4.86","36.10"
"COALINDIA","386.45","388.65","379.25","384.25","381.80","-2.45","-0.64","94,24,716","360.32","395.85","207.60","9.47","79.35"
"ACC","2,400.05","2,407.10","2,329.75","2,377.45","2,360.00","-17.45","-0.73","5,38,613","127.11","2,488.00","1,592.35","11.21","-1.59"
"DEEPAKNTR","2,451.95","2,459.95","2,401.00","2,447.95","2,429.00","-18.95","-0.77","2,52,063","61.33","2,521.15","1,730.00","10.50","26.41"
"ULTRACEMCO","10,078.00","10,080.00","9,925.05","10,016.05","9,934.95","-81.10","-0.81","1,76,843","176.43","10,526.00","6,604.10","6.40","43.45"
"RELIANCE","2,610.00","2,631.95","2,568.95","2,607.70","2,586.00","-21.70","-0.83","38,67,326","1,005.71","2,856.00","2,180.00","6.19","2.79"
"JSWSTEEL","835.75","836.65","820.70","829.40","822.00","-7.40","-0.89","11,07,367","91.54","895.75","649.05","-1.19","13.87"
"TATASTEEL","135.30","135.95","131.75","133.65","132.30","-1.35","-1.01","3,95,59,717","528.64","141.25","101.55","3.44","15.56"
"PIIND","3,473.00","3,473.00","3,400.00","3,460.50","3,405.00","-55.50","-1.60","2,42,934","83.28","4,011.15","2,868.90","-9.96","5.24"
"HINDALCO","587.00","592.50","576.45","587.00","577.40","-9.60","-1.64","44,25,767","257.11","620.50","381.00","12.81","26.88"
"ADANIPOWER","553.95","553.95","540.00","551.10","541.95","-9.15","-1.66","9,75,444","53.07","589.45","132.40","-","-"
"DALBHARAT","2,393.10","2,405.00","2,298.20","2,390.70","2,343.40","-47.30","-1.98","3,71,369","86.89","2,430.70","1,672.00","2.55","27.47"
"SAIL","117.10","117.60","114.00","116.95","114.60","-2.35","-2.01","2,18,30,246","251.48","126.90","77.60","19.22","36.15"
"AMBUJACEM","544.25","544.25","526.90","542.35","530.50","-11.85","-2.18","33,33,769","177.81","557.90","315.30","9.71","4.34"
"VEDL","265.85","267.60","257.80","265.85","259.50","-6.35","-2.39","78,90,414","205.73","340.75","208.00","8.60","-14.15"
"JINDALSTEL","738.95","740.35","715.20","735.75","717.15","-18.60","-2.53","13,13,588","95.10","767.90","503.00","7.21","24.47"
"UPL","581.00","582.80","560.05","581.25","561.25","-20.00","-3.44","53,45,743","302.99","780.00","528.15","-0.67","-19.06"
"SRF","2,468.00","2,478.95","2,385.00","2,480.60","2,393.50","-87.10","-3.51","4,95,983","120.04","2,636.00","2,040.00","2.37","10.81"
"NAVINFLUOR","3,825.05","3,827.95","3,600.00","3,822.65","3,609.00","-213.65","-5.59","6,37,074","232.39","4,950.00","3,356.55","0.52","-1.04"
