"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY INDIA CONSUMPTION","9,636.65","9,639.00","9,491.05","9,604.95","9,497.90","-107.05","-1.11","6,16,55,732","7,026.62","9,650.85","7,039.60","3.61","26.61"
"DLF","760.50","773.45","751.30","752.95","760.25","7.30","0.97","44,48,637","338.72","773.45","336.50","16.83","105.35"
"HEROMOTOCO","4,014.90","4,050.00","3,993.55","3,990.30","4,010.90","20.60","0.52","5,08,360","204.47","4,193.40","2,246.00","7.91","46.20"
"EICHERMOT","3,890.00","3,960.40","3,877.50","3,877.05","3,887.80","10.75","0.28","4,01,263","156.92","4,200.00","2,836.00","-4.21","19.49"
"BAJAJ-AUTO","7,018.95","7,049.85","6,961.50","6,978.50","6,985.10","6.60","0.09","3,12,733","219.15","7,084.00","3,520.05","14.95","91.75"
"BHARTIARTL","1,050.00","1,059.00","1,045.25","1,046.60","1,046.75","0.15","0.01","44,89,695","472.59","1,063.65","735.80","4.88","31.79"
"TITAN","3,770.00","3,776.85","3,695.80","3,712.55","3,710.95","-1.60","-0.04","12,02,148","448.23","3,776.85","2,269.60","1.96","46.02"
"MCDOWELL-N","1,110.05","1,127.15","1,095.00","1,101.05","1,097.95","-3.10","-0.28","12,38,667","137.37","1,127.15","730.55","5.03","28.17"
"TATAPOWER","344.00","344.00","337.35","340.75","338.95","-1.80","-0.53","1,45,48,833","494.99","349.70","182.35","4.76","65.02"
"TRENT","3,080.95","3,083.20","3,037.80","3,065.55","3,048.40","-17.15","-0.56","3,03,947","92.91","3,108.45","1,155.00","7.15","143.93"
"COLPAL","2,524.95","2,531.05","2,477.00","2,514.65","2,499.80","-14.85","-0.59","2,26,675","56.73","2,544.00","1,434.60","9.02","64.88"
"INDHOTEL","461.45","461.50","450.00","456.05","453.35","-2.70","-0.59","19,54,521","88.66","467.00","280.05","3.71","45.55"
"VBL","1,279.15","1,293.95","1,260.00","1,279.15","1,271.00","-8.15","-0.64","16,54,957","211.49","1,380.00","550.00","18.98","-2.41"
"MARUTI","10,005.00","10,128.95","9,911.90","10,017.00","9,951.00","-66.00","-0.66","6,00,153","599.25","10,932.85","8,130.00","-6.33","18.65"
"APOLLOHOSP","5,750.00","5,774.85","5,640.00","5,754.25","5,685.85","-68.40","-1.19","1,57,009","89.24","5,839.95","4,123.00","2.28","29.51"
"MAXHEALTH","719.00","719.95","697.55","714.75","705.85","-8.90","-1.25","10,08,539","71.52","745.95","411.90","3.87","62.56"
"DMART","3,893.95","3,919.90","3,791.00","3,863.50","3,814.50","-49.00","-1.27","6,92,896","265.73","4,206.00","3,292.00","-6.54","-0.99"
"NESTLEIND","2,683.00","2,689.00","2,611.00","2,666.40","2,630.00","-36.40","-1.37","10,32,378","272.61","2,769.30","1,788.00","-89.43","-86.83"
"HINDUNILVR","2,624.95","2,626.00","2,566.50","2,620.05","2,579.80","-40.25","-1.54","11,89,828","306.87","2,769.65","2,393.00","2.22","0.07"
"ASIANPAINT","3,355.00","3,376.50","3,294.85","3,355.55","3,301.00","-54.55","-1.63","5,45,884","181.35","3,568.00","2,685.85","2.05","10.74"
"ADANIENSOL","1,170.85","1,172.35","1,140.00","1,164.00","1,144.00","-20.00","-1.72","8,96,113","103.13","2,799.95","631.50","1.06","-"
"BRITANNIA","5,305.00","5,305.00","5,171.05","5,272.35","5,180.00","-92.35","-1.75","2,36,628","122.92","5,386.05","4,153.00","4.76","18.77"
"ITC","475.00","475.50","464.55","473.95","465.35","-8.60","-1.81","80,03,177","374.36","499.70","326.40","3.64","38.93"
"TATACONSUM","1,125.05","1,129.00","1,094.65","1,122.95","1,102.10","-20.85","-1.86","17,22,755","190.44","1,131.15","686.60","16.73","45.13"
"NAUKRI","5,295.00","5,303.20","5,126.65","5,246.15","5,147.00","-99.15","-1.89","2,17,738","113.59","5,319.05","3,308.20","8.42","39.54"
"M&M","1,648.15","1,653.40","1,606.10","1,642.00","1,606.10","-35.90","-2.19","14,92,195","242.49","1,758.00","1,123.40","-3.14","27.77"
"HAVELLS","1,405.45","1,405.45","1,372.25","1,405.50","1,374.00","-31.50","-2.24","4,85,181","67.43","1,465.85","1,131.80","2.43","15.35"
"DABUR","572.50","572.50","551.00","569.05","552.95","-16.10","-2.83","21,52,367","120.13","597.10","503.65","1.05","0.07"
"PAGEIND","38,853.00","38,907.00","37,560.00","38,908.35","37,720.00","-1,188.35","-3.05","41,857","158.66","43,570.00","34,952.65","0.96","-9.63"
"GODREJCP","1,184.20","1,184.20","1,149.00","1,219.85","1,175.00","-44.85","-3.68","47,64,515","555.99","1,230.00","887.00","15.06","28.12"
"MARICO","530.00","536.90","520.00","546.00","524.20","-21.80","-3.99","51,26,083","268.68","595.00","462.70","-1.27","2.09"
