"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY INDIA DIGITAL","7,351.45","7,353.95","7,280.25","7,322.25","7,291.75","-30.50","-0.42","38,58,38,768","6,187.12","7,365.45","4,755.25","6.77","41.92"
"POLICYBZR","805.00","825.00","800.25","798.80","817.00","18.20","2.28","11,69,762","95.31","891.00","390.70","-2.45","73.43"
"NYKAA","176.00","182.00","175.15","173.40","177.00","3.60","2.08","1,60,51,230","285.95","183.40","114.25","1.64","13.15"
"IRCTC","914.20","929.00","905.85","905.90","916.50","10.60","1.17","96,04,429","881.82","929.00","557.10","20.86","42.38"
"PAYTM","687.00","702.95","684.20","685.15","689.60","4.45","0.65","58,01,579","402.69","998.30","508.10","5.21","24.27"
"HCLTECH","1,435.00","1,452.60","1,430.55","1,432.80","1,439.90","7.10","0.50","20,25,264","292.48","1,509.90","1,016.25","5.04","38.73"
"CYIENT","2,250.00","2,268.95","2,221.70","2,235.30","2,243.00","7.70","0.34","1,32,089","29.62","2,458.95","802.20","14.64","175.10"
"BHARTIARTL","1,050.00","1,059.00","1,045.25","1,046.60","1,046.75","0.15","0.01","44,89,695","472.59","1,063.65","735.80","4.63","31.48"
"IDEA","17.20","17.65","17.05","17.10","17.10","-","-","28,95,03,212","501.42","18.40","5.70","32.56","119.23"
"KPITTECH","1,514.25","1,519.30","1,491.60","1,506.55","1,505.00","-1.55","-0.10","4,74,520","71.39","1,640.00","677.00","1.89","110.22"
"COFORGE","6,134.95","6,135.00","6,009.00","6,076.35","6,055.00","-21.35","-0.35","3,31,217","200.81","6,530.00","3,564.75","5.07","55.76"
"BSOFT","720.00","722.70","708.00","714.35","710.20","-4.15","-0.58","21,34,893","152.86","746.00","250.25","8.61","151.84"
"TATAELXSI","8,647.70","8,695.00","8,565.10","8,645.85","8,588.00","-57.85","-0.67","43,107","37.08","9,200.00","5,882.55","3.35","39.59"
"INFY","1,528.95","1,536.00","1,513.25","1,532.55","1,520.00","-12.55","-0.82","44,40,136","676.55","1,619.75","1,185.30","2.78","5.80"
"PERSISTENT","7,365.00","7,385.40","7,210.10","7,350.75","7,288.50","-62.25","-0.85","1,82,858","133.10","7,560.00","3,840.00","13.71","90.83"
"LTTS","5,250.00","5,250.00","5,150.00","5,217.70","5,173.00","-44.70","-0.86","61,751","31.99","5,367.00","3,215.85","5.64","43.95"
"ZOMATO","133.65","133.65","130.00","133.30","132.10","-1.20","-0.90","3,89,12,423","512.13","134.35","44.35","11.13","141.27"
"HAPPSTMNDS","905.05","908.90","890.00","903.80","893.00","-10.80","-1.19","2,85,774","25.61","1,023.00","763.25","2.39","3.47"
"WIPRO","457.50","460.00","449.05","456.60","450.60","-6.00","-1.31","50,41,443","228.86","483.50","352.00","8.05","19.53"
"TCS","3,737.90","3,739.75","3,672.40","3,737.90","3,680.85","-57.05","-1.53","10,67,805","394.71","3,929.00","3,070.25","3.07","16.39"
"LTIM","5,988.00","5,988.00","5,835.05","5,947.65","5,838.00","-109.65","-1.84","1,93,870","113.97","6,356.00","4,121.00","4.19","41.69"
"INTELLECT","822.50","825.00","800.00","822.50","807.00","-15.50","-1.88","1,96,374","15.87","846.80","388.65","9.88","94.97"
"NAUKRI","5,295.00","5,303.20","5,126.65","5,246.15","5,147.00","-99.15","-1.89","2,17,738","113.59","5,319.05","3,308.20","10.55","42.29"
"SONATSOFTW","719.00","719.90","699.25","715.35","701.20","-14.15","-1.98","4,67,040","32.85","804.00","283.75","-49.57","21.75"
"TANLA","1,108.80","1,117.65","1,077.20","1,104.20","1,082.05","-22.15","-2.01","5,85,242","63.85","1,317.95","493.00","20.22","59.36"
"TECHM","1,250.20","1,254.25","1,221.40","1,248.30","1,223.00","-25.30","-2.03","13,20,667","163.04","1,333.05","981.05","1.88","26.58"
"TATACOMM","1,760.00","1,763.45","1,714.10","1,758.45","1,722.00","-36.45","-2.07","2,80,952","48.75","1,957.35","1,156.80","3.75","32.55"
"MPHASIS","2,620.00","2,634.90","2,558.65","2,637.55","2,581.00","-56.55","-2.14","3,80,035","98.01","2,788.50","1,660.05","8.67","33.36"
"OFSS","4,488.00","4,491.00","4,333.00","4,457.65","4,354.80","-102.85","-2.31","99,905","43.88","4,566.55","2,984.25","7.90","48.77"
"INDIAMART","2,745.00","2,745.00","2,666.00","2,743.15","2,674.00","-69.15","-2.52","1,56,836","42.22","3,335.55","2,145.83","2.46","-36.79"
"AFFLE","1,306.00","1,313.10","1,268.00","1,306.35","1,272.00","-34.35","-2.63","1,86,922","24.11","1,336.90","866.50","15.85","23.79"
