"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY INDIA MANUFACTURING","11,080.15","11,088.90","10,936.50","11,031.90","10,944.90","-87.00","-0.79","69,11,35,776","14,688.43","-","-","4.82","33.42"
"TRIDENT","42.00","49.05","42.00","40.90","49.05","8.15","19.93","45,46,68,901","2,093.75","49.05","25.05","11.60","21.36"
"TVSMOTOR","1,994.80","2,062.90","1,980.00","1,979.30","2,038.80","59.50","3.01","21,95,125","446.33","2,062.90","967.55","4.03","93.20"
"KPRMILL","766.00","779.05","752.65","761.65","778.50","16.85","2.21","7,70,153","59.12","928.15","505.95","-7.36","46.88"
"KAJARIACER","1,348.00","1,393.20","1,348.00","1,343.45","1,371.70","28.25","2.10","4,76,045","65.50","1,523.80","1,006.50","-3.04","15.98"
"MOTHERSON","105.55","107.20","103.90","104.05","106.00","1.95","1.87","3,20,24,265","337.57","108.90","61.80","9.53","38.18"
"ESCORTS","2,805.00","2,867.80","2,804.85","2,804.85","2,847.00","42.15","1.50","3,38,266","96.05","3,440.15","1,807.70","-10.82","29.56"
"CHAMBLFERT","375.90","385.40","368.00","372.80","378.40","5.60","1.50","97,22,470","367.59","402.90","248.40","9.04","18.99"
"HONAUT","36,999.00","37,425.15","36,660.00","36,855.20","37,401.00","545.80","1.48","5,104","18.96","44,150.00","34,343.40","1.62","-7.51"
"SKFINDIA","4,600.00","4,643.00","4,551.05","4,589.70","4,629.00","39.30","0.86","23,572","10.87","5,534.95","3,960.10","0.45","-0.08"
"SUNPHARMA","1,305.40","1,309.95","1,299.30","1,300.20","1,307.00","6.80","0.52","16,78,133","218.79","1,328.50","922.45","5.21","28.90"
"HEROMOTOCO","4,014.90","4,050.00","3,993.55","3,990.30","4,010.90","20.60","0.52","5,08,360","204.47","4,193.40","2,246.00","7.39","45.50"
