"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY INFRASTRUCTURE","7,428.40","7,445.40","7,363.05","7,397.65","7,372.65","-25.00","-0.34","18,48,76,593","9,572.57","7,445.40","4,930.60","6.06","40.56"
"HINDPETRO","424.00","438.00","422.20","420.00","429.00","9.00","2.14","1,45,64,712","627.96","438.00","211.65","13.75","71.83"
"ADANIPORTS","1,160.00","1,182.00","1,152.00","1,154.25","1,172.40","18.15","1.57","87,60,094","1,024.55","1,182.00","395.10","14.26","45.00"
"SHREECEM","26,983.05","27,600.00","26,950.05","27,023.30","27,380.00","356.70","1.32","34,058","93.25","29,250.00","21,410.00","-1.23","14.58"
"IRCTC","914.20","929.00","905.85","905.90","916.50","10.60","1.17","96,04,429","881.82","929.00","557.10","22.28","44.06"
"DLF","760.50","773.45","751.30","752.95","760.25","7.30","0.97","44,48,637","338.72","773.45","336.50","16.83","105.35"
"ONGC","218.00","220.80","217.10","216.45","217.65","1.20","0.55","1,93,10,595","422.75","220.80","140.10","11.23","47.91"
"NTPC","316.45","318.35","312.60","314.95","316.60","1.65","0.52","1,01,36,462","320.46","325.65","162.55","11.02","87.25"
"BPCL","456.95","464.30","451.45","453.10","454.80","1.70","0.38","91,16,305","418.06","482.50","314.05","-3.28","32.00"
"CUMMINSIND","2,002.75","2,011.95","1,969.35","1,998.40","2,004.95","6.55","0.33","4,43,494","88.48","2,044.90","1,358.40","2.82","40.03"
"POWERGRID","242.40","245.25","240.40","241.25","242.00","0.75","0.31","1,35,85,746","329.85","245.25","153.19","6.01","16.46"
"IOC","134.00","136.10","132.25","132.70","132.90","0.20","0.15","2,61,99,907","351.66","136.10","75.75","11.66","65.71"
"BHARTIARTL","1,050.00","1,059.00","1,045.25","1,046.60","1,046.75","0.15","0.01","44,89,695","472.59","1,063.65","735.80","4.88","31.79"
"GRASIM","2,079.50","2,083.70","2,057.90","2,079.50","2,077.00","-2.50","-0.12","5,57,308","115.27","2,175.00","1,527.05","-0.11","23.03"
"INDIGO","2,970.00","2,991.95","2,942.75","2,954.95","2,946.00","-8.95","-0.30","4,51,446","133.67","3,049.95","1,810.65","1.87","46.15"
"LT","3,540.00","3,559.95","3,490.00","3,521.90","3,510.00","-11.90","-0.34","19,93,855","701.82","3,559.95","2,068.50","3.63","67.79"
"TATAPOWER","344.00","344.00","337.35","340.75","338.95","-1.80","-0.53","1,45,48,833","494.99","349.70","182.35","4.76","65.02"
"INDHOTEL","461.45","461.50","450.00","456.05","453.35","-2.70","-0.59","19,54,521","88.66","467.00","280.05","3.71","45.55"
"ASHOKLEY","180.50","181.85","177.40","179.45","178.35","-1.10","-0.61","1,33,59,269","239.83","191.50","133.10","1.86","20.58"
"ACC","2,400.05","2,407.10","2,329.75","2,377.45","2,360.00","-17.45","-0.73","5,38,613","127.11","2,488.00","1,592.35","10.15","-2.53"
"ULTRACEMCO","10,078.00","10,080.00","9,925.05","10,016.05","9,934.95","-81.10","-0.81","1,76,843","176.43","10,526.00","6,604.10","5.53","42.28"
"RELIANCE","2,610.00","2,631.95","2,568.95","2,607.70","2,586.00","-21.70","-0.83","38,67,326","1,005.71","2,856.00","2,180.00","5.36","1.99"
"MRF","1,33,401.00","1,33,599.95","1,31,200.00","1,32,701.25","1,31,500.00","-1,201.25","-0.91","7,613","100.67","1,33,599.95","81,380.05","11.85","41.63"
"PETRONET","228.70","229.80","225.05","228.65","226.10","-2.55","-1.12","43,05,444","97.58","254.40","191.70","7.67","3.76"
"APOLLOHOSP","5,750.00","5,774.85","5,640.00","5,754.25","5,685.85","-68.40","-1.19","1,57,009","89.24","5,839.95","4,123.00","2.28","29.51"
"SIEMENS","4,094.00","4,096.10","4,002.05","4,077.20","4,020.00","-57.20","-1.40","1,68,440","67.79","4,245.00","2,815.55","4.92","38.86"
"BALKRISIND","2,579.05","2,585.00","2,535.00","2,578.55","2,538.00","-40.55","-1.57","1,37,028","35.07","2,682.75","1,908.90","-2.34","15.08"
"GAIL","165.35","165.35","160.30","163.65","160.60","-3.05","-1.86","1,67,05,187","271.39","169.35","91.05","14.50","65.24"
"AMBUJACEM","544.25","544.25","526.90","542.35","530.50","-11.85","-2.18","33,33,769","177.81","557.90","315.30","7.25","2.00"
"CONCOR","898.85","898.85","868.05","895.90","872.95","-22.95","-2.56","10,78,181","94.77","932.70","555.00","3.27","18.24"
"GODREJPROP","2,225.00","2,264.35","2,152.95","2,244.30","2,166.00","-78.30","-3.49","8,41,774","184.61","2,264.35","1,005.00","11.98","80.13"
