"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY LARGEMIDCAP 250","13,562.20","13,567.25","13,397.10","13,529.35","13,409.05","-120.30","-0.89","2,53,42,60,516","53,828.80","13,572.10","5,635.20","4.31","33.28"
"TRIDENT","42.00","49.05","42.00","40.90","49.05","8.15","19.93","45,46,68,901","2,093.75","49.05","25.05","31.51","43.03"
"GODREJIND","851.50","903.55","840.00","841.15","885.00","43.85","5.21","29,35,183","258.85","903.55","395.00","31.50","94.68"
"GMRINFRA","80.00","88.70","80.00","83.90","87.10","3.20","3.81","20,25,70,408","1,714.35","88.70","36.00","26.12","116.44"
"TVSMOTOR","1,994.80","2,062.90","1,980.00","1,979.30","2,038.80","59.50","3.01","21,95,125","446.33","2,062.90","967.55","7.10","98.91"
"LODHA","1,091.05","1,136.95","1,091.05","1,090.55","1,119.80","29.25","2.68","12,25,361","137.01","1,198.90","355.50","22.46","6.21"
"SUNDARMFIN","3,629.00","3,750.00","3,568.05","3,625.85","3,723.00","97.15","2.68","64,790","24.05","3,800.00","2,206.00","12.90","59.85"
"METROBRAND","1,270.00","1,317.25","1,257.00","1,259.60","1,289.70","30.10","2.39","1,45,963","18.62","1,441.20","736.05","-0.36","49.49"
"POLICYBZR","805.00","825.00","800.25","798.80","817.00","18.20","2.28","11,69,762","95.31","891.00","390.70","-0.76","76.43"
"KPRMILL","766.00","779.05","752.65","761.65","778.50","16.85","2.21","7,70,153","59.12","928.15","505.95","-5.53","49.79"
"HINDPETRO","424.00","438.00","422.20","420.00","429.00","9.00","2.14","1,45,64,712","627.96","438.00","211.65","13.75","71.83"
"JKCEMENT","3,954.95","4,040.00","3,898.35","3,930.60","4,014.00","83.40","2.12","1,36,123","54.41","4,040.00","2,540.00","5.50","39.44"
"KAJARIACER","1,348.00","1,393.20","1,348.00","1,343.45","1,371.70","28.25","2.10","4,76,045","65.50","1,523.80","1,006.50","-0.98","18.45"
"NYKAA","176.00","182.00","175.15","173.40","177.00","3.60","2.08","1,60,51,230","285.95","183.40","114.25","3.69","15.43"
"MOTHERSON","105.55","107.20","103.90","104.05","106.00","1.95","1.87","3,20,24,265","337.57","108.90","61.80","11.26","40.37"
"ADANIPORTS","1,160.00","1,182.00","1,152.00","1,154.25","1,172.40","18.15","1.57","87,60,094","1,024.55","1,182.00","395.10","14.26","45.00"
"ESCORTS","2,805.00","2,867.80","2,804.85","2,804.85","2,847.00","42.15","1.50","3,38,266","96.05","3,440.15","1,807.70","-9.26","31.84"
"HONAUT","36,999.00","37,425.15","36,660.00","36,855.20","37,401.00","545.80","1.48","5,104","18.96","44,150.00","34,343.40","2.96","-6.29"
"HDFCAMC","3,275.00","3,374.00","3,275.00","3,303.60","3,348.00","44.40","1.34","4,48,252","149.82","3,374.00","1,589.50","12.16","56.89"
"SHREECEM","26,983.05","27,600.00","26,950.05","27,023.30","27,380.00","356.70","1.32","34,058","93.25","29,250.00","21,410.00","-1.23","14.58"
"IRCTC","914.20","929.00","905.85","905.90","916.50","10.60","1.17","96,04,429","881.82","929.00","557.10","22.28","44.06"
"SHRIRAMFIN","2,184.00","2,225.00","2,163.55","2,172.40","2,194.05","21.65","1.00","14,97,595","329.51","2,225.00","1,190.00","8.11","69.65"
