"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY MICROCAP 250","19,511.40","19,546.50","19,326.05","19,400.00","19,348.20","-51.80","-0.27","1,16,81,07,956","9,473.67","19,546.50","5,802.95","7.54","72.81"
"SULA","585.00","665.25","583.20","554.40","665.25","110.85","19.99","1,63,39,597","1,038.99","665.25","316.60","19.37","72.15"
"GARFIBRES","3,434.85","3,788.85","3,362.00","3,384.85","3,709.00","324.15","9.58","2,31,978","85.94","3,788.85","2,650.00","-0.11","10.18"
"DEN","59.40","64.90","59.30","58.90","63.90","5.00","8.49","2,45,03,739","153.74","64.90","25.20","4.90","70.72"
"SUBEXLTD","39.60","42.50","39.60","39.05","42.10","3.05","7.81","8,75,99,261","362.75","42.50","25.00","16.92","9.54"
"DISHTV","22.05","23.65","21.70","21.65","23.30","1.65","7.62","24,35,15,889","556.43","23.65","12.40","11.89","18.31"
"HATHWAY","23.45","25.40","23.35","23.25","24.95","1.70","7.31","7,39,72,482","182.27","25.40","12.25","18.32","36.36"
"FIEMIND","2,325.00","2,444.00","2,260.00","2,119.85","2,274.00","154.15","7.27","6,70,014","157.59","2,444.00","1,416.25","4.32","26.96"
"ELECON","942.00","1,028.00","942.00","934.85","1,000.05","65.20","6.97","25,90,941","258.01","1,028.00","349.85","-0.27","160.59"
"SPANDANA","1,189.00","1,225.00","1,170.00","1,155.75","1,220.00","64.25","5.56","5,81,462","69.50","1,225.00","470.00","17.78","104.14"
"SEQUENT","128.00","137.25","127.40","126.80","133.60","6.80","5.36","89,54,603","119.21","137.25","61.80","7.37","46.67"
"RELINFRA","231.00","247.00","229.30","229.60","241.70","12.10","5.27","86,77,503","209.61","247.00","114.60","6.92","76.34"
"RTNPOWER","10.90","10.90","10.90","10.40","10.90","0.50","4.81","1,22,80,851","13.39","11.10","2.80","13.04","166.67"
"RKFORGE","741.00","792.00","729.35","738.80","769.00","30.20","4.09","10,03,390","77.62","814.70","243.20","-0.02","198.44"
"AHLUCONT","790.00","817.40","785.25","787.60","817.40","29.80","3.78","84,303","6.77","872.55","447.65","-7.51","54.73"
"POWERMECH","4,425.00","4,511.00","4,261.00","4,340.90","4,489.80","148.90","3.43","1,26,969","56.48","5,069.45","1,570.60","4.39","108.30"
"ACCELYA","1,477.45","1,523.00","1,477.45","1,461.00","1,509.80","48.80","3.34","1,04,607","15.74","1,750.00","1,065.10","5.07","3.84"
"AARTIPHARM","496.05","510.10","489.45","488.70","504.80","16.10","3.29","5,02,593","25.16","535.35","234.80","4.70","-"
"HEMIPROP","168.20","173.50","166.80","167.00","172.50","5.50","3.29","33,13,010","56.65","173.50","79.90","16.74","55.49"
"ASTRAZEN","5,570.00","5,740.00","5,508.00","5,563.05","5,740.00","176.95","3.18","16,778","9.42","5,796.00","3,098.00","17.08","65.91"
"COSMOFIRST","615.65","646.95","610.70","615.85","634.90","19.05","3.09","1,56,938","9.94","796.90","550.05","-0.25","-17.78"
"DHANI","41.40","43.00","41.05","40.60","41.85","1.25","3.08","37,95,395","15.94","49.10","23.60","3.31","4.50"
"KIRLPNU","605.80","638.95","592.05","601.55","620.00","18.45","3.07","1,28,369","7.91","699.85","541.05","1.64","-"
"ITDCEM","287.05","297.50","287.05","286.90","295.00","8.10","2.82","10,73,649","31.49","304.85","93.20","1.54","136.52"
"MAITHANALL","1,175.70","1,214.00","1,162.05","1,169.85","1,202.40","32.55","2.78","1,71,290","20.38","1,335.50","766.55","2.78","8.59"
"JWL","352.80","358.80","345.85","342.80","352.00","9.20","2.68","31,67,555","111.87","411.00","85.20","10.05","246.26"
"RPOWER","31.65","33.15","30.80","31.40","32.10","0.70","2.23","19,01,39,992","616.62","33.15","9.05","31.11","117.30"
"GREENLAM","552.00","571.50","549.20","546.90","559.00","12.10","2.21","78,746","4.40","625.55","281.55","-1.83","64.98"
"UNICHEMLAB","447.75","462.00","447.75","445.50","455.00","9.50","2.13","53,797","2.44","462.50","264.80","6.25","48.95"
"DBCORP","286.90","292.00","282.35","282.35","288.00","5.65","2.00","3,23,114","9.28","325.00","92.75","12.58","114.47"
"DCBBANK","159.20","163.45","158.80","157.85","160.90","3.05","1.93","78,70,280","126.66","163.45","96.55","30.29","24.54"
"NAVNETEDUL","158.00","160.00","155.10","155.10","158.00","2.90","1.87","3,09,058","4.89","175.90","88.45","8.31","31.89"
"IFCI","29.95","31.55","29.45","29.80","30.35","0.55","1.85","6,61,10,574","201.97","31.55","9.00","9.76","114.39"
"ANANDRATHI","2,719.00","2,797.95","2,710.10","2,700.75","2,748.00","47.25","1.75","98,596","27.21","2,797.95","720.60","8.23","264.15"
"ARVINDFASN","435.00","447.10","429.00","435.30","441.85","6.55","1.50","5,04,533","22.17","447.10","261.10","6.87","29.34"
"IBREALEST","97.95","101.00","97.80","97.35","98.80","1.45","1.49","2,26,60,906","225.07","102.40","45.90","8.29","26.10"
"CAMLINFINE","134.40","138.95","133.25","133.40","135.20","1.80","1.35","9,99,954","13.62","186.35","124.05","-3.19","-16.15"
"NAVA","464.70","484.85","461.85","460.00","466.20","6.20","1.35","8,18,283","38.57","485.80","213.30","11.15","79.27"
"HERITGFOOD","299.50","305.45","287.80","298.10","302.00","3.90","1.31","11,83,707","35.06","314.90","135.15","27.15","-18.90"
"LANDMARK","798.95","805.55","781.00","789.80","800.00","10.20","1.29","1,11,231","8.80","887.95","482.10","0.69","42.56"
"STYLAMIND","1,650.00","1,689.00","1,616.85","1,636.15","1,655.00","18.85","1.15","45,422","7.48","1,970.70","945.00","-4.89","47.61"
"CHOICEIN","483.90","491.60","482.10","480.55","486.00","5.45","1.13","6,80,415","33.12","491.60","245.90","8.45","91.11"
"MASFIN","895.80","920.00","895.80","899.80","910.00","10.20","1.13","68,778","6.28","964.00","679.60","6.97","10.53"
"GET&D","580.00","598.70","552.65","578.65","585.00","6.35","1.10","67,930","3.93","610.00","98.55","34.82","-"
"MAHSEAMLES","929.95","950.00","929.00","925.10","935.20","10.10","1.09","1,88,714","17.75","1,081.45","297.05","-8.84","190.36"
"HGINFRA","856.20","867.50","854.05","851.90","861.00","9.10","1.07","82,017","7.06","1,019.00","617.70","0.78","27.63"
"THYROCARE","658.70","669.65","651.10","658.70","665.60","6.90","1.05","78,678","5.21","689.95","415.40","8.08","11.87"
"UNIPARTS","569.95","582.60","568.45","569.40","575.10","5.70","1.00","1,59,999","9.22","722.65","501.15","3.06","3.93"
"CONFIPET","89.00","90.10","88.25","88.15","89.00","0.85","0.96","15,07,409","13.44","104.90","55.30","-5.01","13.89"
"MSTCLTD","632.00","641.00","617.75","629.05","635.05","6.00","0.95","7,72,960","48.59","689.60","239.00","44.78","114.51"
"JPPOWER","17.00","17.45","16.85","16.85","17.00","0.15","0.89","11,10,28,540","189.97","17.80","5.15","21.66","127.70"
"CARYSIL","850.00","861.00","840.30","847.95","855.00","7.05","0.83","98,958","8.44","980.00","431.05","-5.14","83.70"
"NEOGEN","1,479.95","1,485.05","1,453.40","1,467.05","1,478.70","11.65","0.79","89,069","13.09","1,859.30","1,140.00","-1.40","17.48"
"HSCL","390.00","398.75","373.00","386.90","389.95","3.05","0.79","28,13,913","109.83","398.75","80.20","30.23","303.44"
"ICIL","290.70","294.25","287.80","289.20","291.45","2.25","0.78","2,56,024","7.44","319.65","101.25","-2.56","117.12"
"TARSONS","533.15","537.95","521.80","525.25","528.55","3.30","0.63","76,590","4.05","722.90","444.15","13.40","-23.28"
"GMDCLTD","452.20","464.20","448.60","450.05","452.85","2.80","0.62","60,89,195","277.45","464.20","122.70","8.13","202.35"
"ELECTCAST","132.00","134.35","126.80","129.80","130.60","0.80","0.62","65,01,852","85.14","134.35","31.50","17.57","241.13"
"ORIENTCEM","278.00","281.95","275.40","279.35","281.00","1.65","0.59","6,15,860","17.15","283.00","104.60","15.79","103.24"
"PSPPROJECT","738.00","744.90","728.05","735.95","740.00","4.05","0.55","88,183","6.50","846.00","652.00","-4.32","-0.86"
"THOMASCOOK","156.00","159.40","153.90","155.20","156.00","0.80","0.52","18,44,890","28.90","167.90","52.10","5.40","115.41"
"PDSL","564.90","571.00","551.60","564.15","567.00","2.85","0.51","71,060","4.00","666.00","299.60","0.73","63.69"
"ACE","913.75","916.45","899.10","911.40","915.00","3.60","0.39","1,34,704","12.20","937.00","309.00","11.82","191.83"
"DCAL","187.30","191.35","183.80","186.80","187.50","0.70","0.37","6,44,613","12.06","195.00","80.00","16.60","103.15"
"AMIORG","1,163.05","1,164.00","1,120.00","1,150.70","1,155.00","4.30","0.37","2,13,422","24.36","1,388.95","847.35","3.49","21.65"
"MANINFRA","219.05","221.00","215.00","219.05","219.80","0.75","0.34","9,68,664","21.02","224.55","66.20","10.35","200.48"
"GUFICBIO","324.80","341.95","320.95","323.90","325.00","1.10","0.34","8,07,842","26.71","348.25","177.65","-1.28","44.40"
"DBL","396.45","403.70","393.10","392.75","394.05","1.30","0.33","9,50,244","37.86","439.00","159.55","-1.39","80.20"
"GRSE","865.00","875.75","854.90","863.60","866.40","2.80","0.32","4,80,205","41.61","974.80","398.30","3.75","81.07"
"LGBBROSLTD","1,268.90","1,277.40","1,255.20","1,262.55","1,266.30","3.75","0.30","19,607","2.48","1,366.00","606.85","4.17","76.74"
"RATEGAIN","742.75","758.25","723.65","734.85","737.00","2.15","0.29","2,89,691","21.46","772.95","295.10","12.51","146.06"
"CMSINFO","378.85","383.55","377.30","378.85","379.95","1.10","0.29","4,73,161","17.99","421.40","260.80","-2.70","25.01"
"LTFOODS","202.40","204.00","200.50","202.05","202.60","0.55","0.27","6,08,048","12.30","234.60","90.00","-5.72","-"
"VESUVIUS","3,567.00","3,599.80","3,532.80","3,554.75","3,563.65","8.90","0.25","9,000","3.21","3,971.00","1,527.20","-3.30","123.56"
"BAJAJCON","227.50","231.50","224.75","227.50","228.00","0.50","0.22","6,84,246","15.62","262.40","150.90","3.98","31.69"
"JKIL","575.00","591.00","565.10","573.75","575.00","1.25","0.22","2,05,805","11.92","635.70","227.80","30.04","108.30"
"RAJRATAN","778.50","781.00","764.50","768.60","769.00","0.40","0.05","47,326","3.66","919.90","697.00","4.56","-12.99"
"GOKEX","841.60","852.95","824.00","839.60","840.00","0.40","0.05","2,50,821","21.06","1,022.95","344.45","-6.54","131.55"
"KSCL","666.05","670.80","658.80","662.55","662.55","-","-","3,34,953","22.28","692.00","466.50","9.01","28.95"
"TITAGARH","1,015.00","1,022.90","996.10","1,007.10","1,007.00","-0.10","-0.01","6,13,530","61.72","1,090.95","193.30","0.45","-"
"SIS","460.50","462.00","454.05","458.20","457.90","-0.30","-0.07","33,320","1.53","502.00","318.95","-5.21","19.25"
"DBREALTY","198.45","204.90","194.55","196.55","196.40","-0.15","-0.08","36,18,911","72.06","222.50","55.10","-5.28","122.09"
"NEWGEN","1,637.00","1,637.00","1,590.00","1,600.55","1,599.25","-1.30","-0.08","76,753","12.30","1,645.00","357.40","15.04","-"
"SIYSIL","533.40","536.00","526.30","530.60","530.00","-0.60","-0.11","1,22,429","6.52","635.00","399.30","-2.54","3.32"
"AUTOAXLES","2,160.00","2,175.55","2,121.20","2,137.55","2,134.95","-2.60","-0.12","32,309","6.90","2,693.20","1,960.10","-4.63","7.23"
"DIVGIITTS","976.25","980.90","958.05","976.25","975.00","-1.25","-0.13","24,992","2.42","1,150.00","560.00","0.20","-"
"HIKAL","302.50","303.00","300.35","302.05","301.65","-0.40","-0.13","2,20,161","6.63","418.75","250.10","5.91","-24.15"
"JINDALPOLY","675.00","681.15","666.00","677.85","676.95","-0.90","-0.13","40,152","2.70","791.50","484.95","7.81","-11.10"
"FINOPB","293.05","294.50","285.50","291.50","291.10","-0.40","-0.14","2,35,230","6.84","379.50","191.20","6.68","16.32"
"PTCIL","7,170.00","7,180.00","7,000.00","7,070.05","7,057.00","-13.05","-0.18","8,012","5.65","7,499.00","2,950.00","29.50","-"
"TIIL","2,529.95","2,574.00","2,470.00","2,525.25","2,520.35","-4.90","-0.19","7,288","1.83","2,725.00","883.25","9.57","178.31"
"KIRLOSBROS","915.80","924.30","909.50","915.45","913.40","-2.05","-0.22","19,611","1.79","1,061.55","286.10","-5.04","189.70"
"JKTYRE","395.15","399.55","390.95","393.20","392.30","-0.90","-0.23","10,52,482","41.62","411.95","141.65","12.94","105.06"
"TCI","842.05","845.00","826.00","836.60","834.65","-1.95","-0.23","21,381","1.78","912.00","591.00","-0.01","37.44"
"GABRIEL","405.00","411.05","390.35","400.95","400.00","-0.95","-0.24","2,67,491","10.77","443.95","129.45","-3.55","113.50"
"BARBEQUE","641.00","645.55","633.10","637.55","636.00","-1.55","-0.24","75,057","4.79","988.00","592.00","-4.22","-32.63"
"JTLIND","248.55","250.15","244.00","246.45","245.85","-0.60","-0.24","9,49,954","23.35","257.50","142.05","20.22","-17.20"
"SOMANYCERA","704.90","707.25","694.00","698.65","696.90","-1.75","-0.25","35,973","2.51","819.00","465.95","-5.67","39.93"
"SPLPETRO","560.00","562.30","546.50","559.50","557.80","-1.70","-0.30","81,494","4.50","618.00","345.30","0.77","43.17"
"IKIO","321.90","324.10","317.65","320.35","319.20","-1.15","-0.36","2,43,143","7.79","477.00","304.65","-6.45","-"
"ANANTRAJ","320.30","321.50","311.10","318.70","317.50","-1.20","-0.38","21,25,936","67.05","322.20","90.60","14.07","173.56"
"GHCL","609.90","610.80","592.75","605.15","602.50","-2.65","-0.44","2,12,998","12.87","659.90","464.15","5.58","14.82"
"DWARKESH","87.85","87.85","86.35","87.25","86.85","-0.40","-0.46","6,03,289","5.23","109.80","75.00","4.12","-12.79"
"LAOPALA","367.95","373.40","363.15","366.60","364.90","-1.70","-0.46","1,90,138","7.00","479.75","327.00","2.91","-6.86"
"CIGNITITEC","1,066.00","1,072.80","1,045.60","1,062.30","1,057.10","-5.20","-0.49","57,937","6.12","1,204.00","540.10","-2.33","89.70"
"STYRENIX","1,520.20","1,530.85","1,497.30","1,525.50","1,518.00","-7.50","-0.49","19,214","2.90","1,564.85","696.10","0.64","-"
"APCOTEXIND","503.50","508.80","498.60","503.50","501.00","-2.50","-0.50","27,004","1.35","588.00","398.00","-0.07","10.19"
"STARCEMENT","178.75","182.60","177.00","180.05","179.10","-0.95","-0.53","5,88,055","10.59","184.00","101.00","9.49","56.43"
"SCHNEIDER","410.00","419.95","408.80","414.15","411.95","-2.20","-0.53","2,67,183","11.09","445.95","145.65","11.53","130.28"
"SARDAEN","252.00","253.00","247.10","251.15","249.75","-1.40","-0.56","1,86,225","4.65","265.00","96.68","0.68","-77.01"
"RAMKY","808.90","813.90","789.60","798.50","794.00","-4.50","-0.56","90,095","7.21","829.00","251.50","10.91","165.90"
"DREAMFOLKS","569.00","569.80","552.60","565.20","562.00","-3.20","-0.57","3,13,178","17.50","847.00","360.00","5.76","49.74"
"CHENNPETRO","724.00","730.90","713.60","720.80","716.70","-4.10","-0.57","5,56,821","40.15","741.10","206.05","5.84","248.47"
"TMB","502.55","503.95","494.10","500.10","497.20","-2.90","-0.58","99,294","4.94","611.35","399.00","-2.49","4.27"
"EVEREADY","347.00","349.60","342.20","345.55","343.40","-2.15","-0.62","1,15,042","3.97","441.90","273.35","0.06","-6.78"
"MAHLOG","455.95","457.75","443.20","447.90","445.10","-2.80","-0.63","8,71,153","39.40","502.35","348.05","17.45","-8.19"
"VOLTAMP","6,641.70","6,745.45","6,508.05","6,580.70","6,537.90","-42.80","-0.65","21,022","13.89","6,774.90","2,387.50","14.12","150.11"
"PRIVISCL","1,155.55","1,160.00","1,140.00","1,155.55","1,148.00","-7.55","-0.65","12,776","1.47","1,365.50","871.05","-10.84","2.50"
"HIL","2,892.00","2,916.00","2,850.10","2,892.00","2,872.00","-20.00","-0.69","5,958","1.71","3,275.00","2,202.10","-1.02","9.20"
"HNDFDS","559.95","559.95","545.05","551.00","547.00","-4.00","-0.73","38,456","2.11","669.00","492.70","0.79","-"
"SBCL","606.40","614.55","589.35","601.70","597.25","-4.45","-0.74","1,98,542","11.87","750.00","361.25","10.10","51.35"
"SUDARSCHEM","554.95","554.95","533.00","545.65","541.60","-4.05","-0.74","85,168","4.61","566.95","341.00","11.85","44.43"
"ASTRAMICRO","609.35","617.25","597.30","606.60","602.00","-4.60","-0.76","3,25,193","19.76","631.50","213.30","-0.20","113.89"
"HGS","990.00","993.60","978.00","986.55","979.00","-7.55","-0.77","16,702","1.64","1,367.40","924.00","-1.28","-24.59"
"WELENT","336.95","343.55","330.10","333.60","331.00","-2.60","-0.78","3,52,452","11.81","350.00","117.30","-2.51","102.18"
"ASHOKA","144.00","145.90","140.30","144.35","143.20","-1.15","-0.80","29,32,694","41.90","153.05","71.65","2.09","68.04"
"SHAREINDIA","1,830.00","1,830.00","1,791.10","1,824.80","1,810.00","-14.80","-0.81","56,775","10.26","1,884.45","990.60","2.75","52.25"
"GATEWAY","111.00","112.00","108.70","110.65","109.75","-0.90","-0.81","18,61,125","20.61","112.00","58.55","8.32","62.96"
"TI","253.50","255.00","248.00","251.85","249.80","-2.05","-0.81","6,77,925","17.08","291.40","98.20","-2.10","115.63"
"RUPA","272.20","275.10","269.00","272.20","269.95","-2.25","-0.83","1,41,867","3.85","308.65","197.20","-1.86","-4.02"
"TINPLATE","437.70","443.45","430.10","437.45","433.80","-3.65","-0.83","7,05,100","30.71","461.90","301.95","4.97","27.82"
"TCIEXP","1,413.50","1,425.95","1,391.00","1,406.50","1,394.40","-12.10","-0.86","27,689","3.90","1,886.00","1,293.55","0.17","-22.55"
"TATAMETALI","1,051.25","1,058.30","1,030.15","1,046.00","1,036.95","-9.05","-0.87","52,962","5.51","1,093.60","721.00","4.75","27.46"
"CARTRADE","723.45","723.45","701.75","716.20","710.00","-6.20","-0.87","83,027","5.88","899.65","340.15","-1.99","49.02"
"RESPONIND","300.00","305.40","294.20","298.60","296.00","-2.60","-0.87","73,637","2.21","364.95","105.00","-7.24","153.37"
"SHANTIGEAR","575.95","579.95","567.00","575.20","570.00","-5.20","-0.90","82,508","4.72","644.40","317.05","12.59","68.31"
"PRICOLLTD","374.95","377.80","366.00","371.40","368.00","-3.40","-0.92","2,10,535","7.80","393.00","174.75","8.88","97.19"
"MOIL","313.10","313.40","306.00","312.00","309.05","-2.95","-0.95","11,35,796","35.15","329.90","140.75","3.17","87.90"
"APOLLOPIPE","684.80","684.80","672.55","681.45","675.00","-6.45","-0.95","49,913","3.39","790.00","480.60","0.07","32.71"
"HARSHA","397.95","399.05","390.25","398.80","395.00","-3.80","-0.95","98,026","3.86","494.00","309.00","-0.62","2.03"
"UFLEX","485.20","487.70","475.95","483.55","478.90","-4.65","-0.96","94,705","4.54","578.50","325.10","2.71","-13.81"
"TVSSCS","198.75","199.00","196.50","198.75","196.80","-1.95","-0.98","4,04,930","7.99","258.00","193.80","-3.80","-"
"ROLEXRINGS","2,503.85","2,505.00","2,450.00","2,503.85","2,479.00","-24.85","-0.99","8,432","2.10","2,620.00","1,622.65","5.01","40.93"
