"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY MIDCAP 100","47,541.55","47,560.00","46,845.35","47,396.30","46,894.35","-501.95","-1.06","1,31,61,91,803","16,081.30","47,647.90","29,200.20","6.75","50.85"
"LODHA","1,091.05","1,136.95","1,091.05","1,090.55","1,119.80","29.25","2.68","12,25,361","137.01","1,198.90","355.50","18.84","3.07"
"POLICYBZR","805.00","825.00","800.25","798.80","817.00","18.20","2.28","11,69,762","95.31","891.00","390.70","-2.45","73.43"
"HINDPETRO","424.00","438.00","422.20","420.00","429.00","9.00","2.14","1,45,64,712","627.96","438.00","211.65","11.26","68.07"
"NYKAA","176.00","182.00","175.15","173.40","177.00","3.60","2.08","1,60,51,230","285.95","183.40","114.25","1.64","13.15"
"ESCORTS","2,805.00","2,867.80","2,804.85","2,804.85","2,847.00","42.15","1.50","3,38,266","96.05","3,440.15","1,807.70","-10.82","29.56"
"HDFCAMC","3,275.00","3,374.00","3,275.00","3,303.60","3,348.00","44.40","1.34","4,48,252","149.82","3,374.00","1,589.50","10.60","54.71"
"YESBANK","24.30","24.45","23.45","24.00","24.20","0.20","0.83","54,60,82,056","1,308.96","24.45","14.40","20.60","13.74"
"PAYTM","687.00","702.95","684.20","685.15","689.60","4.45","0.65","58,01,579","402.69","998.30","508.10","5.21","24.27"
"POONAWALLA","461.00","467.00","457.10","458.90","461.80","2.90","0.63","38,34,220","177.49","467.00","274.65","9.67","58.65"
"PFC","405.80","412.70","401.40","404.00","406.20","2.20","0.54","80,20,666","325.97","428.75","106.44","5.04","157.08"
"PATANJALI","1,600.00","1,614.00","1,574.00","1,587.30","1,595.50","8.20","0.52","4,05,296","64.59","1,665.00","853.50","-0.98","-"
"TIINDIA","3,751.05","3,775.50","3,711.50","3,751.05","3,769.50","18.45","0.49","2,30,616","86.81","4,050.00","2,375.00","4.95","38.65"
"CUMMINSIND","2,002.75","2,011.95","1,969.35","1,998.40","2,004.95","6.55","0.33","4,43,494","88.48","2,044.90","1,358.40","2.52","39.62"
