"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY MIDCAP SELECT","10,574.75","10,585.00","10,430.35","10,562.85","10,441.80","-121.05","-1.15","15,53,41,987","5,576.00","10,605.45","5,520.25","4.68","46.64"
"HINDPETRO","424.00","438.00","422.20","420.00","429.00","9.00","2.14","1,45,64,712","627.96","438.00","211.65","13.75","71.83"
"HDFCAMC","3,275.00","3,374.00","3,275.00","3,303.60","3,348.00","44.40","1.34","4,48,252","149.82","3,374.00","1,589.50","12.16","56.89"
"PFC","405.80","412.70","401.40","404.00","406.20","2.20","0.54","80,20,666","325.97","428.75","106.44","5.50","158.19"
"CUMMINSIND","2,002.75","2,011.95","1,969.35","1,998.40","2,004.95","6.55","0.33","4,43,494","88.48","2,044.90","1,358.40","2.82","40.03"
"AUBANK","794.00","813.20","792.00","801.05","803.00","1.95","0.24","24,97,633","200.61","813.20","548.00","8.26","28.11"
"COFORGE","6,134.95","6,135.00","6,009.00","6,076.35","6,055.00","-21.35","-0.35","3,31,217","200.81","6,530.00","3,564.75","4.80","55.36"
"INDHOTEL","461.45","461.50","450.00","456.05","453.35","-2.70","-0.59","19,54,521","88.66","467.00","280.05","3.71","45.55"
"ASHOKLEY","180.50","181.85","177.40","179.45","178.35","-1.10","-0.61","1,33,59,269","239.83","191.50","133.10","1.86","20.58"
"PERSISTENT","7,365.00","7,385.40","7,210.10","7,350.75","7,288.50","-62.25","-0.85","1,82,858","133.10","7,560.00","3,840.00","12.71","89.16"
"MRF","1,33,401.00","1,33,599.95","1,31,200.00","1,32,701.25","1,31,500.00","-1,201.25","-0.91","7,613","100.67","1,33,599.95","81,380.05","11.85","41.63"
"POLYCAB","5,400.00","5,469.90","5,335.00","5,401.30","5,350.00","-51.30","-0.95","3,46,476","187.01","5,733.00","2,592.25","-1.88","103.95"
"AUROPHARMA","1,133.00","1,135.00","1,105.05","1,123.95","1,112.00","-11.95","-1.06","17,75,295","197.77","1,135.00","397.20","9.58","152.20"
"ABBOTINDIA","23,800.00","24,086.00","23,585.00","23,884.60","23,585.00","-299.60","-1.25","20,750","49.54","24,744.25","19,900.00","3.50","5.96"
"IDFCFIRSTB","86.75","86.80","85.15","86.70","85.50","-1.20","-1.38","3,08,01,235","264.46","100.70","52.10","-2.95","43.61"
"BHARATFORG","1,272.00","1,276.35","1,248.60","1,267.05","1,249.00","-18.05","-1.42","10,03,414","126.56","1,276.35","743.55","6.70","44.46"
"BALKRISIND","2,579.05","2,585.00","2,535.00","2,578.55","2,538.00","-40.55","-1.57","1,37,028","35.07","2,682.75","1,908.90","-2.34","15.08"
"ASTRAL","1,841.10","1,844.65","1,803.00","1,841.15","1,810.00","-31.15","-1.69","9,72,370","176.89","2,058.00","1,297.80","-6.26","-12.24"
"VOLTAS","1,009.15","1,011.40","985.20","1,009.20","988.00","-21.20","-2.10","12,83,342","127.60","1,022.95","737.20","15.73","21.55"
"MPHASIS","2,620.00","2,634.90","2,558.65","2,637.55","2,581.00","-56.55","-2.14","3,80,035","98.01","2,788.50","1,660.05","6.29","30.44"
"FEDERALBNK","153.00","153.35","149.75","154.60","150.90","-3.70","-2.39","1,50,37,236","227.11","159.30","121.00","-2.78","11.59"
"CONCOR","898.85","898.85","868.05","895.90","872.95","-22.95","-2.56","10,78,181","94.77","932.70","555.00","3.27","18.24"
"PAGEIND","38,853.00","38,907.00","37,560.00","38,908.35","37,720.00","-1,188.35","-3.05","41,857","158.66","43,570.00","34,952.65","0.96","-9.63"
"GODREJPROP","2,225.00","2,264.35","2,152.95","2,244.30","2,166.00","-78.30","-3.49","8,41,774","184.61","2,264.35","1,005.00","11.98","80.13"
"JUBLFOOD","554.70","556.50","532.35","555.55","534.95","-20.60","-3.71","23,98,993","129.55","586.95","412.10","-4.54","7.30"
"BANDHANBNK","252.00","252.00","230.95","251.70","232.15","-19.55","-7.77","5,74,13,766","1,362.49","272.00","182.15","-1.67","-3.82"
