"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY MNC","24,296.10","24,302.15","23,866.25","24,208.15","23,887.10","-321.05","-1.33","3,13,69,805","2,756.30","24,365.50","18,651.05","4.58","22.39"
"HONAUT","36,999.00","37,425.15","36,660.00","36,855.20","37,401.00","545.80","1.48","5,104","18.96","44,150.00","34,343.40","1.62","-7.51"
"SKFINDIA","4,600.00","4,643.00","4,551.05","4,589.70","4,629.00","39.30","0.86","23,572","10.87","5,534.95","3,960.10","0.45","-0.08"
"CUMMINSIND","2,002.75","2,011.95","1,969.35","1,998.40","2,004.95","6.55","0.33","4,43,494","88.48","2,044.90","1,358.40","2.52","39.62"
"KANSAINER","342.00","342.00","336.05","336.70","337.25","0.55","0.16","2,38,122","8.03","357.30","249.10","1.92","-19.72"
"LINDEINDIA","5,627.00","5,667.00","5,550.05","5,583.00","5,586.00","3.00","0.05","22,100","12.37","6,790.00","3,176.40","-4.72","65.96"
"PFIZER","4,411.00","4,419.55","4,351.25","4,398.20","4,395.95","-2.25","-0.05","18,559","8.14","4,425.00","3,408.00","7.78","1.54"
"PGHH","17,288.00","17,323.50","17,140.15","17,234.60","17,200.00","-34.60","-0.20","3,611","6.22","19,250.00","13,140.10","0.42","22.93"
"MCDOWELL-N","1,110.05","1,127.15","1,095.00","1,101.05","1,097.95","-3.10","-0.28","12,38,667","137.37","1,127.15","730.55","5.34","28.55"
"COLPAL","2,524.95","2,531.05","2,477.00","2,514.65","2,499.80","-14.85","-0.59","2,26,675","56.73","2,544.00","1,434.60","9.63","65.80"
"ASHOKLEY","180.50","181.85","177.40","179.45","178.35","-1.10","-0.61","1,33,59,269","239.83","191.50","133.10","2.60","21.46"
"MARUTI","10,005.00","10,128.95","9,911.90","10,017.00","9,951.00","-66.00","-0.66","6,00,153","599.25","10,932.85","8,130.00","-5.67","19.49"
"BOSCHLTD","22,800.00","22,810.00","22,400.00","22,691.65","22,470.00","-221.65","-0.98","10,072","22.70","22,819.85","16,366.05","4.93","32.97"
"ABBOTINDIA","23,800.00","24,086.00","23,585.00","23,884.60","23,585.00","-299.60","-1.25","20,750","49.54","24,744.25","19,900.00","4.49","6.97"
"NESTLEIND","2,683.00","2,689.00","2,611.00","2,666.40","2,630.00","-36.40","-1.37","10,32,378","272.61","2,769.30","1,788.00","-89.24","-86.59"
"TIMKEN","3,245.30","3,248.50","3,182.00","3,245.30","3,200.00","-45.30","-1.40","9,772","3.13","3,569.85","2,660.00","1.37","6.13"
"SIEMENS","4,094.00","4,096.10","4,002.05","4,077.20","4,020.00","-57.20","-1.40","1,68,440","67.79","4,245.00","2,815.55","6.53","41.00"
"CRISIL","4,138.00","4,138.00","4,056.80","4,120.75","4,060.00","-60.75","-1.47","21,454","8.77","4,454.95","2,910.05","-2.70","40.10"
"HINDUNILVR","2,624.95","2,626.00","2,566.50","2,620.05","2,579.80","-40.25","-1.54","11,89,828","306.87","2,769.65","2,393.00","3.88","1.69"
"UBL","1,908.00","1,908.00","1,854.20","1,888.25","1,858.55","-29.70","-1.57","1,55,055","28.99","1,908.00","1,353.50","9.49","13.92"
"ABB","4,856.00","4,856.00","4,740.00","4,832.35","4,747.80","-84.55","-1.75","60,882","29.09","4,957.00","2,720.15","1.80","69.94"
"BRITANNIA","5,305.00","5,305.00","5,171.05","5,272.35","5,180.00","-92.35","-1.75","2,36,628","122.92","5,386.05","4,153.00","6.68","20.95"
"BATAINDIA","1,626.00","1,627.00","1,579.60","1,621.20","1,590.05","-31.15","-1.92","3,22,072","51.46","1,771.45","1,381.05","-2.53","-0.22"
"GRINDWELL","2,325.25","2,325.25","2,273.00","2,331.20","2,283.00","-48.20","-2.07","14,620","3.35","2,495.00","1,720.25","6.04","20.40"
"SCHAEFFLER","3,290.00","3,300.00","3,150.00","3,225.95","3,157.00","-68.95","-2.14","96,138","30.78","3,726.05","2,555.55","6.21","19.99"
"MPHASIS","2,620.00","2,634.90","2,558.65","2,637.55","2,581.00","-56.55","-2.14","3,80,035","98.01","2,788.50","1,660.05","8.67","33.36"
"AMBUJACEM","544.25","544.25","526.90","542.35","530.50","-11.85","-2.18","33,33,769","177.81","557.90","315.30","9.71","4.34"
"3MINDIA","34,700.00","35,103.75","33,812.95","34,696.95","33,900.00","-796.95","-2.30","5,414","18.67","39,876.10","21,500.00","10.22","55.63"
"OFSS","4,488.00","4,491.00","4,333.00","4,457.65","4,354.80","-102.85","-2.31","99,905","43.88","4,566.55","2,984.25","7.90","48.77"
"VEDL","265.85","267.60","257.80","265.85","259.50","-6.35","-2.39","78,90,414","205.73","340.75","208.00","8.60","-14.15"
"GLAND","1,999.00","2,017.70","1,920.00","1,989.75","1,933.00","-56.75","-2.85","1,42,853","27.93","2,057.60","861.00","11.93","27.13"
