"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY NEXT 50","54,450.00","54,450.00","53,670.00","54,295.25","53,728.90","-566.35","-1.04","28,61,80,407","10,421.82","54,687.60","36,850.75","6.17","28.41"
"TVSMOTOR","1,994.80","2,062.90","1,980.00","1,979.30","2,038.80","59.50","3.01","21,95,125","446.33","2,062.90","967.55","7.10","98.91"
"MOTHERSON","105.55","107.20","103.90","104.05","106.00","1.95","1.87","3,20,24,265","337.57","108.90","61.80","11.26","40.37"
"SHREECEM","26,983.05","27,600.00","26,950.05","27,023.30","27,380.00","356.70","1.32","34,058","93.25","29,250.00","21,410.00","-1.23","14.58"
"IRCTC","914.20","929.00","905.85","905.90","916.50","10.60","1.17","96,04,429","881.82","929.00","557.10","22.28","44.06"
"SHRIRAMFIN","2,184.00","2,225.00","2,163.55","2,172.40","2,194.05","21.65","1.00","14,97,595","329.51","2,225.00","1,190.00","8.11","69.65"
"DLF","760.50","773.45","751.30","752.95","760.25","7.30","0.97","44,48,637","338.72","773.45","336.50","16.83","105.35"
"ADANIGREEN","1,685.30","1,714.00","1,665.00","1,674.00","1,681.30","7.30","0.44","11,37,776","192.25","2,185.00","439.10","8.37","-8.61"
"ICICIPRULI","541.00","550.60","539.65","541.00","542.30","1.30","0.24","15,79,306","85.95","615.60","380.70","-0.29","14.58"
"IOC","134.00","136.10","132.25","132.70","132.90","0.20","0.15","2,61,99,907","351.66","136.10","75.75","11.66","65.71"
"HAL","3,017.00","3,034.95","2,985.00","2,998.85","3,001.00","2.15","0.07","16,82,520","505.99","3,079.00","1,150.00","9.58","19.80"
"ICICIGI","1,395.00","1,405.75","1,379.00","1,395.60","1,394.90","-0.70","-0.05","6,59,991","92.10","1,492.00","1,049.05","-3.71","9.75"
"BAJAJHLDNG","8,070.00","8,128.30","8,018.00","8,066.10","8,059.00","-7.10","-0.09","11,458","9.23","8,373.85","5,560.15","0.77","41.65"
"PIDILITIND","2,738.95","2,738.95","2,692.60","2,722.60","2,720.00","-2.60","-0.10","2,68,950","72.98","2,792.00","2,250.05","5.97","7.63"
"PGHH","17,288.00","17,323.50","17,140.15","17,234.60","17,200.00","-34.60","-0.20","3,611","6.22","19,250.00","13,140.10","0.27","22.74"
"MCDOWELL-N","1,110.05","1,127.15","1,095.00","1,101.05","1,097.95","-3.10","-0.28","12,38,667","137.37","1,127.15","730.55","5.03","28.17"
"INDIGO","2,970.00","2,991.95","2,942.75","2,954.95","2,946.00","-8.95","-0.30","4,51,446","133.67","3,049.95","1,810.65","1.87","46.15"
"ZYDUSLIFE","717.00","720.70","708.60","714.25","711.80","-2.45","-0.34","14,99,381","107.13","720.70","421.30","11.30","65.01"
"TATAPOWER","344.00","344.00","337.35","340.75","338.95","-1.80","-0.53","1,45,48,833","494.99","349.70","182.35","4.76","65.02"
"TRENT","3,080.95","3,083.20","3,037.80","3,065.55","3,048.40","-17.15","-0.56","3,03,947","92.91","3,108.45","1,155.00","7.15","143.93"
"COLPAL","2,524.95","2,531.05","2,477.00","2,514.65","2,499.80","-14.85","-0.59","2,26,675","56.73","2,544.00","1,434.60","9.02","64.88"
"SBICARD","772.95","775.70","764.20","771.60","766.80","-4.80","-0.62","11,83,984","91.10","933.00","695.55","1.01","-0.85"
"VBL","1,279.15","1,293.95","1,260.00","1,279.15","1,271.00","-8.15","-0.64","16,54,957","211.49","1,380.00","550.00","18.98","-2.41"
"BEL","186.75","187.50","183.20","185.95","184.75","-1.20","-0.65","1,14,72,441","211.86","188.65","87.00","15.65","85.55"
"ZOMATO","133.65","133.65","130.00","133.30","132.10","-1.20","-0.90","3,89,12,423","512.13","134.35","44.35","10.75","140.45"
"MUTHOOTFIN","1,504.15","1,504.15","1,466.55","1,499.50","1,485.00","-14.50","-0.97","1,79,830","26.73","1,537.35","911.25","3.36","38.88"
"BOSCHLTD","22,800.00","22,810.00","22,400.00","22,691.65","22,470.00","-221.65","-0.98","10,072","22.70","22,819.85","16,366.05","3.89","31.65"
"DMART","3,893.95","3,919.90","3,791.00","3,863.50","3,814.50","-49.00","-1.27","6,92,896","265.73","4,206.00","3,292.00","-6.54","-0.99"
"SIEMENS","4,094.00","4,096.10","4,002.05","4,077.20","4,020.00","-57.20","-1.40","1,68,440","67.79","4,245.00","2,815.55","4.92","38.86"
"TORNTPHARM","2,375.35","2,375.35","2,312.00","2,350.10","2,312.50","-37.60","-1.60","2,49,754","58.46","2,385.90","1,445.55","13.20","50.31"
"PIIND","3,473.00","3,473.00","3,400.00","3,460.50","3,405.00","-55.50","-1.60","2,42,934","83.28","4,011.15","2,868.90","-11.40","3.56"
"ADANIENSOL","1,170.85","1,172.35","1,140.00","1,164.00","1,144.00","-20.00","-1.72","8,96,113","103.13","2,799.95","631.50","1.06","-"
"ABB","4,856.00","4,856.00","4,740.00","4,832.35","4,747.80","-84.55","-1.75","60,882","29.09","4,957.00","2,720.15","0.13","67.15"
"GAIL","165.35","165.35","160.30","163.65","160.60","-3.05","-1.86","1,67,05,187","271.39","169.35","91.05","14.50","65.24"
"NAUKRI","5,295.00","5,303.20","5,126.65","5,246.15","5,147.00","-99.15","-1.89","2,17,738","113.59","5,319.05","3,308.20","8.42","39.54"
"AWL","378.00","378.70","368.60","377.70","370.50","-7.20","-1.91","18,84,609","70.06","596.85","285.80","-1.97","-34.82"
"CHOLAFIN","1,267.00","1,267.65","1,224.20","1,257.85","1,231.50","-26.35","-2.09","9,85,554","121.99","1,305.30","658.00","5.53","84.33"
"ATGL","1,092.90","1,096.00","1,062.05","1,090.55","1,067.60","-22.95","-2.10","20,60,675","220.78","4,000.00","522.00","-7.65","-69.95"
