"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY SERVICES SECTOR","27,713.45","27,743.15","27,427.70","27,699.65","27,457.80","-241.85","-0.87","14,41,03,153","13,602.38","27,839.70","22,333.20","1.71","13.11"
"ADANIPORTS","1,160.00","1,182.00","1,152.00","1,154.25","1,172.40","18.15","1.57","87,60,094","1,024.55","1,182.00","395.10","14.26","45.00"
"SHRIRAMFIN","2,184.00","2,225.00","2,163.55","2,172.40","2,194.05","21.65","1.00","14,97,595","329.51","2,225.00","1,190.00","8.11","69.65"
"NTPC","316.45","318.35","312.60","314.95","316.60","1.65","0.52","1,01,36,462","320.46","325.65","162.55","11.02","87.25"
"HCLTECH","1,435.00","1,452.60","1,430.55","1,432.80","1,439.90","7.10","0.50","20,25,264","292.48","1,509.90","1,016.25","6.14","40.19"
"ADANIGREEN","1,685.30","1,714.00","1,665.00","1,674.00","1,681.30","7.30","0.44","11,37,776","192.25","2,185.00","439.10","8.37","-8.61"
"BAJFINANCE","7,677.00","7,830.00","7,631.30","7,711.15","7,740.00","28.85","0.37","11,21,209","867.49","8,192.00","5,485.70","5.86","29.36"
"POWERGRID","242.40","245.25","240.40","241.25","242.00","0.75","0.31","1,35,85,746","329.85","245.25","153.19","6.01","16.46"
"BHARTIARTL","1,050.00","1,059.00","1,045.25","1,046.60","1,046.75","0.15","0.01","44,89,695","472.59","1,063.65","735.80","4.88","31.79"
"ICICIGI","1,395.00","1,405.75","1,379.00","1,395.60","1,394.90","-0.70","-0.05","6,59,991","92.10","1,492.00","1,049.05","-3.71","9.75"
"HDFCLIFE","647.00","654.15","641.70","646.75","644.20","-2.55","-0.39","20,64,691","133.56","710.60","457.80","-3.78","5.59"
"TATAPOWER","344.00","344.00","337.35","340.75","338.95","-1.80","-0.53","1,45,48,833","494.99","349.70","182.35","4.76","65.02"
"INFY","1,528.95","1,536.00","1,513.25","1,532.55","1,520.00","-12.55","-0.82","44,40,136","676.55","1,619.75","1,185.30","2.12","5.13"
"BAJAJFINSV","1,715.95","1,723.65","1,690.20","1,709.50","1,695.50","-14.00","-0.82","6,84,254","116.61","1,741.00","1,215.00","-0.81","18.60"
"ICICIBANK","994.00","998.20","980.30","993.70","983.00","-10.70","-1.08","83,93,164","830.46","1,043.70","796.00","-2.85","12.86"
"HDFCBANK","1,678.50","1,682.35","1,660.00","1,682.20","1,662.90","-19.30","-1.15","89,99,235","1,504.53","1,757.50","1,460.25","0.62","4.33"
"KOTAKBANK","1,848.00","1,851.45","1,818.60","1,847.60","1,825.85","-21.75","-1.18","1,22,53,167","2,241.09","2,064.40","1,643.50","-0.67","2.20"
"APOLLOHOSP","5,750.00","5,774.85","5,640.00","5,754.25","5,685.85","-68.40","-1.19","1,57,009","89.24","5,839.95","4,123.00","2.28","29.51"
"MAXHEALTH","719.00","719.95","697.55","714.75","705.85","-8.90","-1.25","10,08,539","71.52","745.95","411.90","3.87","62.56"
"DMART","3,893.95","3,919.90","3,791.00","3,863.50","3,814.50","-49.00","-1.27","6,92,896","265.73","4,206.00","3,292.00","-6.54","-0.99"
"INDUSINDBK","1,633.00","1,650.05","1,622.00","1,643.20","1,622.15","-21.05","-1.28","17,91,003","292.71","1,655.00","990.00","7.83","37.67"
"WIPRO","457.50","460.00","449.05","456.60","450.60","-6.00","-1.31","50,41,443","228.86","483.50","352.00","6.57","17.89"
"AXISBANK","1,145.00","1,146.00","1,118.50","1,136.95","1,122.00","-14.95","-1.31","47,35,538","535.85","1,151.85","814.30","-0.81","19.37"
"TCS","3,737.90","3,739.75","3,672.40","3,737.90","3,680.85","-57.05","-1.53","10,67,805","394.71","3,929.00","3,070.25","1.42","14.53"
"ADANIENSOL","1,170.85","1,172.35","1,140.00","1,164.00","1,144.00","-20.00","-1.72","8,96,113","103.13","2,799.95","631.50","1.06","-"
"LTIM","5,988.00","5,988.00","5,835.05","5,947.65","5,838.00","-109.65","-1.84","1,93,870","113.97","6,356.00","4,121.00","2.40","39.26"
"GAIL","165.35","165.35","160.30","163.65","160.60","-3.05","-1.86","1,67,05,187","271.39","169.35","91.05","14.50","65.24"
"NAUKRI","5,295.00","5,303.20","5,126.65","5,246.15","5,147.00","-99.15","-1.89","2,17,738","113.59","5,319.05","3,308.20","8.42","39.54"
"TECHM","1,250.20","1,254.25","1,221.40","1,248.30","1,223.00","-25.30","-2.03","13,20,667","163.04","1,333.05","981.05","0.30","24.62"
"SBIN","640.00","645.00","625.05","641.95","627.90","-14.05","-2.19","1,47,39,531","933.72","660.40","499.35","2.09","4.39"
"SBILIFE","1,454.15","1,460.10","1,416.40","1,454.15","1,416.40","-37.75","-2.60","7,38,502","105.82","1,491.90","1,054.00","-3.01","11.98"
