"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY SMALLCAP 100","15,511.65","15,523.80","15,326.85","15,438.85","15,342.55","-96.30","-0.62","53,94,70,966","8,708.50","15,523.80","8,682.00","7.18","59.89"
"JBMA","1,719.00","1,924.45","1,719.00","1,698.90","1,894.10","195.20","11.49","10,81,504","199.25","1,924.45","482.95","32.69","217.85"
"CENTURYTEX","1,431.00","1,513.85","1,420.50","1,413.15","1,510.00","96.85","6.85","13,98,311","207.32","1,513.85","588.00","8.30","99.11"
"SUZLON","41.50","42.60","40.00","40.60","42.60","2.00","4.93","9,26,02,484","385.69","44.00","6.95","4.77","-"
"EASEMYTRIP","41.75","44.05","41.60","41.40","43.35","1.95","4.71","9,80,03,466","424.06","56.40","37.00","7.39","-21.07"
"TTML","92.00","98.85","90.90","91.60","95.60","4.00","4.37","3,48,12,235","335.10","109.10","49.65","-1.03","4.93"
"KALYANKJIL","360.05","375.00","359.00","357.75","373.00","15.25","4.26","32,87,702","121.49","379.75","100.95","10.55","197.13"
"BLS","338.50","354.00","334.40","336.25","350.15","13.90","4.13","52,45,290","181.28","354.00","149.65","18.84","97.97"
"DATAPATTNS","1,903.50","1,995.45","1,890.30","1,903.45","1,980.00","76.55","4.02","4,64,287","91.13","2,485.00","1,135.80","-4.88","63.51"
"REDINGTON","175.90","183.90","175.35","175.40","181.50","6.10","3.48","41,92,894","76.08","196.00","136.20","3.88","-3.92"
"ANGELONE","3,760.00","3,884.15","3,752.50","3,744.10","3,833.95","89.85","2.40","4,37,238","167.42","3,884.15","999.00","26.65","192.35"
"MANAPPURAM","175.80","180.60","174.55","175.75","179.90","4.15","2.36","1,00,95,638","180.48","181.65","101.15","7.26","48.31"
"AMBER","3,260.00","3,405.00","3,250.05","3,259.65","3,326.00","66.35","2.04","3,03,419","101.61","3,480.00","1,762.50","5.41","71.16"
"APARINDS","5,819.40","5,994.55","5,708.00","5,819.40","5,932.00","112.60","1.93","1,20,761","70.86","6,133.00","1,358.55","9.85","216.16"
"CHAMBLFERT","375.90","385.40","368.00","372.80","378.40","5.60","1.50","97,22,470","367.59","402.90","248.40","9.04","18.99"
"AEGISCHEM","336.25","341.90","330.40","333.95","338.00","4.05","1.21","10,06,841","33.87","410.50","280.00","-11.45","-2.31"
"BIKAJI","574.75","584.50","574.55","573.35","580.20","6.85","1.19","9,72,448","56.41","585.00","341.30","8.67","40.11"
"KEC","611.00","619.70","607.05","604.30","610.05","5.75","0.95","11,33,773","69.80","747.70","435.55","-3.51","24.30"
"CAMS","2,769.00","2,788.50","2,754.00","2,748.15","2,765.00","16.85","0.61","2,59,268","71.73","2,988.00","2,010.00","0.12","23.75"
"MCX","3,154.00","3,193.50","3,145.00","3,144.45","3,159.65","15.20","0.48","2,16,428","68.55","3,344.00","1,285.05","-1.17","117.76"
"CYIENT","2,250.00","2,268.95","2,221.70","2,235.30","2,243.00","7.70","0.34","1,32,089","29.62","2,458.95","802.20","14.64","175.10"
"TEJASNET","872.00","880.00","858.90","865.65","868.35","2.70","0.31","4,00,279","34.88","940.00","510.00","3.93","48.65"
"MRPL","134.20","135.30","132.90","134.15","134.35","0.20","0.15","15,58,019","20.87","137.70","49.25","4.85","142.37"
"CAMPUS","290.55","292.75","285.00","289.90","290.00","0.10","0.03","5,66,098","16.30","424.70","237.80","5.98","-25.08"
"HFCL","92.15","93.95","90.65","91.95","91.95","-","-","3,00,58,600","276.63","94.65","55.75","34.63","26.39"
"RAYMOND","1,750.00","1,780.00","1,719.20","1,739.55","1,735.00","-4.55","-0.26","2,84,861","49.79","2,240.00","1,101.00","1.68","20.34"
"MEDANTA","1,012.00","1,018.30","989.00","1,001.85","999.00","-2.85","-0.28","1,82,263","18.18","1,028.00","426.15","7.18","119.08"
"UTIAMC","877.00","878.95","862.00","875.65","873.00","-2.65","-0.30","77,693","6.76","917.90","608.00","5.48","6.33"
"AAVAS","1,569.95","1,574.95","1,536.85","1,566.05","1,560.80","-5.25","-0.34","98,841","15.43","2,045.95","1,335.50","5.04","-10.35"
"CDSL","1,898.70","1,917.20","1,864.05","1,888.65","1,882.00","-6.65","-0.35","7,66,849","145.16","1,987.70","880.90","1.42","69.04"
"SJVN","96.50","97.00","94.10","94.75","94.40","-0.35","-0.37","2,21,60,288","211.08","100.40","30.40","6.88","175.04"
"RENUKA","47.50","47.75","46.85","47.25","47.00","-0.25","-0.53","55,80,026","26.25","57.50","39.40","5.23","-15.85"
"BSOFT","720.00","722.70","708.00","714.35","710.20","-4.15","-0.58","21,34,893","152.86","746.00","250.25","8.61","151.84"
"MEDPLUS","755.00","755.00","746.00","750.50","746.10","-4.40","-0.59","50,541","3.78","978.00","597.70","3.21","24.27"
"BIRLACORPN","1,434.90","1,444.95","1,416.90","1,434.20","1,424.95","-9.25","-0.64","38,669","5.55","1,519.95","843.15","1.18","50.88"
"IRB","42.65","43.40","41.70","42.45","42.15","-0.30","-0.71","2,22,06,153","93.80","43.60","22.50","6.39","-85.97"
"RBLBANK","287.50","289.00","280.95","287.50","284.90","-2.60","-0.90","61,48,827","175.58","293.70","131.60","7.40","56.17"
"JKLAKSHMI","881.40","884.85","865.40","877.35","869.35","-8.00","-0.91","62,802","5.49","915.60","607.20","-0.06","15.23"
"RITES","512.95","517.00","506.00","511.75","507.00","-4.75","-0.93","5,08,375","25.94","584.00","311.30","7.50","53.04"
"NATCOPHARM","852.95","855.00","828.55","849.35","841.00","-8.35","-0.98","6,33,715","53.23","928.00","502.00","8.86","53.56"
"IDFC","125.55","125.70","123.10","124.95","123.70","-1.25","-1.00","26,13,384","32.43","137.00","72.85","2.17","50.63"
"RADICO","1,686.00","1,691.00","1,646.75","1,677.60","1,660.00","-17.60","-1.05","1,50,380","25.12","1,885.10","1,008.15","6.93","56.46"
"HAPPSTMNDS","905.05","908.90","890.00","903.80","893.00","-10.80","-1.19","2,85,774","25.61","1,023.00","763.25","2.39","3.47"
"KEI","3,404.95","3,418.85","3,294.00","3,380.25","3,338.00","-42.25","-1.25","1,96,051","65.37","3,418.85","1,411.10","13.94","126.88"
"FINCABLES","1,042.00","1,050.00","1,027.05","1,044.15","1,031.00","-13.15","-1.26","1,07,095","11.07","1,219.00","524.75","1.16","92.31"
"ARE&M","840.00","840.00","821.00","834.95","824.25","-10.70","-1.28","3,88,195","32.12","843.00","546.00","11.06","-"
"EXIDEIND","331.25","331.25","322.60","329.35","325.00","-4.35","-1.32","21,04,572","68.60","331.25","170.50","13.61","84.61"
"PNBHOUSING","800.00","804.35","786.00","800.65","790.00","-10.65","-1.33","1,16,591","9.24","833.00","385.42","2.51","45.81"
"BSE","2,309.95","2,319.95","2,263.75","2,303.75","2,272.95","-30.80","-1.34","8,35,818","191.11","2,595.00","406.20","-4.71","325.05"
