"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY TOTAL MARKET","11,039.90","11,043.20","10,908.60","11,013.00","10,918.25","-94.75","-0.86","4,68,88,52,817","81,089.30","11,043.20","6,252.10","3.94","28.32"
"SULA","585.00","665.25","583.20","554.40","665.25","110.85","19.99","1,63,39,597","1,038.99","665.25","316.60","42.54","105.57"
"TRIDENT","42.00","49.05","42.00","40.90","49.05","8.15","19.93","45,46,68,901","2,093.75","49.05","25.05","31.51","43.03"
"CGCL","780.00","920.00","772.05","776.35","875.95","99.60","12.83","41,39,420","359.21","920.00","566.00","16.51","18.44"
"JBMA","1,719.00","1,924.45","1,719.00","1,698.90","1,894.10","195.20","11.49","10,81,504","199.25","1,924.45","482.95","47.19","252.58"
"ALOKINDS","33.40","35.50","33.10","32.30","35.50","3.20","9.91","4,27,21,219","148.84","35.50","10.10","52.36","-"
"GARFIBRES","3,434.85","3,788.85","3,362.00","3,384.85","3,709.00","324.15","9.58","2,31,978","85.94","3,788.85","2,650.00","9.43","20.69"
"GILLETTE","6,690.00","7,335.65","6,652.45","6,650.45","7,220.00","569.55","8.56","87,007","60.61","7,335.65","4,135.25","13.67","41.93"
"DEN","59.40","64.90","59.30","58.90","63.90","5.00","8.49","2,45,03,739","153.74","64.90","25.20","13.27","84.35"
"NETWORK18","93.65","104.80","93.45","93.05","100.90","7.85","8.44","3,97,04,312","398.99","104.80","45.00","14.85","53.75"
"SUBEXLTD","39.60","42.50","39.60","39.05","42.10","3.05","7.81","8,75,99,261","362.75","42.50","25.00","23.95","16.13"
"DISHTV","22.05","23.65","21.70","21.65","23.30","1.65","7.62","24,35,15,889","556.43","23.65","12.40","19.12","25.96"
"HATHWAY","23.45","25.40","23.35","23.25","24.95","1.70","7.31","7,39,72,482","182.27","25.40","12.25","26.21","45.45"
"FIEMIND","2,325.00","2,444.00","2,260.00","2,119.85","2,274.00","154.15","7.27","6,70,014","157.59","2,444.00","1,416.25","12.09","36.41"
"ELECON","942.00","1,028.00","942.00","934.85","1,000.05","65.20","6.97","25,90,941","258.01","1,028.00","349.85","5.78","176.38"
"CENTURYTEX","1,431.00","1,513.85","1,420.50","1,413.15","1,510.00","96.85","6.85","13,98,311","207.32","1,513.85","588.00","14.73","110.93"
"TV18BRDCST","54.75","59.15","54.25","54.30","57.40","3.10","5.71","8,49,68,499","483.98","59.15","27.35","16.14","55.22"
"SPANDANA","1,189.00","1,225.00","1,170.00","1,155.75","1,220.00","64.25","5.56","5,81,462","69.50","1,225.00","470.00","23.53","114.10"
"SEQUENT","128.00","137.25","127.40","126.80","133.60","6.80","5.36","89,54,603","119.21","137.25","61.80","12.83","54.14"
"RELINFRA","231.00","247.00","229.30","229.60","241.70","12.10","5.27","86,77,503","209.61","247.00","114.60","12.22","85.10"
"GODREJIND","851.50","903.55","840.00","841.15","885.00","43.85","5.21","29,35,183","258.85","903.55","395.00","31.50","94.68"
"SUZLON","41.50","42.60","40.00","40.60","42.60","2.00","4.93","9,26,02,484","385.69","44.00","6.95","9.94","-"
"RTNPOWER","10.90","10.90","10.90","10.40","10.90","0.50","4.81","1,22,80,851","13.39","11.10","2.80","18.48","179.49"
"MMTC","63.70","69.95","61.70","63.70","66.75","3.05","4.79","2,32,23,954","155.39","89.20","26.30","14.52","86.51"
"EASEMYTRIP","41.75","44.05","41.60","41.40","43.35","1.95","4.71","9,80,03,466","424.06","56.40","37.00","12.45","-17.35"
"OLECTRA","1,472.00","1,580.00","1,470.10","1,452.80","1,517.00","64.20","4.42","1,00,74,305","1,544.33","1,580.00","374.10","22.50","203.42"
"TTML","92.00","98.85","90.90","91.60","95.60","4.00","4.37","3,48,12,235","335.10","109.10","49.65","2.43","8.59"
"JINDALSAW","450.50","471.00","450.45","449.60","468.90","19.30","4.29","18,91,654","87.72","515.00","107.00","7.77","322.44"
"KALYANKJIL","360.05","375.00","359.00","357.75","373.00","15.25","4.26","32,87,702","121.49","379.75","100.95","15.06","209.26"
"BLS","338.50","354.00","334.40","336.25","350.15","13.90","4.13","52,45,290","181.28","354.00","149.65","23.93","106.45"
"RKFORGE","741.00","792.00","729.35","738.80","769.00","30.20","4.09","10,03,390","77.62","814.70","243.20","4.59","212.22"
"CHALET","690.00","715.00","677.15","685.05","713.00","27.95","4.08","7,55,792","52.88","718.20","327.00","21.05","111.26"
"DATAPATTNS","1,903.50","1,995.45","1,890.30","1,903.45","1,980.00","76.55","4.02","4,64,287","91.13","2,485.00","1,135.80","-1.13","69.96"
"GMRINFRA","80.00","88.70","80.00","83.90","87.10","3.20","3.81","20,25,70,408","1,714.35","88.70","36.00","26.12","116.44"
"AHLUCONT","790.00","817.40","785.25","787.60","817.40","29.80","3.78","84,303","6.77","872.55","447.65","-5.06","58.83"
"REDINGTON","175.90","183.90","175.35","175.40","181.50","6.10","3.48","41,92,894","76.08","196.00","136.20","7.46","-0.60"
"POWERMECH","4,425.00","4,511.00","4,261.00","4,340.90","4,489.80","148.90","3.43","1,26,969","56.48","5,069.45","1,570.60","7.86","115.22"
"ACCELYA","1,477.45","1,523.00","1,477.45","1,461.00","1,509.80","48.80","3.34","1,04,607","15.74","1,750.00","1,065.10","8.22","6.95"
"AARTIPHARM","496.05","510.10","489.45","488.70","504.80","16.10","3.29","5,02,593","25.16","535.35","234.80","7.67","-"
"HEMIPROP","168.20","173.50","166.80","167.00","172.50","5.50","3.29","33,13,010","56.65","173.50","79.90","20.13","60.01"
"ASTRAZEN","5,570.00","5,740.00","5,508.00","5,563.05","5,740.00","176.95","3.18","16,778","9.42","5,796.00","3,098.00","19.28","69.02"
"COSMOFIRST","615.65","646.95","610.70","615.85","634.90","19.05","3.09","1,56,938","9.94","796.90","550.05","2.78","-15.28"
"DHANI","41.40","43.00","41.05","40.60","41.85","1.25","3.08","37,95,395","15.94","49.10","23.60","6.62","7.85"
"KIRLPNU","605.80","638.95","592.05","601.55","620.00","18.45","3.07","1,28,369","7.91","699.85","541.05","4.62","-"
"TVSMOTOR","1,994.80","2,062.90","1,980.00","1,979.30","2,038.80","59.50","3.01","21,95,125","446.33","2,062.90","967.55","7.10","98.91"
"RAINBOW","1,251.15","1,297.20","1,251.15","1,251.15","1,287.00","35.85","2.87","1,65,140","21.13","1,297.20","695.70","18.34","70.20"
"ITDCEM","287.05","297.50","287.05","286.90","295.00","8.10","2.82","10,73,649","31.49","304.85","93.20","3.95","142.13"
"MAITHANALL","1,175.70","1,214.00","1,162.05","1,169.85","1,202.40","32.55","2.78","1,71,290","20.38","1,335.50","766.55","5.21","11.16"
"RBA","113.65","119.10","111.70","113.45","116.55","3.10","2.73","87,52,066","101.65","137.70","84.50","-0.43","4.73"
"JWL","352.80","358.80","345.85","342.80","352.00","9.20","2.68","31,67,555","111.87","411.00","85.20","12.44","253.79"
"LODHA","1,091.05","1,136.95","1,091.05","1,090.55","1,119.80","29.25","2.68","12,25,361","137.01","1,198.90","355.50","22.46","6.21"
"SUNDARMFIN","3,629.00","3,750.00","3,568.05","3,625.85","3,723.00","97.15","2.68","64,790","24.05","3,800.00","2,206.00","12.90","59.85"
"ANGELONE","3,760.00","3,884.15","3,752.50","3,744.10","3,833.95","89.85","2.40","4,37,238","167.42","3,884.15","999.00","28.74","197.15"
"METROBRAND","1,270.00","1,317.25","1,257.00","1,259.60","1,289.70","30.10","2.39","1,45,963","18.62","1,441.20","736.05","-0.36","49.49"
"MANAPPURAM","175.80","180.60","174.55","175.75","179.90","4.15","2.36","1,00,95,638","180.48","181.65","101.15","9.58","51.52"
"POLICYBZR","805.00","825.00","800.25","798.80","817.00","18.20","2.28","11,69,762","95.31","891.00","390.70","-0.76","76.43"
"RPOWER","31.65","33.15","30.80","31.40","32.10","0.70","2.23","19,01,39,992","616.62","33.15","9.05","33.82","121.80"
"GREENLAM","552.00","571.50","549.20","546.90","559.00","12.10","2.21","78,746","4.40","625.55","281.55","-0.15","67.80"
"KPRMILL","766.00","779.05","752.65","761.65","778.50","16.85","2.21","7,70,153","59.12","928.15","505.95","-5.53","49.79"
"SOBHA","1,274.95","1,336.95","1,241.50","1,269.20","1,297.05","27.85","2.19","17,51,276","228.17","1,343.35","412.10","25.59","121.51"
"POLYMED","1,487.00","1,547.80","1,472.00","1,487.00","1,519.00","32.00","2.15","1,24,221","18.78","1,677.00","820.30","-3.95","67.45"
"MOTILALOFS","1,301.95","1,350.00","1,300.40","1,301.95","1,329.95","28.00","2.15","3,66,031","48.74","1,350.00","551.25","11.06","89.19"
"HINDPETRO","424.00","438.00","422.20","420.00","429.00","9.00","2.14","1,45,64,712","627.96","438.00","211.65","13.75","71.83"
"UNICHEMLAB","447.75","462.00","447.75","445.50","455.00","9.50","2.13","53,797","2.44","462.50","264.80","8.70","52.39"
"JKCEMENT","3,954.95","4,040.00","3,898.35","3,930.60","4,014.00","83.40","2.12","1,36,123","54.41","4,040.00","2,540.00","5.50","39.44"
"KAJARIACER","1,348.00","1,393.20","1,348.00","1,343.45","1,371.70","28.25","2.10","4,76,045","65.50","1,523.80","1,006.50","-0.98","18.45"
"BEML","3,125.00","3,316.70","3,109.50","3,095.75","3,160.20","64.45","2.08","11,77,438","376.79","3,316.70","1,128.00","29.09","113.45"
"NYKAA","176.00","182.00","175.15","173.40","177.00","3.60","2.08","1,60,51,230","285.95","183.40","114.25","3.69","15.43"
"AMBER","3,260.00","3,405.00","3,250.05","3,259.65","3,326.00","66.35","2.04","3,03,419","101.61","3,480.00","1,762.50","7.08","73.88"
"DBCORP","286.90","292.00","282.35","282.35","288.00","5.65","2.00","3,23,114","9.28","325.00","92.75","14.27","117.70"
"APARINDS","5,819.40","5,994.55","5,708.00","5,819.40","5,932.00","112.60","1.93","1,20,761","70.86","6,133.00","1,358.55","12.32","223.28"
"DCBBANK","159.20","163.45","158.80","157.85","160.90","3.05","1.93","78,70,280","126.66","163.45","96.55","32.19","26.35"
"MOTHERSON","105.55","107.20","103.90","104.05","106.00","1.95","1.87","3,20,24,265","337.57","108.90","61.80","11.26","40.37"
"NAVNETEDUL","158.00","160.00","155.10","155.10","158.00","2.90","1.87","3,09,058","4.89","175.90","88.45","9.39","33.21"
"IFCI","29.95","31.55","29.45","29.80","30.35","0.55","1.85","6,61,10,574","201.97","31.55","9.00","11.42","117.63"
"ANANDRATHI","2,719.00","2,797.95","2,710.10","2,700.75","2,748.00","47.25","1.75","98,596","27.21","2,797.95","720.60","10.59","272.10"
"360ONE","664.90","684.25","655.40","662.45","673.45","11.00","1.66","8,95,046","59.65","735.00","395.10","3.85","-"
