"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jan-2023"
"NIFTY500 MULTICAP 50:25:25","13,560.65","13,564.20","13,400.65","13,522.90","13,411.75","-111.15","-0.82","3,52,03,53,326","71,594.48","13,564.20","5,531.55","4.48","34.60"
"TRIDENT","42.00","49.05","42.00","40.90","49.05","8.15","19.93","45,46,68,901","2,093.75","49.05","25.05","31.51","43.03"
"CGCL","780.00","920.00","772.05","776.35","875.95","99.60","12.83","41,39,420","359.21","920.00","566.00","16.51","18.44"
"JBMA","1,719.00","1,924.45","1,719.00","1,698.90","1,894.10","195.20","11.49","10,81,504","199.25","1,924.45","482.95","47.19","252.58"
"ALOKINDS","33.40","35.50","33.10","32.30","35.50","3.20","9.91","4,27,21,219","148.84","35.50","10.10","52.36","-"
"GILLETTE","6,690.00","7,335.65","6,652.45","6,650.45","7,220.00","569.55","8.56","87,007","60.61","7,335.65","4,135.25","13.67","41.93"
"NETWORK18","93.65","104.80","93.45","93.05","100.90","7.85","8.44","3,97,04,312","398.99","104.80","45.00","14.85","53.75"
"CENTURYTEX","1,431.00","1,513.85","1,420.50","1,413.15","1,510.00","96.85","6.85","13,98,311","207.32","1,513.85","588.00","14.73","110.93"
"TV18BRDCST","54.75","59.15","54.25","54.30","57.40","3.10","5.71","8,49,68,499","483.98","59.15","27.35","16.14","55.22"
"GODREJIND","851.50","903.55","840.00","841.15","885.00","43.85","5.21","29,35,183","258.85","903.55","395.00","31.50","94.68"
"SUZLON","41.50","42.60","40.00","40.60","42.60","2.00","4.93","9,26,02,484","385.69","44.00","6.95","9.94","-"
"MMTC","63.70","69.95","61.70","63.70","66.75","3.05","4.79","2,32,23,954","155.39","89.20","26.30","14.52","86.51"
"EASEMYTRIP","41.75","44.05","41.60","41.40","43.35","1.95","4.71","9,80,03,466","424.06","56.40","37.00","12.45","-17.35"
"OLECTRA","1,472.00","1,580.00","1,470.10","1,452.80","1,517.00","64.20","4.42","1,00,74,305","1,544.33","1,580.00","374.10","22.50","203.42"
"TTML","92.00","98.85","90.90","91.60","95.60","4.00","4.37","3,48,12,235","335.10","109.10","49.65","2.43","8.59"
"JINDALSAW","450.50","471.00","450.45","449.60","468.90","19.30","4.29","18,91,654","87.72","515.00","107.00","7.77","322.44"
"KALYANKJIL","360.05","375.00","359.00","357.75","373.00","15.25","4.26","32,87,702","121.49","379.75","100.95","15.06","209.26"
"BLS","338.50","354.00","334.40","336.25","350.15","13.90","4.13","52,45,290","181.28","354.00","149.65","23.93","106.45"
"CHALET","690.00","715.00","677.15","685.05","713.00","27.95","4.08","7,55,792","52.88","718.20","327.00","21.05","111.26"
"DATAPATTNS","1,903.50","1,995.45","1,890.30","1,903.45","1,980.00","76.55","4.02","4,64,287","91.13","2,485.00","1,135.80","-1.13","69.96"
"GMRINFRA","80.00","88.70","80.00","83.90","87.10","3.20","3.81","20,25,70,408","1,714.35","88.70","36.00","26.12","116.44"
"REDINGTON","175.90","183.90","175.35","175.40","181.50","6.10","3.48","41,92,894","76.08","196.00","136.20","7.46","-0.60"
"TVSMOTOR","1,994.80","2,062.90","1,980.00","1,979.30","2,038.80","59.50","3.01","21,95,125","446.33","2,062.90","967.55","7.10","98.91"
"RAINBOW","1,251.15","1,297.20","1,251.15","1,251.15","1,287.00","35.85","2.87","1,65,140","21.13","1,297.20","695.70","18.34","70.20"
"RBA","113.65","119.10","111.70","113.45","116.55","3.10","2.73","87,52,066","101.65","137.70","84.50","-0.43","4.73"
"LODHA","1,091.05","1,136.95","1,091.05","1,090.55","1,119.80","29.25","2.68","12,25,361","137.01","1,198.90","355.50","22.46","6.21"
"SUNDARMFIN","3,629.00","3,750.00","3,568.05","3,625.85","3,723.00","97.15","2.68","64,790","24.05","3,800.00","2,206.00","12.90","59.85"
