"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP 100","59,978.45","59,981.00","59,194.25","60,470.85","59,438.00","-","-1,032.85","-1.71","83,60,50,711","23,375.79","61,548.85","46,865.70","-0.27","16.82"
"MFSL","1,821.30","1,848.50","1,817.30","1,813.50","1,835.00","-","21.50","1.19","15,88,459","291.28","1,848.50","950.00","11.48","69.93"
"BLUESTARCO","1,960.00","2,015.00","1,952.30","1,974.00","1,991.00","-","17.00","0.86","6,18,695","123.37","2,269.80","1,521.00","11.03","-0.19"
"BIOCON","374.00","381.90","368.30","375.05","378.10","-","3.05","0.81","53,87,172","203.48","424.95","291.00","0.21","5.23"
"COROMANDEL","2,255.00","2,300.00","2,241.00","2,270.20","2,288.00","-","17.80","0.78","3,23,878","73.61","2,718.90","1,596.00","-2.70","23.59"
"ASTRAL","1,589.00","1,604.60","1,559.50","1,591.60","1,601.00","-","9.40","0.59","5,85,825","93.01","1,615.50","1,232.30","11.30","16.80"
"TORNTPOWER","1,451.00","1,468.30","1,428.00","1,453.70","1,462.20","-","8.50","0.58","6,21,000","90.50","1,640.00","1,188.00","8.59","16.45"
"BHARATFORG","1,756.90","1,784.20","1,725.90","1,726.70","1,735.10","-","8.40","0.49","43,13,855","758.01","1,784.20","919.10","18.82","61.22"
"PERSISTENT","5,210.00","5,540.00","5,210.00","5,452.00","5,473.00","-","21.00","0.39","18,06,431","978.62","6,599.00","4,148.95","-13.91","-3.36"
"INDUSINDBK","922.00","929.95","903.35","922.70","926.25","-","3.55","0.38","28,60,622","262.92","1,063.95","606.00","1.72","-11.55"
"FEDERALBNK","287.05","290.55","285.10","287.10","287.70","-","0.60","0.21","62,02,181","178.86","298.25","172.66","15.40","58.25"
"NTPCGREEN","88.75","89.28","87.42","89.08","89.04","-","-0.04","-0.04","23,57,251","20.88","117.64","84.05","-2.86","-17.69"
"AUROPHARMA","1,149.10","1,157.40","1,126.80","1,157.90","1,157.00","-","-0.90","-0.08","16,82,470","192.66","1,278.60","1,010.00","-0.92","-1.94"
"HINDPETRO","452.35","455.25","448.75","452.35","451.00","-","-1.35","-0.30","19,12,866","86.29","508.45","287.55","0.48","40.87"
"SRF","2,815.00","2,841.00","2,765.60","2,841.50","2,833.00","-","-8.50","-0.30","1,96,550","55.46","3,325.00","2,570.20","-6.80","-0.30"
"HDFCAMC","2,817.00","2,832.40","2,797.40","2,835.70","2,825.00","-","-10.70","-0.38","10,46,968","294.71","2,967.25","1,781.53","13.65","50.43"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
"MPHASIS","2,387.60","2,501.20","2,355.20","2,464.00","2,452.50","-","-11.50","-0.47","17,25,163","422.18","3,037.20","2,044.55","-14.66","-5.74"
"KEI","4,589.10","4,618.90","4,510.00","4,591.30","4,568.00","-","-23.30","-0.51","1,84,007","84.08","4,646.00","2,424.00","5.97","34.20"
"SWIGGY","337.00","341.65","329.35","337.35","335.30","-","-2.05","-0.61","1,01,14,145","339.35","474.00","297.00","-4.30","-8.26"
"AUBANK","998.10","1,004.60","984.65","1,000.60","993.50","-","-7.10","-0.71","18,02,819","179.57","1,029.95","478.35","2.22","79.64"
"LUPIN","2,210.00","2,219.20","2,160.00","2,211.10","2,194.00","-","-17.10","-0.77","11,26,141","246.92","2,244.50","1,795.20","0.69","6.75"
"MRF","1,50,750.00","1,51,500.00","1,48,505.00","1,51,210.00","1,50,000.00","-","-1,210.00","-0.80","7,131","107.13","1,63,600.00","1,02,124.05","1.55","36.65"
"SAIL","157.80","161.30","155.00","160.35","159.00","-","-1.35","-0.84","1,98,99,685","315.59","163.00","99.15","7.61","45.43"
"IDFCFIRSTB","81.78","82.35","80.01","82.15","81.42","-","-0.73","-0.89","1,42,07,864","115.30","87.00","52.46","-1.86","32.41"
"MANKIND","2,076.10","2,085.30","2,050.10","2,079.00","2,060.30","-","-18.70","-0.90","2,08,497","43.08","2,716.50","2,033.00","-6.94","-17.63"
"INDIANB","875.00","881.90","864.15","880.70","872.70","-","-8.00","-0.91","8,77,486","76.73","923.00","478.00","6.72","67.86"
"EXIDEIND","337.70","340.35","332.15","338.05","334.90","-","-3.15","-0.93","16,28,679","54.83","431.00","308.45","-3.21","-8.73"
"VOLTAS","1,534.00","1,534.00","1,510.20","1,535.80","1,521.30","-","-14.50","-0.94","5,34,253","81.36","1,546.80","1,182.70","4.15","21.85"
"GODREJPROP","1,787.80","1,817.10","1,727.10","1,821.70","1,804.00","-","-17.70","-0.97","20,52,670","363.16","2,506.50","1,475.00","-3.98","-10.94"
"SONACOMS","526.05","531.85","520.10","532.80","527.60","-","-5.20","-0.98","10,82,968","57.03","559.50","380.00","15.44","2.16"
"APLAPOLLO","2,272.40","2,272.80","2,237.80","2,272.90","2,249.70","-","-23.20","-1.02","3,74,996","84.40","2,301.40","1,272.70","18.08","63.71"
"FORTIS","928.15","930.90","914.30","928.55","919.00","-","-9.55","-1.03","12,21,319","112.37","1,104.30","587.10","1.21","50.21"
"COLPAL","2,128.00","2,130.00","2,100.50","2,138.90","2,115.40","-","-23.50","-1.10","3,74,088","79.29","2,747.40","2,029.40","0.41","-14.54"
"POWERINDIA","22,500.00","22,679.00","22,225.00","22,702.00","22,450.00","-","-252.00","-1.11","72,497","162.74","23,140.00","10,300.00","31.24","90.98"
"IRCTC","625.00","632.75","612.00","622.05","614.95","-","-7.10","-1.14","39,30,956","245.44","820.25","596.00","-2.42","-17.61"
"IRB","44.28","44.45","43.75","44.46","43.95","-","-0.51","-1.15","75,97,646","33.48","54.28","38.57","7.43","-11.16"
"IREDA","124.55","124.58","121.65","125.22","123.73","-","-1.49","-1.19","1,01,90,497","125.17","187.70","121.65","-11.62","-30.12"
"YESBANK","21.03","21.07","20.71","21.10","20.84","-","-0.26","-1.23","5,92,08,817","123.39","24.30","16.02","-8.56","14.69"
"UNIONBANK","180.00","180.76","178.10","181.00","178.76","-","-2.24","-1.24","87,33,451","156.56","183.34","106.63","7.56","58.17"
"BHARTIHEXA","1,680.20","1,683.00","1,661.10","1,681.90","1,661.10","-","-20.80","-1.24","46,525","7.77","2,052.90","1,234.00","-1.13","21.63"
"MARICO","769.00","771.85","757.85","770.65","760.40","-","-10.25","-1.33","9,66,405","73.78","780.00","577.85","0.58","19.84"
"OBEROIRLTY","1,539.00","1,556.60","1,515.30","1,566.60","1,545.00","-","-21.60","-1.38","4,94,872","76.18","2,005.00","1,425.50","-6.76","-5.14"
"JUBLFOOD","540.75","543.65","525.25","540.75","533.05","-","-7.70","-1.42","15,14,289","80.95","727.95","481.10","0.96","-19.49"
"PAGEIND","33,545.00","34,065.00","33,300.00","33,850.00","33,370.00","-","-480.00","-1.42","15,457","52.00","50,590.00","31,740.00","-3.68","-19.94"
"NHPC","76.05","76.12","75.20","76.50","75.38","-","-1.12","-1.46","1,00,66,742","76.07","92.34","71.00","-7.42","0.11"
"RVNL","309.95","311.45","306.00","313.70","309.10","-","-4.60","-1.47","81,68,629","251.85","447.80","301.20","-6.39","-18.51"
"TIINDIA","2,490.00","2,517.90","2,452.40","2,511.40","2,472.50","-","-38.90","-1.55","3,15,365","78.61","3,419.90","2,164.90","3.57","-8.87"
"360ONE","1,136.30","1,146.20","1,115.60","1,144.40","1,126.70","-","-17.70","-1.55","4,71,438","53.15","1,273.80","790.50","-0.89","18.21"
"SBICARD","772.80","772.80","755.55","772.80","760.80","-","-12.00","-1.55","5,15,475","39.23","1,027.25","725.15","-11.31","-11.52"
"INDUSTOWER","469.50","472.00","464.15","474.00","466.50","-","-7.50","-1.58","43,13,315","201.80","475.00","312.55","9.02","33.76"
"DABUR","517.25","518.95","510.10","519.55","511.30","-","-8.25","-1.59","17,46,636","89.90","577.00","433.30","-2.06","-1.64"
"PATANJALI","520.00","523.95","511.80","523.15","514.60","-","-8.55","-1.63","35,57,112","184.11","670.33","480.00","-5.38","-15.21"
"IGL","170.40","170.50","163.00","169.61","166.79","-","-2.82","-1.66","56,68,937","93.99","229.00","163.00","-7.92","-12.68"
"PIIND","3,035.00","3,243.50","3,035.00","3,222.30","3,167.80","-","-54.50","-1.69","13,27,261","419.95","4,330.00","2,951.10","-3.04","-1.82"
"COCHINSHIP","1,500.40","1,500.40","1,462.70","1,500.40","1,474.00","-","-26.40","-1.76","4,24,397","62.61","2,545.00","1,180.20","-4.74","13.41"
"POLICYBZR","1,534.90","1,556.50","1,519.40","1,553.60","1,525.00","-","-28.60","-1.84","13,64,875","209.56","1,978.00","1,311.35","-6.92","-6.66"
"GLENMARK","2,034.00","2,047.90","1,992.00","2,034.50","1,997.00","-","-37.50","-1.84","8,65,050","174.91","2,284.80","1,275.50","-0.56","41.51"
"CONCOR","503.00","503.90","497.00","506.85","497.50","-","-9.35","-1.84","5,88,653","29.44","652.04","472.75","-3.86","-10.46"
"GODFRYPHLP","2,100.00","2,113.60","2,075.00","2,124.70","2,085.00","-","-39.70","-1.87","1,46,574","30.67","3,947.00","1,611.85","-5.89","25.11"
"ACC","1,667.90","1,675.00","1,632.00","1,671.30","1,639.60","-","-31.70","-1.90","1,29,132","21.21","2,119.90","1,593.00","-3.97","-14.34"
"VMM","123.00","123.20","121.01","123.87","121.50","-","-2.37","-1.91","41,66,950","50.79","157.60","95.99","-5.20","13.60"
