"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","25,571.15","25,630.35","25,444.30","25,807.20","25,471.10","-","-336.10","-1.30","45,35,23,192","40,136.90","26,373.20","21,743.65","-1.02","10.59"
"BAJFINANCE","995.00","1,032.00","992.80","999.10","1,030.00","-","30.90","3.09","2,16,13,987","2,195.18","1,102.50","802.50","8.54","22.49"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"SBILIFE","2,039.00","2,043.90","2,005.20","2,022.10","2,039.00","-","16.90","0.84","12,40,712","251.87","2,109.60","1,379.85","-2.08","38.66"
"SBIN","1,189.00","1,201.00","1,184.50","1,192.40","1,196.30","-","3.90","0.33","1,81,41,390","2,167.30","1,203.70","680.00","16.32","64.41"
"CIPLA","1,328.00","1,336.10","1,315.80","1,330.00","1,331.70","-","1.70","0.13","12,36,946","164.25","1,673.00","1,281.70","-8.05","-9.54"
"TECHM","1,482.60","1,548.00","1,464.40","1,536.60","1,534.00","-","-2.60","-0.17","70,58,376","1,069.54","1,854.00","1,209.40","-5.00","-8.43"
"APOLLOHOSP","7,518.00","7,598.00","7,485.00","7,539.00","7,525.00","-","-14.00","-0.19","4,31,623","326.30","8,099.50","6,001.00","2.92","18.09"
"LT","4,174.10","4,199.00","4,134.10","4,185.90","4,172.00","-","-13.90","-0.33","22,34,376","932.89","4,199.00","2,965.30","7.32","27.83"
"ULTRACEMCO","13,012.00","13,025.00","12,873.00","13,029.00","12,977.00","-","-52.00","-0.40","1,78,236","230.73","13,110.00","10,047.85","7.75","12.39"
"DRREDDY","1,274.00","1,279.30","1,263.60","1,274.90","1,269.70","-","-5.20","-0.41","8,38,946","106.59","1,379.70","1,020.00","6.58","3.77"
"BAJAJFINSV","2,035.00","2,035.00","2,012.70","2,037.10","2,027.00","-","-10.10","-0.50","7,56,233","153.02","2,195.00","1,727.25","0.79","9.61"
"AXISBANK","1,341.30","1,346.50","1,316.10","1,340.00","1,330.80","-","-9.20","-0.69","46,24,549","615.54","1,418.30","978.05","5.45","32.00"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"HDFCLIFE","702.00","707.55","695.05","702.70","696.85","-","-5.85","-0.83","20,76,033","145.21","820.75","600.35","-6.90","10.68"
"TRENT","4,247.10","4,299.00","4,195.10","4,285.60","4,249.00","-","-36.60","-0.85","6,65,095","282.92","6,261.00","3,645.00","8.34","-19.17"
"SUNPHARMA","1,714.90","1,719.00","1,694.60","1,714.90","1,699.10","-","-15.80","-0.92","11,48,165","195.73","1,851.20","1,548.00","-1.71","-2.71"
"BAJAJ-AUTO","9,800.50","9,900.50","9,720.00","9,840.00","9,748.00","-","-92.00","-0.93","1,20,688","118.33","9,941.00","7,089.35","2.03","12.16"
"ICICIBANK","1,425.30","1,434.40","1,410.70","1,430.00","1,415.50","-","-14.50","-1.01","1,22,28,083","1,733.58","1,500.00","1,200.10","-1.50","13.34"
