"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY NEXT 50","69,374.65","69,381.80","68,485.50","69,916.10","68,826.75","-","-1,089.35","-1.56","21,77,57,583","10,822.62","70,833.65","56,192.45","0.44","12.93"
"HAL","4,189.00","4,263.50","4,155.80","4,158.90","4,206.00","-","47.10","1.13","35,32,180","1,489.71","5,165.00","3,046.05","-5.53","14.91"
"ENRIN","2,725.00","2,849.90","2,682.60","2,731.30","2,745.60","-","14.30","0.52","10,06,399","278.07","3,625.00","2,115.00","14.19","-"
"HAVELLS","1,391.10","1,419.00","1,378.40","1,400.50","1,402.30","-","1.80","0.13","7,74,193","108.41","1,673.80","1,250.10","-2.05","-7.90"
"HYUNDAI","2,163.10","2,186.00","2,136.40","2,177.50","2,180.00","-","2.50","0.11","2,82,874","61.40","2,890.00","1,541.70","-5.48","21.16"
"DIVISLAB","6,141.00","6,200.00","6,054.00","6,185.00","6,177.00","-","-8.00","-0.13","2,99,364","183.81","7,071.50","4,955.00","-4.03","2.77"
"TORNTPHARM","4,077.20","4,130.00","4,057.30","4,077.20","4,069.80","-","-7.40","-0.18","5,18,965","212.56","4,130.00","2,886.45","3.29","32.38"
"TVSMOTOR","3,861.60","3,894.00","3,832.20","3,881.20","3,870.00","-","-11.20","-0.29","2,60,604","100.75","3,909.00","2,192.75","3.05","56.34"
"ABB","5,788.50","5,855.00","5,726.50","5,788.50","5,768.00","-","-20.50","-0.35","1,52,957","88.66","6,260.00","4,637.50","16.15","5.98"
"CGPOWER","680.00","684.50","671.40","685.10","680.00","-","-5.10","-0.74","11,43,123","77.62","797.55","517.70","16.92","17.34"
"IOC","177.28","177.90","176.04","178.11","176.72","-","-1.39","-0.78","98,35,632","173.97","182.25","110.72","12.27","47.17"
"ICICIGI","1,885.70","1,927.90","1,885.70","1,919.80","1,903.20","-","-16.60","-0.86","5,81,964","111.42","2,068.70","1,613.70","0.94","7.11"
"BPCL","377.45","378.40","372.95","377.70","374.30","-","-3.40","-0.90","26,96,607","101.14","391.65","234.01","5.41","46.35"
"SHREECEM","26,090.00","26,255.00","25,750.00","26,340.00","26,100.00","-","-240.00","-0.91","27,809","72.43","32,490.00","25,360.00","-3.89","-7.53"
"BANKBARODA","287.30","288.00","284.60","289.85","287.10","-","-2.75","-0.95","62,95,039","180.34","313.35","190.70","-4.89","36.20"
"GODREJCP","1,196.00","1,202.20","1,191.00","1,204.30","1,192.00","-","-12.30","-1.02","8,27,685","99.13","1,309.00","979.50","-3.82","13.22"
"GAIL","162.40","163.33","161.12","163.72","161.99","-","-1.73","-1.06","85,23,271","137.86","202.79","150.52","-1.98","-0.21"
"BAJAJHFL","89.80","89.84","88.90","90.39","89.39","-","-1.00","-1.11","38,84,937","34.70","136.96","87.11","-5.14","-20.51"
"SIEMENS","3,131.00","3,184.50","3,083.10","3,148.50","3,113.00","-","-35.50","-1.13","4,11,114","128.66","5,520.00","2,450.00","5.61","-39.02"
"UNITDSPR","1,414.00","1,423.00","1,398.10","1,417.40","1,400.20","-","-17.20","-1.21","3,83,577","54.06","1,645.00","1,271.10","6.12","0.24"
"NAUKRI","1,138.80","1,179.90","1,104.20","1,149.30","1,135.00","-","-14.30","-1.24","36,38,049","410.81","1,566.39","1,104.20","-14.82","-25.73"
"MOTHERSON","132.58","133.49","130.72","132.74","130.99","-","-1.75","-1.32","1,93,24,007","255.48","135.83","71.50","13.97","51.36"
"RECLTD","348.10","348.50","339.80","350.70","346.00","-","-4.70","-1.34","85,52,636","294.60","450.00","330.95","-5.70","-15.54"
"LODHA","1,071.25","1,079.05","1,045.90","1,084.85","1,070.35","-","-14.50","-1.34","17,95,630","191.47","1,531.00","863.80","-0.38","-8.77"
"PIDILITIND","1,486.10","1,489.60","1,472.10","1,497.40","1,477.00","-","-20.40","-1.36","4,74,002","70.24","1,574.95","1,311.10","-1.46","4.82"
"BAJAJHLDNG","11,040.00","11,040.00","10,821.00","11,040.00","10,888.00","-","-152.00","-1.38","32,683","35.57","14,763.00","10,400.00","1.48","-10.33"
"CHOLAFIN","1,727.30","1,731.00","1,703.00","1,731.80","1,706.70","-","-25.10","-1.45","15,44,271","264.01","1,831.50","1,302.00","0.33","22.71"
"ZYDUSLIFE","920.95","923.40","897.30","920.95","906.50","-","-14.45","-1.57","4,74,515","43.01","1,059.05","795.00","0.64","-3.86"
"VBL","452.50","453.75","445.60","455.70","448.45","-","-7.25","-1.59","30,80,721","138.55","568.50","419.55","-10.52","-12.65"
"TATAPOWER","377.00","377.80","370.65","380.55","374.35","-","-6.20","-1.63","44,41,440","165.99","416.80","326.35","1.60","7.62"
"JINDALSTEL","1,193.40","1,193.40","1,167.30","1,203.40","1,183.60","-","-19.80","-1.65","13,02,484","153.91","1,207.00","770.00","17.10","40.82"
"LTIM","5,004.00","5,178.50","4,988.00","5,211.50","5,124.50","-","-87.00","-1.67","6,87,029","349.33","6,429.50","3,802.00","-16.00","-8.51"
"JSWENERGY","479.00","479.00","468.85","479.50","471.40","-","-8.10","-1.69","11,71,877","55.54","579.00","418.75","-4.60","0.80"
"DMART","3,944.30","3,949.50","3,887.00","3,963.00","3,890.00","-","-73.00","-1.84","2,19,061","85.69","4,949.50","3,340.00","1.65","5.23"
"IRFC","112.80","112.85","111.05","113.53","111.40","-","-2.13","-1.88","1,30,84,758","145.99","148.95","108.04","-8.18","-11.99"
"PNB","120.10","120.36","118.30","120.96","118.55","-","-2.41","-1.99","1,47,37,408","175.29","135.15","85.46","-4.79","25.26"
"INDHOTEL","707.00","707.00","683.40","712.00","697.40","-","-14.60","-2.05","38,61,052","268.89","858.00","627.20","2.84","-5.34"
"BRITANNIA","6,080.00","6,098.50","5,968.00","6,102.00","5,971.00","-","-131.00","-2.15","1,59,821","96.04","6,336.00","4,506.00","0.90","22.14"
"LICI","872.40","877.00","856.20","880.95","861.80","-","-19.15","-2.17","8,75,027","75.95","980.00","715.30","3.61","9.81"
"CANBK","143.80","143.80","141.42","144.81","141.65","-","-3.16","-2.18","1,41,39,257","201.06","160.79","78.60","-6.10","59.66"
"BOSCHLTD","36,415.00","36,420.00","35,600.00","36,495.00","35,700.00","-","-795.00","-2.18","13,848","49.73","41,945.00","25,921.60","-5.82","30.53"
"PFC","407.45","408.00","399.40","410.55","400.00","-","-10.55","-2.57","70,60,981","283.80","444.10","329.90","8.24","4.03"
"MAZDOCK","2,400.00","2,405.00","2,340.00","2,414.90","2,344.00","-","-63.40","-2.63","8,48,843","200.93","3,775.00","1,918.05","-5.54","5.99"
"AMBUJACEM","526.85","530.50","517.25","532.85","518.75","-","-14.10","-2.65","12,97,366","67.64","624.95","455.00","-3.52","3.23"
"SOLARINDS","13,250.00","13,300.00","12,935.00","13,391.00","12,965.00","-","-426.00","-3.18","90,669","118.86","17,820.00","8,482.50","2.12","47.21"
"DLF","641.60","641.60","623.55","651.80","626.95","-","-24.85","-3.81","48,38,136","304.39","886.80","586.65","-3.90","-7.89"
"ADANIENSOL","1,017.00","1,017.00","979.00","1,022.80","983.00","-","-39.80","-3.89","16,57,616","163.93","1,067.70","639.45","5.42","32.12"
"VEDL","685.00","685.00","662.55","702.75","673.90","-","-28.85","-4.11","1,58,68,021","1,069.27","769.80","363.00","5.76","58.73"
"ADANIGREEN","988.90","989.90","943.75","997.65","949.55","-","-48.10","-4.82","29,43,844","281.69","1,177.55","758.00","1.37","3.92"
"HINDZINC","599.95","608.00","591.00","623.70","593.10","-","-30.60","-4.91","94,24,678","562.18","733.00","378.15","-5.83","44.03"
"ADANIPOWER","149.20","149.30","139.10","149.79","140.40","-","-9.39","-6.27","3,86,79,559","548.05","182.70","92.40","-2.08","40.92"
