"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY FINANCIAL SERVICES EX-BANK","32,069.10","32,094.65","31,753.15","32,288.25","31,916.55","-","-371.70","-1.15","13,41,15,359","11,829.88","32,654.20","23,850.75","1.02","27.20"
"BAJFINANCE","995.00","1,032.00","992.80","999.10","1,030.00","-","30.90","3.09","2,16,13,987","2,195.18","1,102.50","802.50","8.54","22.49"
"MFSL","1,821.30","1,848.50","1,817.30","1,813.50","1,835.00","-","21.50","1.19","15,88,459","291.28","1,848.50","950.00","11.48","69.93"
"SBILIFE","2,039.00","2,043.90","2,005.20","2,022.10","2,039.00","-","16.90","0.84","12,40,712","251.87","2,109.60","1,379.85","-2.08","38.66"
"ICICIPRULI","635.00","646.80","629.85","638.10","638.75","-","0.65","0.10","7,11,887","45.61","706.80","525.80","-6.27","8.11"
"HDFCAMC","2,817.00","2,832.40","2,797.40","2,835.70","2,825.00","-","-10.70","-0.38","10,46,968","294.71","2,967.25","1,781.53","13.65","50.43"
"BAJAJFINSV","2,035.00","2,035.00","2,012.70","2,037.10","2,027.00","-","-10.10","-0.50","7,56,233","153.02","2,195.00","1,727.25","0.79","9.61"
"HDFCLIFE","702.00","707.55","695.05","702.70","696.85","-","-5.85","-0.83","20,76,033","145.21","820.75","600.35","-6.90","10.68"
"ICICIGI","1,885.70","1,927.90","1,885.70","1,919.80","1,903.20","-","-16.60","-0.86","5,81,964","111.42","2,068.70","1,613.70","0.94","7.11"
"RECLTD","348.10","348.50","339.80","350.70","346.00","-","-4.70","-1.34","85,52,636","294.60","450.00","330.95","-5.70","-15.54"
"JIOFIN","265.00","267.25","262.85","267.55","263.85","-","-3.70","-1.38","1,22,22,314","323.30","338.60","198.65","-7.29","15.69"
"CAMS","726.00","728.80","715.00","730.40","720.10","-","-10.30","-1.41","4,87,002","35.12","875.00","606.21","1.28","5.58"
"CHOLAFIN","1,727.30","1,731.00","1,703.00","1,731.80","1,706.70","-","-25.10","-1.45","15,44,271","264.01","1,831.50","1,302.00","0.33","22.71"
"360ONE","1,136.30","1,146.20","1,115.60","1,144.40","1,126.70","-","-17.70","-1.55","4,71,438","53.15","1,273.80","790.50","-0.89","18.21"
"SBICARD","772.80","772.80","755.55","772.80","760.80","-","-12.00","-1.55","5,15,475","39.23","1,027.25","725.15","-11.31","-11.52"
"SHRIRAMFIN","1,081.80","1,086.00","1,060.00","1,082.80","1,063.90","-","-18.90","-1.75","45,55,743","486.95","1,087.10","525.10","8.67","93.91"
"POLICYBZR","1,534.90","1,556.50","1,519.40","1,553.60","1,525.00","-","-28.60","-1.84","13,64,875","209.56","1,978.00","1,311.35","-6.92","-6.66"
"IEX","125.01","125.29","119.38","125.91","123.56","-","-2.35","-1.87","1,95,51,693","239.51","215.40","119.00","-12.56","-27.15"
"IRFC","112.80","112.85","111.05","113.53","111.40","-","-2.13","-1.88","1,30,84,758","145.99","148.95","108.04","-8.18","-11.99"
"LICHSGFIN","515.00","515.35","506.70","517.10","507.00","-","-10.10","-1.95","9,67,179","49.30","646.50","483.70","-2.70","-8.03"
"PNBHOUSING","848.00","848.00","827.70","852.85","836.00","-","-16.85","-1.98","10,57,628","88.59","1,141.90","746.70","-13.82","3.70"
"LICI","872.40","877.00","856.20","880.95","861.80","-","-19.15","-2.17","8,75,027","75.95","980.00","715.30","3.61","9.81"
"PAYTM","1,140.00","1,140.40","1,099.30","1,148.70","1,122.90","-","-25.80","-2.25","63,19,748","706.46","1,381.80","651.50","-12.38","48.65"
"ANGELONE","2,709.00","2,733.40","2,669.80","2,752.00","2,685.00","-","-67.00","-2.43","6,03,593","162.85","3,285.00","1,941.00","10.07","16.10"
"LTF","291.00","291.20","283.70","292.05","284.85","-","-7.20","-2.47","43,22,331","123.52","329.45","131.05","-1.32","102.99"
"CDSL","1,350.00","1,359.00","1,321.10","1,370.20","1,335.60","-","-34.60","-2.53","16,63,043","222.32","1,828.90","1,047.45","-5.94","8.85"
"PFC","407.45","408.00","399.40","410.55","400.00","-","-10.55","-2.57","70,60,981","283.80","444.10","329.90","8.24","4.03"
"ABCAPITAL","344.00","344.00","334.50","344.65","335.50","-","-9.15","-2.65","54,36,281","183.52","369.30","149.01","-4.38","110.68"
"BSE","3,100.00","3,127.00","3,017.90","3,143.20","3,023.90","-","-119.30","-3.80","38,85,000","1,184.59","3,227.00","1,227.33","6.78","72.61"
"MCX","2,380.00","2,404.40","2,321.20","2,441.90","2,338.80","-","-103.10","-4.22","34,59,271","812.20","2,705.00","881.63","2.00","108.42"
"MUTHOOTFIN","3,870.00","3,870.00","3,552.70","4,066.90","3,587.00","-","-479.90","-11.80","64,98,829","2,357.05","4,149.50","1,965.00","-8.64","54.76"
