"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDSMALL FINANCIAL SERVICES","21,065.95","21,065.95","20,733.65","21,252.80","20,839.30","-","-413.50","-1.95","18,51,98,833","8,863.10","21,300.00","13,363.10","1.09","42.03"
"MFSL","1,821.30","1,848.50","1,817.30","1,813.50","1,835.00","-","21.50","1.19","15,88,459","291.28","1,848.50","950.00","11.48","69.93"
"INDUSINDBK","922.00","929.95","903.35","922.70","926.25","-","3.55","0.38","28,60,622","262.92","1,063.95","606.00","1.72","-11.55"
"FEDERALBNK","287.05","290.55","285.10","287.10","287.70","-","0.60","0.21","62,02,181","178.86","298.25","172.66","15.40","58.25"
"ICICIPRULI","635.00","646.80","629.85","638.10","638.75","-","0.65","0.10","7,11,887","45.61","706.80","525.80","-6.27","8.11"
"HDFCAMC","2,817.00","2,832.40","2,797.40","2,835.70","2,825.00","-","-10.70","-0.38","10,46,968","294.71","2,967.25","1,781.53","13.65","50.43"
"AUBANK","998.10","1,004.60","984.65","1,000.60","993.50","-","-7.10","-0.71","18,02,819","179.57","1,029.95","478.35","2.22","79.64"
"IDFCFIRSTB","81.78","82.35","80.01","82.15","81.42","-","-0.73","-0.89","1,42,07,864","115.30","87.00","52.46","-1.86","32.41"
"INDIANB","875.00","881.90","864.15","880.70","872.70","-","-8.00","-0.91","8,77,486","76.73","923.00","478.00","6.72","67.86"
"YESBANK","21.03","21.07","20.71","21.10","20.84","-","-0.26","-1.23","5,92,08,817","123.39","24.30","16.02","-8.56","14.69"
"UNIONBANK","180.00","180.76","178.10","181.00","178.76","-","-2.24","-1.24","87,33,451","156.56","183.34","106.63","7.56","58.17"
"RBLBANK","313.45","317.20","310.00","317.00","312.55","-","-4.45","-1.40","38,35,217","120.45","332.00","149.21","2.24","89.94"
"CAMS","726.00","728.80","715.00","730.40","720.10","-","-10.30","-1.41","4,87,002","35.12","875.00","606.21","1.28","5.58"
"360ONE","1,136.30","1,146.20","1,115.60","1,144.40","1,126.70","-","-17.70","-1.55","4,71,438","53.15","1,273.80","790.50","-0.89","18.21"
"SBICARD","772.80","772.80","755.55","772.80","760.80","-","-12.00","-1.55","5,15,475","39.23","1,027.25","725.15","-11.31","-11.52"
"POLICYBZR","1,534.90","1,556.50","1,519.40","1,553.60","1,525.00","-","-28.60","-1.84","13,64,875","209.56","1,978.00","1,311.35","-6.92","-6.66"
"IEX","125.01","125.29","119.38","125.91","123.56","-","-2.35","-1.87","1,95,51,693","239.51","215.40","119.00","-12.56","-27.15"
"LICHSGFIN","515.00","515.35","506.70","517.10","507.00","-","-10.10","-1.95","9,67,179","49.30","646.50","483.70","-2.70","-8.03"
"PNBHOUSING","848.00","848.00","827.70","852.85","836.00","-","-16.85","-1.98","10,57,628","88.59","1,141.90","746.70","-13.82","3.70"
"MANAPPURAM","306.70","306.70","296.60","308.65","302.15","-","-6.50","-2.11","49,16,102","148.05","321.60","168.83","-1.92","55.70"
"BANKINDIA","164.10","164.45","161.26","165.28","161.69","-","-3.59","-2.17","81,20,034","131.84","170.50","92.66","9.58","59.93"
"PAYTM","1,140.00","1,140.40","1,099.30","1,148.70","1,122.90","-","-25.80","-2.25","63,19,748","706.46","1,381.80","651.50","-12.38","48.65"
"ANGELONE","2,709.00","2,733.40","2,669.80","2,752.00","2,685.00","-","-67.00","-2.43","6,03,593","162.85","3,285.00","1,941.00","10.07","16.10"
"LTF","291.00","291.20","283.70","292.05","284.85","-","-7.20","-2.47","43,22,331","123.52","329.45","131.05","-1.32","102.99"
"CDSL","1,350.00","1,359.00","1,321.10","1,370.20","1,335.60","-","-34.60","-2.53","16,63,043","222.32","1,828.90","1,047.45","-5.94","8.85"
"ABCAPITAL","344.00","344.00","334.50","344.65","335.50","-","-9.15","-2.65","54,36,281","183.52","369.30","149.01","-4.38","110.68"
"BANDHANBNK","168.10","170.03","164.50","169.54","164.85","-","-4.69","-2.77","44,30,723","73.85","192.48","128.16","14.98","17.51"
"HUDCO","201.50","201.50","193.78","201.93","195.40","-","-6.53","-3.23","1,00,52,817","197.00","253.73","158.85","-9.13","1.47"
"BSE","3,100.00","3,127.00","3,017.90","3,143.20","3,023.90","-","-119.30","-3.80","38,85,000","1,184.59","3,227.00","1,227.33","6.78","72.61"
"MCX","2,380.00","2,404.40","2,321.20","2,441.90","2,338.80","-","-103.10","-4.22","34,59,271","812.20","2,705.00","881.63","2.00","108.42"
"MUTHOOTFIN","3,870.00","3,870.00","3,552.70","4,066.90","3,587.00","-","-479.90","-11.80","64,98,829","2,357.05","4,149.50","1,965.00","-8.64","54.76"
