"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDSMALL HEALTHCARE","42,613.85","42,740.85","42,161.80","42,841.50","42,224.95","-","-616.55","-1.44","2,70,93,203","2,338.91","46,103.35","31,279.60","-3.20","8.17"
"PPLPHARMA","162.50","167.88","159.00","163.31","166.05","-","2.74","1.68","46,47,771","76.57","240.95","148.31","-1.37","-17.21"
"AJANTPHARM","2,885.00","2,942.50","2,851.10","2,890.00","2,927.90","-","37.90","1.31","1,71,375","50.00","3,020.80","2,327.30","7.23","17.32"
"BIOCON","374.00","381.90","368.30","375.05","378.10","-","3.05","0.81","53,87,172","203.48","424.95","291.00","0.21","5.23"
"NEULANDLAB","12,997.00","13,296.00","12,823.00","12,960.00","13,044.00","-","84.00","0.65","39,031","50.88","19,747.00","10,190.70","-8.95","2.17"
"WOCKPHARMA","1,370.00","1,435.00","1,363.00","1,382.90","1,391.40","-","8.50","0.61","4,65,807","65.24","1,868.80","1,110.05","0.27","-3.14"
"IPCALAB","1,458.00","1,503.90","1,428.80","1,472.90","1,474.00","-","1.10","0.07","4,08,095","60.46","1,595.00","1,168.20","-2.24","-1.13"
"AUROPHARMA","1,149.10","1,157.40","1,126.80","1,157.90","1,157.00","-","-0.90","-0.08","16,82,470","192.66","1,278.60","1,010.00","-0.92","-1.94"
"ASTERDM","602.15","607.25","591.55","602.85","600.10","-","-2.75","-0.46","5,78,731","34.69","732.20","387.10","-1.01","39.33"
"ABBOTINDIA","26,680.00","26,685.00","26,300.00","26,660.00","26,500.00","-","-160.00","-0.60","6,553","17.34","37,000.00","26,300.00","-5.66","-6.56"
"MEDANTA","1,138.70","1,147.00","1,121.10","1,148.60","1,140.10","-","-8.50","-0.74","72,969","8.27","1,456.50","1,010.00","-2.41","1.04"
"LUPIN","2,210.00","2,219.20","2,160.00","2,211.10","2,194.00","-","-17.10","-0.77","11,26,141","246.92","2,244.50","1,795.20","0.69","6.75"
"LAURUSLABS","1,008.50","1,021.35","1,001.80","1,018.60","1,010.00","-","-8.60","-0.84","10,53,338","106.64","1,141.00","512.35","-4.56","68.05"
"MANKIND","2,076.10","2,085.30","2,050.10","2,079.00","2,060.30","-","-18.70","-0.90","2,08,497","43.08","2,716.50","2,033.00","-6.94","-17.63"
"FORTIS","928.15","930.90","914.30","928.55","919.00","-","-9.55","-1.03","12,21,319","112.37","1,104.30","587.10","1.21","50.21"
"JBCHEPHARM","1,890.00","1,926.00","1,884.30","1,910.10","1,889.80","-","-20.30","-1.06","3,83,166","73.03","1,939.00","1,385.75","1.12","12.24"
"POLYMED","1,316.50","1,316.60","1,260.60","1,316.50","1,296.00","-","-20.50","-1.56","2,37,678","30.43","2,937.60","1,260.60","-24.37","-41.68"
"PFIZER","5,110.80","5,110.80","4,987.80","5,121.40","5,037.50","-","-83.90","-1.64","21,465","10.82","5,993.00","3,701.00","3.71","20.83"
"GRANULES","564.00","571.00","555.20","569.90","559.70","-","-10.20","-1.79","3,66,379","20.66","627.00","422.00","-5.26","3.22"
"GLENMARK","2,034.00","2,047.90","1,992.00","2,034.50","1,997.00","-","-37.50","-1.84","8,65,050","174.91","2,284.80","1,275.50","-0.56","41.51"
"GLAND","1,811.00","1,811.10","1,770.10","1,816.00","1,780.00","-","-36.00","-1.98","1,08,641","19.38","2,131.00","1,277.80","3.54","20.58"
"LALPATHLAB","1,430.00","1,430.00","1,389.10","1,435.30","1,406.20","-","-29.10","-2.03","1,37,684","19.32","1,770.00","1,146.78","-1.04","7.20"
"NATCOPHARM","830.00","834.25","819.00","839.85","822.00","-","-17.85","-2.13","4,51,730","37.30","1,245.00","726.80","-5.71","-15.70"
"ONESOURCE","1,209.90","1,237.90","1,175.10","1,211.30","1,185.00","-","-26.30","-2.17","4,11,034","49.33","2,248.00","1,057.00","-33.38","-17.83"
"NH","1,856.60","1,872.00","1,813.60","1,864.90","1,818.20","-","-46.70","-2.50","2,50,560","46.08","2,370.20","1,300.95","-3.68","36.81"
"SYNGENE","443.55","443.55","426.50","446.35","435.00","-","-11.35","-2.54","12,27,781","52.98","760.00","426.50","-30.96","-38.06"
"KIMS","685.00","709.55","670.15","697.80","680.00","-","-17.80","-2.55","5,85,237","40.77","798.40","474.05","9.18","14.94"
"RAINBOW","1,217.00","1,217.00","1,176.40","1,215.70","1,182.00","-","-33.70","-2.77","92,573","11.10","1,645.70","1,090.00","-5.94","-9.89"
"GLAXO","2,645.00","2,668.50","2,584.80","2,668.50","2,590.00","-","-78.50","-2.94","61,048","16.02","3,515.70","1,968.00","9.32","29.58"
"ALKEM","5,850.00","5,850.00","5,331.50","5,870.50","5,400.00","-","-470.50","-8.01","6,05,115","331.45","5,933.50","4,491.65","-7.90","14.42"
"COHANCE","320.50","341.00","311.15","350.75","311.95","-","-38.80","-11.06","42,18,793","136.73","1,328.00","311.15","-30.36","-72.15"
