"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY500 HEALTHCARE","18,378.95","18,407.85","18,203.35","18,440.15","18,256.80","-","-183.35","-0.99","3,75,22,052","4,091.92","19,594.10","16,294.60","-1.82","-"
"EMCURE","1,468.00","1,495.00","1,442.80","1,458.10","1,485.00","-","26.90","1.84","2,08,084","30.71","1,585.60","889.00","-4.23","39.51"
"PPLPHARMA","162.50","167.88","159.00","163.31","166.05","-","2.74","1.68","46,47,771","76.57","240.95","148.31","-1.37","-17.21"
"AJANTPHARM","2,885.00","2,942.50","2,851.10","2,890.00","2,927.90","-","37.90","1.31","1,71,375","50.00","3,020.80","2,327.30","7.23","17.32"
"BIOCON","374.00","381.90","368.30","375.05","378.10","-","3.05","0.81","53,87,172","203.48","424.95","291.00","0.21","5.23"
"INDGN","468.00","486.60","460.50","470.75","474.30","-","3.55","0.75","13,50,088","64.73","632.90","455.60","-7.16","-21.16"
"NEULANDLAB","12,997.00","13,296.00","12,823.00","12,960.00","13,044.00","-","84.00","0.65","39,031","50.88","19,747.00","10,190.70","-8.95","2.17"
"WOCKPHARMA","1,370.00","1,435.00","1,363.00","1,382.90","1,391.40","-","8.50","0.61","4,65,807","65.24","1,868.80","1,110.05","0.27","-3.14"
"ASTRAZEN","8,829.50","9,000.00","8,641.00","8,824.00","8,865.00","-","41.00","0.46","9,284","8.16","10,691.00","6,620.10","7.76","19.88"
"CIPLA","1,328.00","1,336.10","1,315.80","1,330.00","1,331.70","-","1.70","0.13","12,36,946","164.25","1,673.00","1,281.70","-8.05","-9.54"
"IPCALAB","1,458.00","1,503.90","1,428.80","1,472.90","1,474.00","-","1.10","0.07","4,08,095","60.46","1,595.00","1,168.20","-2.24","-1.13"
"AUROPHARMA","1,149.10","1,157.40","1,126.80","1,157.90","1,157.00","-","-0.90","-0.08","16,82,470","192.66","1,278.60","1,010.00","-0.92","-1.94"
"DIVISLAB","6,141.00","6,200.00","6,054.00","6,185.00","6,177.00","-","-8.00","-0.13","2,99,364","183.81","7,071.50","4,955.00","-4.03","2.77"
"TORNTPHARM","4,077.20","4,130.00","4,057.30","4,077.20","4,069.80","-","-7.40","-0.18","5,18,965","212.56","4,130.00","2,886.45","3.29","32.38"
"APOLLOHOSP","7,518.00","7,598.00","7,485.00","7,539.00","7,525.00","-","-14.00","-0.19","4,31,623","326.30","8,099.50","6,001.00","2.92","18.09"
"DRREDDY","1,274.00","1,279.30","1,263.60","1,274.90","1,269.70","-","-5.20","-0.41","8,38,946","106.59","1,379.70","1,020.00","6.58","3.77"
"ASTERDM","602.15","607.25","591.55","602.85","600.10","-","-2.75","-0.46","5,78,731","34.69","732.20","387.10","-1.01","39.33"
"ABBOTINDIA","26,680.00","26,685.00","26,300.00","26,660.00","26,500.00","-","-160.00","-0.60","6,553","17.34","37,000.00","26,300.00","-5.66","-6.56"
"CAPLIPOINT","1,729.80","1,737.70","1,708.20","1,736.80","1,725.00","-","-11.80","-0.68","38,711","6.67","2,395.00","1,599.00","-4.81","-14.48"
"MEDANTA","1,138.70","1,147.00","1,121.10","1,148.60","1,140.10","-","-8.50","-0.74","72,969","8.27","1,456.50","1,010.00","-2.41","1.04"
"VIJAYA","1,000.00","1,004.75","977.00","994.55","987.00","-","-7.55","-0.76","1,65,417","16.39","1,180.00","740.00","-1.21","3.50"
"LUPIN","2,210.00","2,219.20","2,160.00","2,211.10","2,194.00","-","-17.10","-0.77","11,26,141","246.92","2,244.50","1,795.20","0.69","6.75"
"LAURUSLABS","1,008.50","1,021.35","1,001.80","1,018.60","1,010.00","-","-8.60","-0.84","10,53,338","106.64","1,141.00","512.35","-4.56","68.05"
"MANKIND","2,076.10","2,085.30","2,050.10","2,079.00","2,060.30","-","-18.70","-0.90","2,08,497","43.08","2,716.50","2,033.00","-6.94","-17.63"
"SUNPHARMA","1,714.90","1,719.00","1,694.60","1,714.90","1,699.10","-","-15.80","-0.92","11,48,165","195.73","1,851.20","1,548.00","-1.71","-2.71"
"AGARWALEYE","453.00","461.95","447.70","459.25","455.00","-","-4.25","-0.93","53,932","2.44","568.00","327.00","-9.02","1.34"
"FORTIS","928.15","930.90","914.30","928.55","919.00","-","-9.55","-1.03","12,21,319","112.37","1,104.30","587.10","1.21","50.21"
"JBCHEPHARM","1,890.00","1,926.00","1,884.30","1,910.10","1,889.80","-","-20.30","-1.06","3,83,166","73.03","1,939.00","1,385.75","1.12","12.24"
"MAXHEALTH","1,062.00","1,067.95","1,044.15","1,062.90","1,049.00","-","-13.90","-1.31","27,45,794","289.38","1,314.30","933.80","2.02","4.73"
"SAILIFE","935.00","935.00","886.50","930.00","917.00","-","-13.00","-1.40","3,97,583","36.13","983.35","636.10","1.35","34.88"
