"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY ALPHA 50","50,976.55","50,979.80","50,184.10","51,351.65","50,272.85","-","-1,078.80","-2.10","20,88,49,870","17,421.57","-","-","1.87","8.69"
"BAJFINANCE","995.00","1,032.00","992.80","999.10","1,030.00","-","30.90","3.09","2,16,13,987","2,195.18","1,102.50","802.50","8.54","22.49"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"MFSL","1,821.30","1,848.50","1,817.30","1,813.50","1,835.00","-","21.50","1.19","15,88,459","291.28","1,848.50","950.00","11.48","69.93"
"SBILIFE","2,039.00","2,043.90","2,005.20","2,022.10","2,039.00","-","16.90","0.84","12,40,712","251.87","2,109.60","1,379.85","-2.08","38.66"
"COROMANDEL","2,255.00","2,300.00","2,241.00","2,270.20","2,288.00","-","17.80","0.78","3,23,878","73.61","2,718.90","1,596.00","-2.70","23.59"
"TVSMOTOR","3,861.60","3,894.00","3,832.20","3,881.20","3,870.00","-","-11.20","-0.29","2,60,604","100.75","3,909.00","2,192.75","3.05","56.34"
"HDFCAMC","2,817.00","2,832.40","2,797.40","2,835.70","2,825.00","-","-10.70","-0.38","10,46,968","294.71","2,967.25","1,781.53","13.65","50.43"
"BAJAJFINSV","2,035.00","2,035.00","2,012.70","2,037.10","2,027.00","-","-10.10","-0.50","7,56,233","153.02","2,195.00","1,727.25","0.79","9.61"
"AUBANK","998.10","1,004.60","984.65","1,000.60","993.50","-","-7.10","-0.71","18,02,819","179.57","1,029.95","478.35","2.22","79.64"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"HDFCLIFE","702.00","707.55","695.05","702.70","696.85","-","-5.85","-0.83","20,76,033","145.21","820.75","600.35","-6.90","10.68"
"LAURUSLABS","1,008.50","1,021.35","1,001.80","1,018.60","1,010.00","-","-8.60","-0.84","10,53,338","106.64","1,141.00","512.35","-4.56","68.05"
"AMBER","7,750.00","7,820.50","7,660.00","7,784.50","7,715.00","-","-69.50","-0.89","3,51,861","271.86","8,626.00","5,235.00","25.54","25.58"
"INDIANB","875.00","881.90","864.15","880.70","872.70","-","-8.00","-0.91","8,77,486","76.73","923.00","478.00","6.72","67.86"
"FORTIS","928.15","930.90","914.30","928.55","919.00","-","-9.55","-1.03","12,21,319","112.37","1,104.30","587.10","1.21","50.21"
"REDINGTON","265.20","265.80","260.00","265.25","262.50","-","-2.75","-1.04","7,60,948","19.98","334.80","176.94","-3.86","7.34"
"BHARTIARTL","2,013.90","2,024.20","1,992.00","2,014.50","1,993.00","-","-21.50","-1.07","48,08,543","966.46","2,174.50","1,559.50","-1.67","16.24"
"INDIGO","4,966.00","4,988.00","4,900.60","4,982.80","4,928.10","-","-54.70","-1.10","2,32,702","114.84","6,232.50","4,157.85","3.54","12.90"
"POWERINDIA","22,500.00","22,679.00","22,225.00","22,702.00","22,450.00","-","-252.00","-1.11","72,497","162.74","23,140.00","10,300.00","31.24","90.98"
"MAXHEALTH","1,062.00","1,067.95","1,044.15","1,062.90","1,049.00","-","-13.90","-1.31","27,45,794","289.38","1,314.30","933.80","2.02","4.73"
"BAJAJHLDNG","11,040.00","11,040.00","10,821.00","11,040.00","10,888.00","-","-152.00","-1.38","32,683","35.57","14,763.00","10,400.00","1.48","-10.33"
"RBLBANK","313.45","317.20","310.00","317.00","312.55","-","-4.45","-1.40","38,35,217","120.45","332.00","149.21","2.24","89.94"
"RADICO","2,831.00","2,831.00","2,767.80","2,831.20","2,791.40","-","-39.80","-1.41","2,01,146","56.10","3,591.90","1,845.50","-4.66","31.35"
"CHOLAFIN","1,727.30","1,731.00","1,703.00","1,731.80","1,706.70","-","-25.10","-1.45","15,44,271","264.01","1,831.50","1,302.00","0.33","22.71"
"GVT&D","3,610.10","3,630.30","3,531.50","3,622.50","3,565.70","-","-56.80","-1.57","3,76,799","134.94","3,819.00","1,254.00","30.54","129.75"
"M&M","3,530.00","3,596.50","3,520.30","3,593.10","3,533.00","-","-60.10","-1.67","16,32,115","580.38","3,839.90","2,425.00","-3.51","18.64"
"SHRIRAMFIN","1,081.80","1,086.00","1,060.00","1,082.80","1,063.90","-","-18.90","-1.75","45,55,743","486.95","1,087.10","525.10","8.67","93.91"
"GLENMARK","2,034.00","2,047.90","1,992.00","2,034.50","1,997.00","-","-37.50","-1.84","8,65,050","174.91","2,284.80","1,275.50","-0.56","41.51"
