"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY DIVIDEND OPPORTUNITIES 50","6,243.80","6,289.30","6,211.00","6,359.80","6,257.10","-","-102.70","-1.61","44,04,07,956","24,636.31","6,584.65","5,288.60","-1.12","7.29"
"SBIN","1,189.00","1,201.00","1,184.50","1,192.40","1,196.30","-","3.90","0.33","1,81,41,390","2,167.30","1,203.70","680.00","16.32","64.41"
"TECHM","1,482.60","1,548.00","1,464.40","1,536.60","1,534.00","-","-2.60","-0.17","70,58,376","1,069.54","1,854.00","1,209.40","-5.00","-8.43"
"HINDPETRO","452.35","455.25","448.75","452.35","451.00","-","-1.35","-0.30","19,12,866","86.29","508.45","287.55","0.48","40.87"
"HDFCAMC","2,817.00","2,832.40","2,797.40","2,835.70","2,825.00","-","-10.70","-0.38","10,46,968","294.71","2,967.25","1,781.53","13.65","50.43"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
"MPHASIS","2,387.60","2,501.20","2,355.20","2,464.00","2,452.50","-","-11.50","-0.47","17,25,163","422.18","3,037.20","2,044.55","-14.66","-5.74"
"CASTROLIND","186.01","186.99","185.00","186.71","185.29","-","-1.42","-0.76","16,22,832","30.13","251.95","180.66","-1.16","-10.41"
"IOC","177.28","177.90","176.04","178.11","176.72","-","-1.39","-0.78","98,35,632","173.97","182.25","110.72","12.27","47.17"
"SAIL","157.80","161.30","155.00","160.35","159.00","-","-1.35","-0.84","1,98,99,685","315.59","163.00","99.15","7.61","45.43"
"BPCL","377.45","378.40","372.95","377.70","374.30","-","-3.40","-0.90","26,96,607","101.14","391.65","234.01","5.41","46.35"
"INDIANB","875.00","881.90","864.15","880.70","872.70","-","-8.00","-0.91","8,77,486","76.73","923.00","478.00","6.72","67.86"
"BANKBARODA","287.30","288.00","284.60","289.85","287.10","-","-2.75","-0.95","62,95,039","180.34","313.35","190.70","-4.89","36.20"
"GICRE","387.05","394.80","383.20","392.85","389.00","-","-3.85","-0.98","6,94,021","27.04","453.80","351.00","6.12","0.61"
"GAIL","162.40","163.33","161.12","163.72","161.99","-","-1.73","-1.06","85,23,271","137.86","202.79","150.52","-1.98","-0.21"
"COLPAL","2,128.00","2,130.00","2,100.50","2,138.90","2,115.40","-","-23.50","-1.10","3,74,088","79.29","2,747.40","2,029.40","0.41","-14.54"
"NTPC","367.55","368.00","362.40","368.25","364.00","-","-4.25","-1.15","71,11,972","259.01","372.00","292.80","7.72","18.68"
"ITC","316.00","318.40","313.25","317.45","313.60","-","-3.85","-1.21","87,30,618","275.33","444.20","302.00","-6.30","-23.46"
"INFY","1,293.90","1,377.30","1,281.50","1,386.00","1,369.00","-","-17.00","-1.23","4,57,85,709","6,116.33","1,894.60","1,281.50","-14.38","-25.73"
"HCLTECH","1,423.00","1,476.80","1,396.00","1,476.10","1,458.00","-","-18.10","-1.23","72,14,938","1,038.48","1,780.10","1,302.75","-12.43","-14.39"
"UNIONBANK","180.00","180.76","178.10","181.00","178.76","-","-2.24","-1.24","87,33,451","156.56","183.34","106.63","7.56","58.17"
"RECLTD","348.10","348.50","339.80","350.70","346.00","-","-4.70","-1.34","85,52,636","294.60","450.00","330.95","-5.70","-15.54"
"PAGEIND","33,545.00","34,065.00","33,300.00","33,850.00","33,370.00","-","-480.00","-1.42","15,457","52.00","50,590.00","31,740.00","-3.68","-19.94"
"NHPC","76.05","76.12","75.20","76.50","75.38","-","-1.12","-1.46","1,00,66,742","76.07","92.34","71.00","-7.42","0.11"
"IGL","170.40","170.50","163.00","169.61","166.79","-","-2.82","-1.66","56,68,937","93.99","229.00","163.00","-7.92","-12.68"
"SHRIRAMFIN","1,081.80","1,086.00","1,060.00","1,082.80","1,063.90","-","-18.90","-1.75","45,55,743","486.95","1,087.10","525.10","8.67","93.91"
"CYIENT","990.00","1,029.70","982.50","1,017.00","999.00","-","-18.00","-1.77","3,70,990","37.35","1,537.05","982.50","-14.98","-31.06"
"IEX","125.01","125.29","119.38","125.91","123.56","-","-2.35","-1.87","1,95,51,693","239.51","215.40","119.00","-12.56","-27.15"
"IRFC","112.80","112.85","111.05","113.53","111.40","-","-2.13","-1.88","1,30,84,758","145.99","148.95","108.04","-8.18","-11.99"
"LICHSGFIN","515.00","515.35","506.70","517.10","507.00","-","-10.10","-1.95","9,67,179","49.30","646.50","483.70","-2.70","-8.03"
"OFSS","6,648.00","6,711.00","6,400.00","6,764.00","6,630.00","-","-134.00","-1.98","4,37,097","287.32","9,950.00","6,400.00","-13.85","-26.36"
"TCS","2,585.00","2,713.00","2,585.00","2,750.10","2,695.00","-","-55.10","-2.00","1,11,68,735","2,959.06","4,021.75","2,585.00","-17.53","-31.08"
"MANAPPURAM","306.70","306.70","296.60","308.65","302.15","-","-6.50","-2.11","49,16,102","148.05","321.60","168.83","-1.92","55.70"
"WIPRO","210.65","216.48","209.01","219.08","214.38","-","-4.70","-2.15","2,37,21,186","505.14","316.50","209.01","-18.86","-30.52"
"BRITANNIA","6,080.00","6,098.50","5,968.00","6,102.00","5,971.00","-","-131.00","-2.15","1,59,821","96.04","6,336.00","4,506.00","0.90","22.14"
"CANBK","143.80","143.80","141.42","144.81","141.65","-","-3.16","-2.18","1,41,39,257","201.06","160.79","78.60","-6.10","59.66"
"POWERGRID","292.00","294.30","286.85","293.90","287.40","-","-6.50","-2.21","1,09,14,157","315.76","322.00","247.30","11.05","10.90"
"COALINDIA","412.30","417.60","408.10","419.15","409.30","-","-9.85","-2.35","81,90,851","336.50","461.55","349.25","-4.57","13.18"
"CESC","152.80","154.06","149.52","154.06","150.34","-","-3.72","-2.41","19,03,977","28.72","185.26","119.00","-6.10","19.39"
"PETRONET","291.85","294.65","286.05","297.15","289.85","-","-7.30","-2.46","27,67,142","80.36","326.50","263.50","0.83","-2.42"
"PFC","407.45","408.00","399.40","410.55","400.00","-","-10.55","-2.57","70,60,981","283.80","444.10","329.90","8.24","4.03"
"HEROMOTOCO","5,702.00","5,724.50","5,560.00","5,733.00","5,562.00","-","-171.00","-2.98","3,94,003","221.74","6,388.50","3,344.00","-3.01","40.58"
"ASHOKLEY","210.12","212.87","203.80","211.02","204.70","-","-6.32","-2.99","2,68,32,686","554.71","215.42","95.93","10.23","88.59"
"ONGC","270.00","271.35","266.00","276.35","267.50","-","-8.85","-3.20","2,07,48,628","556.23","280.30","205.00","9.73","13.85"
"HUDCO","201.50","201.50","193.78","201.93","195.40","-","-6.53","-3.23","1,00,52,817","197.00","253.73","158.85","-9.13","1.47"
"NMDC","81.50","81.90","79.16","84.74","79.43","-","-2.81","-3.42","3,13,61,483","252.24","86.72","59.53","-3.28","25.72"
"VEDL","685.00","685.00","662.55","702.75","673.90","-","-28.85","-4.11","1,58,68,021","1,069.27","769.80","363.00","5.76","58.73"
"OIL","471.00","471.00","452.30","474.85","454.90","-","-19.95","-4.20","53,41,810","244.30","524.00","325.00","1.56","10.17"
"HINDUNILVR","2,400.00","2,400.00","2,300.30","2,409.70","2,305.00","-","-104.70","-4.34","27,91,519","651.59","2,750.00","2,136.00","-3.54","-0.71"
"HINDZINC","599.95","608.00","591.00","623.70","593.10","-","-30.60","-4.91","94,24,678","562.18","733.00","378.15","-5.83","44.03"
"NATIONALUM","360.00","361.25","348.35","369.70","349.65","-","-20.05","-5.42","1,05,86,115","373.61","431.50","137.75","-2.17","82.62"
