"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY HIGH BETA 50","3,884.60","3,884.65","3,812.30","3,920.60","3,830.50","-","-90.10","-2.30","71,76,03,198","16,155.28","-","-","-1.49","19.03"
"HAL","4,189.00","4,263.50","4,155.80","4,158.90","4,206.00","-","47.10","1.13","35,32,180","1,489.71","5,165.00","3,046.05","-5.53","14.91"
"WOCKPHARMA","1,370.00","1,435.00","1,363.00","1,382.90","1,391.40","-","8.50","0.61","4,65,807","65.24","1,868.80","1,110.05","0.27","-3.14"
"SAIL","157.80","161.30","155.00","160.35","159.00","-","-1.35","-0.84","1,98,99,685","315.59","163.00","99.15","7.61","45.43"
"AMBER","7,750.00","7,820.50","7,660.00","7,784.50","7,715.00","-","-69.50","-0.89","3,51,861","271.86","8,626.00","5,235.00","25.54","25.58"
"GODREJPROP","1,787.80","1,817.10","1,727.10","1,821.70","1,804.00","-","-17.70","-0.97","20,52,670","363.16","2,506.50","1,475.00","-3.98","-10.94"
"GAIL","162.40","163.33","161.12","163.72","161.99","-","-1.73","-1.06","85,23,271","137.86","202.79","150.52","-1.98","-0.21"
"IREDA","124.55","124.58","121.65","125.22","123.73","-","-1.49","-1.19","1,01,90,497","125.17","187.70","121.65","-11.62","-30.12"
"NAUKRI","1,138.80","1,179.90","1,104.20","1,149.30","1,135.00","-","-14.30","-1.24","36,38,049","410.81","1,566.39","1,104.20","-14.82","-25.73"
"UNIONBANK","180.00","180.76","178.10","181.00","178.76","-","-2.24","-1.24","87,33,451","156.56","183.34","106.63","7.56","58.17"
"MOTHERSON","132.58","133.49","130.72","132.74","130.99","-","-1.75","-1.32","1,93,24,007","255.48","135.83","71.50","13.97","51.36"
"RECLTD","348.10","348.50","339.80","350.70","346.00","-","-4.70","-1.34","85,52,636","294.60","450.00","330.95","-5.70","-15.54"
"LODHA","1,071.25","1,079.05","1,045.90","1,084.85","1,070.35","-","-14.50","-1.34","17,95,630","191.47","1,531.00","863.80","-0.38","-8.77"
"JIOFIN","265.00","267.25","262.85","267.55","263.85","-","-3.70","-1.38","1,22,22,314","323.30","338.60","198.65","-7.29","15.69"
"RVNL","309.95","311.45","306.00","313.70","309.10","-","-4.60","-1.47","81,68,629","251.85","447.80","301.20","-6.39","-18.51"
"TATAPOWER","377.00","377.80","370.65","380.55","374.35","-","-6.20","-1.63","44,41,440","165.99","416.80","326.35","1.60","7.62"
"JSWENERGY","479.00","479.00","468.85","479.50","471.40","-","-8.10","-1.69","11,71,877","55.54","579.00","418.75","-4.60","0.80"
"SHRIRAMFIN","1,081.80","1,086.00","1,060.00","1,082.80","1,063.90","-","-18.90","-1.75","45,55,743","486.95","1,087.10","525.10","8.67","93.91"
"POLICYBZR","1,534.90","1,556.50","1,519.40","1,553.60","1,525.00","-","-28.60","-1.84","13,64,875","209.56","1,978.00","1,311.35","-6.92","-6.66"
"CONCOR","503.00","503.90","497.00","506.85","497.50","-","-9.35","-1.84","5,88,653","29.44","652.04","472.75","-3.86","-10.46"
"IRFC","112.80","112.85","111.05","113.53","111.40","-","-2.13","-1.88","1,30,84,758","145.99","148.95","108.04","-8.18","-11.99"
"LICHSGFIN","515.00","515.35","506.70","517.10","507.00","-","-10.10","-1.95","9,67,179","49.30","646.50","483.70","-2.70","-8.03"
"BHEL","257.00","262.20","254.70","260.60","255.30","-","-5.30","-2.03","2,77,84,730","716.46","305.90","176.00","-3.86","26.50"
"NBCC","100.00","100.12","97.70","100.50","98.19","-","-2.31","-2.30","95,20,535","93.87","130.70","70.80","-6.76","14.51"
"ADANIPORTS","1,543.00","1,543.00","1,507.00","1,543.70","1,508.00","-","-35.70","-2.31","18,38,361","279.43","1,583.90","1,036.50","5.56","35.67"
"MOTILALOFS","803.25","803.25","782.00","803.35","784.70","-","-18.65","-2.32","4,59,584","36.19","1,097.10","513.00","-6.28","21.41"
"IDEA","11.44","11.51","11.26","11.55","11.28","-","-0.27","-2.34","35,16,53,687","399.83","12.80","6.12","4.44","30.56"
"ANGELONE","2,709.00","2,733.40","2,669.80","2,752.00","2,685.00","-","-67.00","-2.43","6,03,593","162.85","3,285.00","1,941.00","10.07","16.10"
"TATASTEEL","206.59","206.85","202.56","208.11","202.98","-","-5.13","-2.47","2,58,70,923","529.19","211.10","125.30","11.18","48.98"
