"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY LOW VOLATILITY 50","25,259.25","25,288.85","25,119.60","25,427.55","25,152.85","-","-274.70","-1.08","26,50,65,098","31,243.20","-","-","-1.64","7.66"
"SBILIFE","2,039.00","2,043.90","2,005.20","2,022.10","2,039.00","-","16.90","0.84","12,40,712","251.87","2,109.60","1,379.85","-2.08","38.66"
"SBIN","1,189.00","1,201.00","1,184.50","1,192.40","1,196.30","-","3.90","0.33","1,81,41,390","2,167.30","1,203.70","680.00","16.32","64.41"
"CIPLA","1,328.00","1,336.10","1,315.80","1,330.00","1,331.70","-","1.70","0.13","12,36,946","164.25","1,673.00","1,281.70","-8.05","-9.54"
"DIVISLAB","6,141.00","6,200.00","6,054.00","6,185.00","6,177.00","-","-8.00","-0.13","2,99,364","183.81","7,071.50","4,955.00","-4.03","2.77"
"TECHM","1,482.60","1,548.00","1,464.40","1,536.60","1,534.00","-","-2.60","-0.17","70,58,376","1,069.54","1,854.00","1,209.40","-5.00","-8.43"
"TORNTPHARM","4,077.20","4,130.00","4,057.30","4,077.20","4,069.80","-","-7.40","-0.18","5,18,965","212.56","4,130.00","2,886.45","3.29","32.38"
"APOLLOHOSP","7,518.00","7,598.00","7,485.00","7,539.00","7,525.00","-","-14.00","-0.19","4,31,623","326.30","8,099.50","6,001.00","2.92","18.09"
"SRF","2,815.00","2,841.00","2,765.60","2,841.50","2,833.00","-","-8.50","-0.30","1,96,550","55.46","3,325.00","2,570.20","-6.80","-0.30"
"LT","4,174.10","4,199.00","4,134.10","4,185.90","4,172.00","-","-13.90","-0.33","22,34,376","932.89","4,199.00","2,965.30","7.32","27.83"
"ULTRACEMCO","13,012.00","13,025.00","12,873.00","13,029.00","12,977.00","-","-52.00","-0.40","1,78,236","230.73","13,110.00","10,047.85","7.75","12.39"
"DRREDDY","1,274.00","1,279.30","1,263.60","1,274.90","1,269.70","-","-5.20","-0.41","8,38,946","106.59","1,379.70","1,020.00","6.58","3.77"
"BAJAJFINSV","2,035.00","2,035.00","2,012.70","2,037.10","2,027.00","-","-10.10","-0.50","7,56,233","153.02","2,195.00","1,727.25","0.79","9.61"
"AXISBANK","1,341.30","1,346.50","1,316.10","1,340.00","1,330.80","-","-9.20","-0.69","46,24,549","615.54","1,418.30","978.05","5.45","32.00"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"LUPIN","2,210.00","2,219.20","2,160.00","2,211.10","2,194.00","-","-17.10","-0.77","11,26,141","246.92","2,244.50","1,795.20","0.69","6.75"
"MRF","1,50,750.00","1,51,500.00","1,48,505.00","1,51,210.00","1,50,000.00","-","-1,210.00","-0.80","7,131","107.13","1,63,600.00","1,02,124.05","1.55","36.65"
"HDFCLIFE","702.00","707.55","695.05","702.70","696.85","-","-5.85","-0.83","20,76,033","145.21","820.75","600.35","-6.90","10.68"
"ICICIGI","1,885.70","1,927.90","1,885.70","1,919.80","1,903.20","-","-16.60","-0.86","5,81,964","111.42","2,068.70","1,613.70","0.94","7.11"
"SHREECEM","26,090.00","26,255.00","25,750.00","26,340.00","26,100.00","-","-240.00","-0.91","27,809","72.43","32,490.00","25,360.00","-3.89","-7.53"
"SUNPHARMA","1,714.90","1,719.00","1,694.60","1,714.90","1,699.10","-","-15.80","-0.92","11,48,165","195.73","1,851.20","1,548.00","-1.71","-2.71"
"BAJAJ-AUTO","9,800.50","9,900.50","9,720.00","9,840.00","9,748.00","-","-92.00","-0.93","1,20,688","118.33","9,941.00","7,089.35","2.03","12.16"
"ICICIBANK","1,425.30","1,434.40","1,410.70","1,430.00","1,415.50","-","-14.50","-1.01","1,22,28,083","1,733.58","1,500.00","1,200.10","-1.50","13.34"
"KOTAKBANK","426.00","428.90","419.55","426.25","421.90","-","-4.35","-1.02","2,32,33,320","979.82","460.38","378.78","-1.08","6.93"
"GODREJCP","1,196.00","1,202.20","1,191.00","1,204.30","1,192.00","-","-12.30","-1.02","8,27,685","99.13","1,309.00","979.50","-3.82","13.22"
"BHARTIARTL","2,013.90","2,024.20","1,992.00","2,014.50","1,993.00","-","-21.50","-1.07","48,08,543","966.46","2,174.50","1,559.50","-1.67","16.24"
"COLPAL","2,128.00","2,130.00","2,100.50","2,138.90","2,115.40","-","-23.50","-1.10","3,74,088","79.29","2,747.40","2,029.40","0.41","-14.54"
"ITC","316.00","318.40","313.25","317.45","313.60","-","-3.85","-1.21","87,30,618","275.33","444.20","302.00","-6.30","-23.46"
"UNITDSPR","1,414.00","1,423.00","1,398.10","1,417.40","1,400.20","-","-17.20","-1.21","3,83,577","54.06","1,645.00","1,271.10","6.12","0.24"
"INFY","1,293.90","1,377.30","1,281.50","1,386.00","1,369.00","-","-17.00","-1.23","4,57,85,709","6,116.33","1,894.60","1,281.50","-14.38","-25.73"
"HCLTECH","1,423.00","1,476.80","1,396.00","1,476.10","1,458.00","-","-18.10","-1.23","72,14,938","1,038.48","1,780.10","1,302.75","-12.43","-14.39"
