"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP150 QUALITY 50","23,450.05","23,461.85","23,134.60","23,702.85","23,249.30","-","-453.55","-1.91","10,10,46,182","11,300.02","-","-","-1.93","7.83"
"KPRMILL","897.00","988.70","869.05","897.80","926.00","-","30.70","3.43","38,75,768","367.65","1,389.00","755.50","8.39","5.80"
"AJANTPHARM","2,885.00","2,942.50","2,851.10","2,890.00","2,927.90","-","37.90","1.31","1,71,375","50.00","3,020.80","2,327.30","7.23","17.32"
"COROMANDEL","2,255.00","2,300.00","2,241.00","2,270.20","2,288.00","-","17.80","0.78","3,23,878","73.61","2,718.90","1,596.00","-2.70","23.59"
"ASTRAL","1,589.00","1,604.60","1,559.50","1,591.60","1,601.00","-","9.40","0.59","5,85,825","93.01","1,615.50","1,232.30","11.30","16.80"
"PERSISTENT","5,210.00","5,540.00","5,210.00","5,452.00","5,473.00","-","21.00","0.39","18,06,431","978.62","6,599.00","4,148.95","-13.91","-3.36"
"GUJGASLTD","425.00","426.05","416.20","425.35","426.00","-","0.65","0.15","1,95,691","8.28","508.70","360.25","4.25","5.75"
"BERGEPAINT","460.00","464.20","452.50","460.75","460.50","-","-0.25","-0.05","3,09,257","14.21","605.00","448.75","-11.57","-5.10"
"PGHH","11,651.00","11,870.00","11,470.00","11,683.00","11,655.00","-","-28.00","-0.24","4,467","5.18","14,543.00","11,470.00","-5.88","-16.27"
"HDFCAMC","2,817.00","2,832.40","2,797.40","2,835.70","2,825.00","-","-10.70","-0.38","10,46,968","294.71","2,967.25","1,781.53","13.65","50.43"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
"SCHAEFFLER","3,806.00","3,806.60","3,700.50","3,806.00","3,790.00","-","-16.00","-0.42","60,376","22.72","4,392.00","2,823.00","0.01","25.45"
"MPHASIS","2,387.60","2,501.20","2,355.20","2,464.00","2,452.50","-","-11.50","-0.47","17,25,163","422.18","3,037.20","2,044.55","-14.66","-5.74"
"KEI","4,589.10","4,618.90","4,510.00","4,591.30","4,568.00","-","-23.30","-0.51","1,84,007","84.08","4,646.00","2,424.00","5.97","34.20"
"MAHABANK","65.40","66.00","64.79","65.59","65.25","-","-0.34","-0.52","89,44,798","58.63","67.74","42.00","0.31","32.78"
"ABBOTINDIA","26,680.00","26,685.00","26,300.00","26,660.00","26,500.00","-","-160.00","-0.60","6,553","17.34","37,000.00","26,300.00","-5.66","-6.56"
"SONACOMS","526.05","531.85","520.10","532.80","527.60","-","-5.20","-0.98","10,82,968","57.03","559.50","380.00","15.44","2.16"
"APLAPOLLO","2,272.40","2,272.80","2,237.80","2,272.90","2,249.70","-","-23.20","-1.02","3,74,996","84.40","2,301.40","1,272.70","18.08","63.71"
"COLPAL","2,128.00","2,130.00","2,100.50","2,138.90","2,115.40","-","-23.50","-1.10","3,74,088","79.29","2,747.40","2,029.40","0.41","-14.54"
"APARINDS","9,400.00","9,550.00","9,325.50","9,525.50","9,420.00","-","-105.50","-1.11","50,466","47.74","9,905.00","4,308.05","23.11","39.63"
"IRCTC","625.00","632.75","612.00","622.05","614.95","-","-7.10","-1.14","39,30,956","245.44","820.25","596.00","-2.42","-17.61"
"MARICO","769.00","771.85","757.85","770.65","760.40","-","-10.25","-1.33","9,66,405","73.78","780.00","577.85","0.58","19.84"
"PAGEIND","33,545.00","34,065.00","33,300.00","33,850.00","33,370.00","-","-480.00","-1.42","15,457","52.00","50,590.00","31,740.00","-3.68","-19.94"
"HONAUT","31,750.00","31,905.00","31,230.00","31,865.00","31,400.00","-","-465.00","-1.46","3,289","10.32","41,450.00","30,590.00","-5.62","-10.99"
"TIINDIA","2,490.00","2,517.90","2,452.40","2,511.40","2,472.50","-","-38.90","-1.55","3,15,365","78.61","3,419.90","2,164.90","3.57","-8.87"
"360ONE","1,136.30","1,146.20","1,115.60","1,144.40","1,126.70","-","-17.70","-1.55","4,71,438","53.15","1,273.80","790.50","-0.89","18.21"
"BALKRISIND","2,641.30","2,641.30","2,571.10","2,641.30","2,600.20","-","-41.10","-1.56","2,00,893","52.36","2,817.50","2,152.05","8.53","-1.18"
"IGL","170.40","170.50","163.00","169.61","166.79","-","-2.82","-1.66","56,68,937","93.99","229.00","163.00","-7.92","-12.68"
"PIIND","3,035.00","3,243.50","3,035.00","3,222.30","3,167.80","-","-54.50","-1.69","13,27,261","419.95","4,330.00","2,951.10","-3.04","-1.82"
"GODFRYPHLP","2,100.00","2,113.60","2,075.00","2,124.70","2,085.00","-","-39.70","-1.87","1,46,574","30.67","3,947.00","1,611.85","-5.89","25.11"
"DIXON","11,500.00","11,548.00","11,250.00","11,626.00","11,398.00","-","-228.00","-1.96","4,46,533","508.93","18,471.00","9,835.00","1.42","-22.52"
"OFSS","6,648.00","6,711.00","6,400.00","6,764.00","6,630.00","-","-134.00","-1.98","4,37,097","287.32","9,950.00","6,400.00","-13.85","-26.36"
"SUPREMEIND","3,827.90","3,831.70","3,745.30","3,844.20","3,760.00","-","-84.20","-2.19","82,044","31.06","4,739.00","3,095.00","8.52","-3.04"
"MOTILALOFS","803.25","803.25","782.00","803.35","784.70","-","-18.65","-2.32","4,59,584","36.19","1,097.10","513.00","-6.28","21.41"
"AIAENG","3,939.00","3,965.20","3,828.60","3,951.10","3,859.00","-","-92.10","-2.33","68,253","26.55","4,206.10","3,001.10","-1.18","9.60"
"BDL","1,267.60","1,267.90","1,240.00","1,271.60","1,240.60","-","-31.00","-2.44","10,58,754","132.35","2,096.60","907.00","-18.52","6.33"
"POLYCAB","7,760.50","7,764.00","7,565.00","7,768.00","7,577.00","-","-191.00","-2.46","1,60,046","122.28","7,948.00","4,555.00","0.29","36.50"
"PETRONET","291.85","294.65","286.05","297.15","289.85","-","-7.30","-2.46","27,67,142","80.36","326.50","263.50","0.83","-2.42"
"SYNGENE","443.55","443.55","426.50","446.35","435.00","-","-11.35","-2.54","12,27,781","52.98","760.00","426.50","-30.96","-38.06"
"GLAXO","2,645.00","2,668.50","2,584.80","2,668.50","2,590.00","-","-78.50","-2.94","61,048","16.02","3,515.70","1,968.00","9.32","29.58"
"HEROMOTOCO","5,702.00","5,724.50","5,560.00","5,733.00","5,562.00","-","-171.00","-2.98","3,94,003","221.74","6,388.50","3,344.00","-3.01","40.58"
"TATAELXSI","4,850.00","4,891.50","4,755.00","4,976.00","4,814.50","-","-161.50","-3.25","4,41,804","212.81","6,735.00","4,700.00","-16.89","-21.52"
"NMDC","81.50","81.90","79.16","84.74","79.43","-","-2.81","-3.42","3,13,61,483","252.24","86.72","59.53","-3.28","25.72"
"KPITTECH","870.00","873.60","812.90","891.50","860.30","-","-31.20","-3.50","60,26,791","509.38","1,434.50","812.90","-26.70","-35.82"
"COFORGE","1,359.40","1,392.50","1,334.00","1,421.50","1,358.90","-","-62.60","-4.40","1,28,47,607","1,747.03","1,994.00","1,194.01","-20.46","-13.73"
"CRISIL","4,605.00","4,649.00","4,355.10","4,665.20","4,428.90","-","-236.30","-5.07","1,33,926","59.47","6,139.00","3,973.60","-8.03","-13.10"
"NAM-INDIA","955.00","955.00","899.95","965.45","916.10","-","-49.35","-5.11","10,20,844","94.65","1,009.00","498.05","2.71","66.23"
"LTTS","3,640.00","3,678.10","3,490.00","3,704.10","3,504.30","-","-199.80","-5.39","2,56,090","90.56","5,322.00","3,490.00","-18.84","-30.24"
"3MINDIA","36,995.00","36,995.00","34,705.00","37,515.00","35,050.00","-","-2,465.00","-6.57","9,115","32.58","38,030.00","25,718.15","0.16","28.88"
