"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY QUALITY LOW-VOLATILITY 30","16,946.85","17,020.45","16,866.80","17,123.35","16,883.60","-","-239.75","-1.40","18,64,98,958","22,489.51","-","-","-3.91","3.25"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"CIPLA","1,328.00","1,336.10","1,315.80","1,330.00","1,331.70","-","1.70","0.13","12,36,946","164.25","1,673.00","1,281.70","-8.05","-9.54"
"HAVELLS","1,391.10","1,419.00","1,378.40","1,400.50","1,402.30","-","1.80","0.13","7,74,193","108.41","1,673.80","1,250.10","-2.05","-7.90"
"DRREDDY","1,274.00","1,279.30","1,263.60","1,274.90","1,269.70","-","-5.20","-0.41","8,38,946","106.59","1,379.70","1,020.00","6.58","3.77"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"SUNPHARMA","1,714.90","1,719.00","1,694.60","1,714.90","1,699.10","-","-15.80","-0.92","11,48,165","195.73","1,851.20","1,548.00","-1.71","-2.71"
"BAJAJ-AUTO","9,800.50","9,900.50","9,720.00","9,840.00","9,748.00","-","-92.00","-0.93","1,20,688","118.33","9,941.00","7,089.35","2.03","12.16"
"ICICIBANK","1,425.30","1,434.40","1,410.70","1,430.00","1,415.50","-","-14.50","-1.01","1,22,28,083","1,733.58","1,500.00","1,200.10","-1.50","13.34"
"KOTAKBANK","426.00","428.90","419.55","426.25","421.90","-","-4.35","-1.02","2,32,33,320","979.82","460.38","378.78","-1.08","6.93"
"COLPAL","2,128.00","2,130.00","2,100.50","2,138.90","2,115.40","-","-23.50","-1.10","3,74,088","79.29","2,747.40","2,029.40","0.41","-14.54"
"IRCTC","625.00","632.75","612.00","622.05","614.95","-","-7.10","-1.14","39,30,956","245.44","820.25","596.00","-2.42","-17.61"
"ITC","316.00","318.40","313.25","317.45","313.60","-","-3.85","-1.21","87,30,618","275.33","444.20","302.00","-6.30","-23.46"
"UNITDSPR","1,414.00","1,423.00","1,398.10","1,417.40","1,400.20","-","-17.20","-1.21","3,83,577","54.06","1,645.00","1,271.10","6.12","0.24"
"INFY","1,293.90","1,377.30","1,281.50","1,386.00","1,369.00","-","-17.00","-1.23","4,57,85,709","6,116.33","1,894.60","1,281.50","-14.38","-25.73"
"HCLTECH","1,423.00","1,476.80","1,396.00","1,476.10","1,458.00","-","-18.10","-1.23","72,14,938","1,038.48","1,780.10","1,302.75","-12.43","-14.39"
"MARICO","769.00","771.85","757.85","770.65","760.40","-","-10.25","-1.33","9,66,405","73.78","780.00","577.85","0.58","19.84"
"PIDILITIND","1,486.10","1,489.60","1,472.10","1,497.40","1,477.00","-","-20.40","-1.36","4,74,002","70.24","1,574.95","1,311.10","-1.46","4.82"
"PAGEIND","33,545.00","34,065.00","33,300.00","33,850.00","33,370.00","-","-480.00","-1.42","15,457","52.00","50,590.00","31,740.00","-3.68","-19.94"
"DABUR","517.25","518.95","510.10","519.55","511.30","-","-8.25","-1.59","17,46,636","89.90","577.00","433.30","-2.06","-1.64"
"LTIM","5,004.00","5,178.50","4,988.00","5,211.50","5,124.50","-","-87.00","-1.67","6,87,029","349.33","6,429.50","3,802.00","-16.00","-8.51"
"PIIND","3,035.00","3,243.50","3,035.00","3,222.30","3,167.80","-","-54.50","-1.69","13,27,261","419.95","4,330.00","2,951.10","-3.04","-1.82"
"ASIANPAINT","2,408.90","2,411.80","2,360.10","2,410.50","2,368.20","-","-42.30","-1.75","6,75,635","160.83","2,985.70","2,124.75","-17.95","5.89"
"HDFCBANK","913.00","928.20","901.00","920.60","903.90","-","-16.70","-1.81","5,01,88,359","4,578.43","1,020.50","830.55","-3.57","6.49"
"TCS","2,585.00","2,713.00","2,585.00","2,750.10","2,695.00","-","-55.10","-2.00","1,11,68,735","2,959.06","4,021.75","2,585.00","-17.53","-31.08"
"NESTLEIND","1,305.00","1,310.40","1,278.00","1,305.50","1,278.00","-","-27.50","-2.11","5,22,586","67.31","1,340.40","1,055.00","-3.09","17.38"
"BRITANNIA","6,080.00","6,098.50","5,968.00","6,102.00","5,971.00","-","-131.00","-2.15","1,59,821","96.04","6,336.00","4,506.00","0.90","22.14"
"BOSCHLTD","36,415.00","36,420.00","35,600.00","36,495.00","35,700.00","-","-795.00","-2.18","13,848","49.73","41,945.00","25,921.60","-5.82","30.53"
"COALINDIA","412.30","417.60","408.10","419.15","409.30","-","-9.85","-2.35","81,90,851","336.50","461.55","349.25","-4.57","13.18"
"HEROMOTOCO","5,702.00","5,724.50","5,560.00","5,733.00","5,562.00","-","-171.00","-2.98","3,94,003","221.74","6,388.50","3,344.00","-3.01","40.58"
"HINDUNILVR","2,400.00","2,400.00","2,300.30","2,409.70","2,305.00","-","-104.70","-4.34","27,91,519","651.59","2,750.00","2,136.00","-3.54","-0.71"
