"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY SMALLCAP250 QUALITY 50","24,552.80","24,576.55","24,259.55","24,743.50","24,384.65","-","-358.85","-1.45","19,96,20,317","5,309.15","-","-","-2.06","-0.02"
"ENGINERSIN","199.10","210.00","197.15","180.90","199.32","-","18.42","10.18","13,40,19,973","2,747.95","255.45","142.20","2.81","20.79"
"ZENSARTECH","571.35","607.45","558.30","576.85","587.00","-","10.15","1.76","23,10,507","135.81","901.50","535.85","-17.72","-32.10"
"TRITURBINE","483.50","496.80","478.50","488.90","490.90","-","2.00","0.41","18,26,116","89.55","675.20","454.10","-4.36","-13.31"
"LTFOODS","427.00","441.95","423.00","428.85","430.50","-","1.65","0.38","11,45,234","49.75","518.55","288.25","15.08","9.40"
"CANFINHOME","884.80","891.00","859.45","888.40","891.00","-","2.60","0.29","2,40,309","20.97","971.50","558.50","-0.34","45.73"
"INDIAMART","2,176.00","2,210.00","2,150.00","2,200.20","2,200.00","-","-0.20","-0.01","89,004","19.51","2,799.00","1,900.10","2.01","0.03"
"TIMKEN","3,081.00","3,120.00","3,044.80","3,120.80","3,120.00","-","-0.80","-0.03","12,452","3.84","3,575.00","2,202.00","2.63","17.30"
"ABSLAMC","868.65","878.80","850.20","871.40","870.50","-","-0.90","-0.10","3,42,522","29.75","908.00","556.45","6.02","32.19"
"GSPL","308.00","311.60","305.35","310.30","310.00","-","-0.30","-0.10","1,63,099","5.04","360.60","261.45","3.94","5.42"
"FINCABLES","819.00","823.75","800.00","819.10","815.00","-","-4.10","-0.50","2,22,791","18.08","1,059.95","700.80","6.98","-18.38"
"CHAMBLFERT","457.00","457.75","449.20","460.00","457.15","-","-2.85","-0.62","6,43,526","29.19","742.20","410.20","3.18","-14.59"
"UTIAMC","1,062.50","1,079.80","1,052.60","1,078.15","1,071.00","-","-7.15","-0.66","37,725","4.03","1,494.80","905.00","-0.80","8.06"
"CASTROLIND","186.01","186.99","185.00","186.71","185.29","-","-1.42","-0.76","16,22,832","30.13","251.95","180.66","-1.16","-10.41"
"BAYERCROP","4,808.70","4,808.70","4,715.80","4,832.90","4,795.00","-","-37.90","-0.78","21,617","10.32","6,511.00","4,217.45","8.29","9.75"
"KIRLOSBROS","1,610.80","1,615.50","1,576.20","1,618.90","1,605.50","-","-13.40","-0.83","33,026","5.28","2,475.00","1,422.35","-0.98","-8.65"
"ELGIEQUIP","513.05","523.65","499.40","512.25","507.85","-","-4.40","-0.86","23,65,077","121.11","608.40","401.00","15.37","-3.51"
"ACE","895.00","902.00","876.05","904.70","896.00","-","-8.70","-0.96","1,73,931","15.49","1,389.00","775.45","1.08","-26.90"
