"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","42,237.60","42,262.40","41,775.60","42,690.10","41,839.35","-","-850.75","-1.99","14,91,74,116","16,146.25","-","-","1.09","-"
"BAJFINANCE","995.00","1,032.00","992.80","999.10","1,030.00","-","30.90","3.09","2,16,13,987","2,195.18","1,102.50","802.50","8.54","22.49"
"PRICOLLTD","622.00","637.40","613.50","620.35","632.50","-","12.15","1.96","6,00,598","37.77","694.20","367.85","1.16","27.87"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"COROMANDEL","2,255.00","2,300.00","2,241.00","2,270.20","2,288.00","-","17.80","0.78","3,23,878","73.61","2,718.90","1,596.00","-2.70","23.59"
"ASTRAZEN","8,829.50","9,000.00","8,641.00","8,824.00","8,865.00","-","41.00","0.46","9,284","8.16","10,691.00","6,620.10","7.76","19.88"
"PERSISTENT","5,210.00","5,540.00","5,210.00","5,452.00","5,473.00","-","21.00","0.39","18,06,431","978.62","6,599.00","4,148.95","-13.91","-3.36"
"FORCEMOT","23,720.00","24,129.00","23,004.00","23,840.00","23,798.00","-","-42.00","-0.18","1,19,515","281.86","25,050.00","6,251.00","18.43","251.59"
"TORNTPHARM","4,077.20","4,130.00","4,057.30","4,077.20","4,069.80","-","-7.40","-0.18","5,18,965","212.56","4,130.00","2,886.45","3.29","32.38"
"ANANDRATHI","2,986.70","3,007.80","2,928.10","2,986.70","2,980.00","-","-6.70","-0.22","1,13,747","33.84","3,321.40","1,594.00","-5.46","64.51"
"HDFCAMC","2,817.00","2,832.40","2,797.40","2,835.70","2,825.00","-","-10.70","-0.38","10,46,968","294.71","2,967.25","1,781.53","13.65","50.43"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
"AVANTIFEED","1,403.95","1,489.00","1,330.05","1,414.75","1,406.00","-","-8.75","-0.62","1,07,97,866","1,535.47","1,489.00","601.55","72.87","101.02"
"JAMNAAUTO","134.95","147.90","129.52","136.98","136.00","-","-0.98","-0.72","2,71,16,562","378.79","147.90","68.57","1.86","62.66"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"INDIANB","875.00","881.90","864.15","880.70","872.70","-","-8.00","-0.91","8,77,486","76.73","923.00","478.00","6.72","67.86"
"POWERINDIA","22,500.00","22,679.00","22,225.00","22,702.00","22,450.00","-","-252.00","-1.11","72,497","162.74","23,140.00","10,300.00","31.24","90.98"
"MSUMI","42.90","43.27","42.00","43.27","42.75","-","-0.52","-1.20","50,57,227","21.74","53.59","30.72","-6.50","24.82"
"MARICO","769.00","771.85","757.85","770.65","760.40","-","-10.25","-1.33","9,66,405","73.78","780.00","577.85","0.58","19.84"
"GVT&D","3,610.10","3,630.30","3,531.50","3,622.50","3,565.70","-","-56.80","-1.57","3,76,799","134.94","3,819.00","1,254.00","30.54","129.75"
"TDPOWERSYS","829.10","851.80","826.50","846.50","833.15","-","-13.35","-1.58","4,12,980","34.68","888.80","293.00","21.22","141.53"
"HBLENGINE","772.00","774.45","760.00","776.95","762.50","-","-12.45","-1.61","7,60,201","58.24","1,122.00","405.00","-9.88","54.79"
"LTIM","5,004.00","5,178.50","4,988.00","5,211.50","5,124.50","-","-87.00","-1.67","6,87,029","349.33","6,429.50","3,802.00","-16.00","-8.51"
"IMFA","1,441.10","1,468.00","1,421.10","1,459.40","1,435.00","-","-24.40","-1.67","1,11,334","16.09","1,510.60","549.80","17.57","116.64"
"ASIANPAINT","2,408.90","2,411.80","2,360.10","2,410.50","2,368.20","-","-42.30","-1.75","6,75,635","160.83","2,985.70","2,124.75","-17.95","5.89"
"GODFRYPHLP","2,100.00","2,113.60","2,075.00","2,124.70","2,085.00","-","-39.70","-1.87","1,46,574","30.67","3,947.00","1,611.85","-5.89","25.11"
"CHOICEIN","766.00","771.00","751.05","766.65","752.00","-","-14.65","-1.91","2,13,399","16.13","860.50","438.45","-7.29","50.73"
"BEL","443.90","446.20","432.80","443.90","435.00","-","-8.90","-2.00","1,40,86,068","621.07","461.65","240.25","5.15","66.32"
"LALPATHLAB","1,430.00","1,430.00","1,389.10","1,435.30","1,406.20","-","-29.10","-2.03","1,37,684","19.32","1,770.00","1,146.78","-1.04","7.20"
"BRITANNIA","6,080.00","6,098.50","5,968.00","6,102.00","5,971.00","-","-131.00","-2.15","1,59,821","96.04","6,336.00","4,506.00","0.90","22.14"
"CANBK","143.80","143.80","141.42","144.81","141.65","-","-3.16","-2.18","1,41,39,257","201.06","160.79","78.60","-6.10","59.66"
"BOSCHLTD","36,415.00","36,420.00","35,600.00","36,495.00","35,700.00","-","-795.00","-2.18","13,848","49.73","41,945.00","25,921.60","-5.82","30.53"
"MOTILALOFS","803.25","803.25","782.00","803.35","784.70","-","-18.65","-2.32","4,59,584","36.19","1,097.10","513.00","-6.28","21.41"
"POLYCAB","7,760.50","7,764.00","7,565.00","7,768.00","7,577.00","-","-191.00","-2.46","1,60,046","122.28","7,948.00","4,555.00","0.29","36.50"
"GABRIEL","1,006.15","1,013.60","985.00","1,012.50","987.05","-","-25.45","-2.51","1,17,631","11.75","1,388.00","438.00","3.62","97.88"
"NESCO","1,197.30","1,202.00","1,180.00","1,214.80","1,184.00","-","-30.80","-2.54","29,114","3.47","1,638.90","842.60","1.80","24.14"
"ECLERX","3,602.70","3,829.90","3,554.40","3,728.60","3,630.30","-","-98.30","-2.64","2,40,196","88.73","4,995.00","2,168.00","-20.98","17.88"
"GRSE","2,480.00","2,488.00","2,424.10","2,496.20","2,427.00","-","-69.20","-2.77","4,40,467","107.85","3,538.40","1,184.90","-0.91","72.08"
"HEROMOTOCO","5,702.00","5,724.50","5,560.00","5,733.00","5,562.00","-","-171.00","-2.98","3,94,003","221.74","6,388.50","3,344.00","-3.01","40.58"
"SOLARINDS","13,250.00","13,300.00","12,935.00","13,391.00","12,965.00","-","-426.00","-3.18","90,669","118.86","17,820.00","8,482.50","2.12","47.21"
"ACUTAAS","2,090.00","2,104.80","2,010.00","2,093.40","2,024.00","-","-69.40","-3.32","3,09,000","63.34","2,553.65","1,040.50","20.24","-11.95"
"CIGNITITEC","1,355.00","1,368.00","1,310.20","1,390.30","1,338.60","-","-51.70","-3.72","1,60,450","21.39","1,929.50","1,033.25","-20.51","-5.28"
"BSE","3,100.00","3,127.00","3,017.90","3,143.20","3,023.90","-","-119.30","-3.80","38,85,000","1,184.59","3,227.00","1,227.33","6.78","72.61"
"FIEMIND","2,399.00","2,399.00","2,291.10","2,399.20","2,302.00","-","-97.20","-4.05","76,440","17.80","2,555.30","1,255.10","2.05","65.94"
"MCX","2,380.00","2,404.40","2,321.20","2,441.90","2,338.80","-","-103.10","-4.22","34,59,271","812.20","2,705.00","881.63","2.00","108.42"
