"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","41,253.75","41,294.00","40,786.05","41,691.85","40,851.00","-","-840.85","-2.02","12,34,40,152","14,942.14","-","-","-0.22","7.41"
"BAJFINANCE","995.00","1,032.00","992.80","999.10","1,030.00","-","30.90","3.09","2,16,13,987","2,195.18","1,102.50","802.50","8.54","22.49"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"COROMANDEL","2,255.00","2,300.00","2,241.00","2,270.20","2,288.00","-","17.80","0.78","3,23,878","73.61","2,718.90","1,596.00","-2.70","23.59"
"ASTRAZEN","8,829.50","9,000.00","8,641.00","8,824.00","8,865.00","-","41.00","0.46","9,284","8.16","10,691.00","6,620.10","7.76","19.88"
"PERSISTENT","5,210.00","5,540.00","5,210.00","5,452.00","5,473.00","-","21.00","0.39","18,06,431","978.62","6,599.00","4,148.95","-13.91","-3.36"
"CANFINHOME","884.80","891.00","859.45","888.40","891.00","-","2.60","0.29","2,40,309","20.97","971.50","558.50","-0.34","45.73"
"INDIAMART","2,176.00","2,210.00","2,150.00","2,200.20","2,200.00","-","-0.20","-0.01","89,004","19.51","2,799.00","1,900.10","2.01","0.03"
"FORCEMOT","23,720.00","24,129.00","23,004.00","23,840.00","23,798.00","-","-42.00","-0.18","1,19,515","281.86","25,050.00","6,251.00","18.43","251.59"
"ANANDRATHI","2,986.70","3,007.80","2,928.10","2,986.70","2,980.00","-","-6.70","-0.22","1,13,747","33.84","3,321.40","1,594.00","-5.46","64.51"
"HDFCAMC","2,817.00","2,832.40","2,797.40","2,835.70","2,825.00","-","-10.70","-0.38","10,46,968","294.71","2,967.25","1,781.53","13.65","50.43"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"CASTROLIND","186.01","186.99","185.00","186.71","185.29","-","-1.42","-0.76","16,22,832","30.13","251.95","180.66","-1.16","-10.41"
"MSUMI","42.90","43.27","42.00","43.27","42.75","-","-0.52","-1.20","50,57,227","21.74","53.59","30.72","-6.50","24.82"
"MARICO","769.00","771.85","757.85","770.65","760.40","-","-10.25","-1.33","9,66,405","73.78","780.00","577.85","0.58","19.84"
"CAMS","726.00","728.80","715.00","730.40","720.10","-","-10.30","-1.41","4,87,002","35.12","875.00","606.21","1.28","5.58"
"360ONE","1,136.30","1,146.20","1,115.60","1,144.40","1,126.70","-","-17.70","-1.55","4,71,438","53.15","1,273.80","790.50","-0.89","18.21"
"GVT&D","3,610.10","3,630.30","3,531.50","3,622.50","3,565.70","-","-56.80","-1.57","3,76,799","134.94","3,819.00","1,254.00","30.54","129.75"
"HBLENGINE","772.00","774.45","760.00","776.95","762.50","-","-12.45","-1.61","7,60,201","58.24","1,122.00","405.00","-9.88","54.79"
"LTIM","5,004.00","5,178.50","4,988.00","5,211.50","5,124.50","-","-87.00","-1.67","6,87,029","349.33","6,429.50","3,802.00","-16.00","-8.51"
"ASIANPAINT","2,408.90","2,411.80","2,360.10","2,410.50","2,368.20","-","-42.30","-1.75","6,75,635","160.83","2,985.70","2,124.75","-17.95","5.89"
"GILLETTE","8,668.00","8,671.00","8,510.00","8,673.00","8,515.00","-","-158.00","-1.82","12,507","10.74","11,500.00","7,411.65","5.20","7.03"
"GODFRYPHLP","2,100.00","2,113.60","2,075.00","2,124.70","2,085.00","-","-39.70","-1.87","1,46,574","30.67","3,947.00","1,611.85","-5.89","25.11"
"DIXON","11,500.00","11,548.00","11,250.00","11,626.00","11,398.00","-","-228.00","-1.96","4,46,533","508.93","18,471.00","9,835.00","1.42","-22.52"
"BEL","443.90","446.20","432.80","443.90","435.00","-","-8.90","-2.00","1,40,86,068","621.07","461.65","240.25","5.15","66.32"
"LALPATHLAB","1,430.00","1,430.00","1,389.10","1,435.30","1,406.20","-","-29.10","-2.03","1,37,684","19.32","1,770.00","1,146.78","-1.04","7.20"
"MANAPPURAM","306.70","306.70","296.60","308.65","302.15","-","-6.50","-2.11","49,16,102","148.05","321.60","168.83","-1.92","55.70"
"NESTLEIND","1,305.00","1,310.40","1,278.00","1,305.50","1,278.00","-","-27.50","-2.11","5,22,586","67.31","1,340.40","1,055.00","-3.09","17.38"
"BRITANNIA","6,080.00","6,098.50","5,968.00","6,102.00","5,971.00","-","-131.00","-2.15","1,59,821","96.04","6,336.00","4,506.00","0.90","22.14"
"CANBK","143.80","143.80","141.42","144.81","141.65","-","-3.16","-2.18","1,41,39,257","201.06","160.79","78.60","-6.10","59.66"
"MOTILALOFS","803.25","803.25","782.00","803.35","784.70","-","-18.65","-2.32","4,59,584","36.19","1,097.10","513.00","-6.28","21.41"
"ANGELONE","2,709.00","2,733.40","2,669.80","2,752.00","2,685.00","-","-67.00","-2.43","6,03,593","162.85","3,285.00","1,941.00","10.07","16.10"
"GPIL","262.10","264.82","257.05","265.40","258.80","-","-6.60","-2.49","13,66,289","35.49","290.00","145.75","-0.15","49.40"
"NH","1,856.60","1,872.00","1,813.60","1,864.90","1,818.20","-","-46.70","-2.50","2,50,560","46.08","2,370.20","1,300.95","-3.68","36.81"
"CDSL","1,350.00","1,359.00","1,321.10","1,370.20","1,335.60","-","-34.60","-2.53","16,63,043","222.32","1,828.90","1,047.45","-5.94","8.85"
"ECLERX","3,602.70","3,829.90","3,554.40","3,728.60","3,630.30","-","-98.30","-2.64","2,40,196","88.73","4,995.00","2,168.00","-20.98","17.88"
"GRSE","2,480.00","2,488.00","2,424.10","2,496.20","2,427.00","-","-69.20","-2.77","4,40,467","107.85","3,538.40","1,184.90","-0.91","72.08"
"HEROMOTOCO","5,702.00","5,724.50","5,560.00","5,733.00","5,562.00","-","-171.00","-2.98","3,94,003","221.74","6,388.50","3,344.00","-3.01","40.58"
"MGL","1,148.00","1,152.90","1,100.00","1,153.20","1,107.00","-","-34.20","-3.00","1,72,440","19.16","1,586.90","1,018.60","4.04","-14.72"
"SOLARINDS","13,250.00","13,300.00","12,935.00","13,391.00","12,965.00","-","-426.00","-3.18","90,669","118.86","17,820.00","8,482.50","2.12","47.21"
"USHAMART","422.15","422.15","407.00","423.75","409.80","-","-13.95","-3.29","2,03,823","8.44","497.10","278.55","-5.05","35.70"
"BSE","3,100.00","3,127.00","3,017.90","3,143.20","3,023.90","-","-119.30","-3.80","38,85,000","1,184.59","3,227.00","1,227.33","6.78","72.61"
"GMDCLTD","587.15","587.15","564.00","591.45","568.35","-","-23.10","-3.91","21,78,121","125.44","651.00","226.59","-0.35","104.44"
"AFFLE","1,605.70","1,610.00","1,553.00","1,623.50","1,559.80","-","-63.70","-3.92","3,68,172","57.89","2,185.90","1,246.00","-10.03","0.22"
"MCX","2,380.00","2,404.40","2,321.20","2,441.90","2,338.80","-","-103.10","-4.22","34,59,271","812.20","2,705.00","881.63","2.00","108.42"
"INTELLECT","695.75","700.00","672.00","711.20","676.90","-","-34.30","-4.82","6,67,444","45.70","1,255.00","577.40","-27.29","-7.80"
"NAM-INDIA","955.00","955.00","899.95","965.45","916.10","-","-49.35","-5.11","10,20,844","94.65","1,009.00","498.05","2.71","66.23"
"HINDCOPPER","606.00","613.00","585.00","624.70","591.50","-","-32.20","-5.16","1,61,67,639","970.87","760.05","183.82","9.65","161.85"
"NATIONALUM","360.00","361.25","348.35","369.70","349.65","-","-20.05","-5.42","1,05,86,115","373.61","431.50","137.75","-2.17","82.62"
"MUTHOOTFIN","3,870.00","3,870.00","3,552.70","4,066.90","3,587.00","-","-479.90","-11.80","64,98,829","2,357.05","4,149.50","1,965.00","-8.64","54.76"
