"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY COMMODITIES","9,920.75","9,924.20","9,780.85","10,019.90","9,795.95","-","-223.95","-2.24","21,81,04,155","9,037.13","10,069.30","7,502.95","3.33","24.89"
"TORNTPOWER","1,451.00","1,468.30","1,428.00","1,453.70","1,462.20","-","8.50","0.58","6,21,000","90.50","1,640.00","1,188.00","8.59","16.45"
"HINDPETRO","452.35","455.25","448.75","452.35","451.00","-","-1.35","-0.30","19,12,866","86.29","508.45","287.55","0.48","40.87"
"SRF","2,815.00","2,841.00","2,765.60","2,841.50","2,833.00","-","-8.50","-0.30","1,96,550","55.46","3,325.00","2,570.20","-6.80","-0.30"
"ULTRACEMCO","13,012.00","13,025.00","12,873.00","13,029.00","12,977.00","-","-52.00","-0.40","1,78,236","230.73","13,110.00","10,047.85","7.75","12.39"
"IOC","177.28","177.90","176.04","178.11","176.72","-","-1.39","-0.78","98,35,632","173.97","182.25","110.72","12.27","47.17"
"BPCL","377.45","378.40","372.95","377.70","374.30","-","-3.40","-0.90","26,96,607","101.14","391.65","234.01","5.41","46.35"
"SHREECEM","26,090.00","26,255.00","25,750.00","26,340.00","26,100.00","-","-240.00","-0.91","27,809","72.43","32,490.00","25,360.00","-3.89","-7.53"
"APLAPOLLO","2,272.40","2,272.80","2,237.80","2,272.90","2,249.70","-","-23.20","-1.02","3,74,996","84.40","2,301.40","1,272.70","18.08","63.71"
"NTPC","367.55","368.00","362.40","368.25","364.00","-","-4.25","-1.15","71,11,972","259.01","372.00","292.80","7.72","18.68"
"PIDILITIND","1,486.10","1,489.60","1,472.10","1,497.40","1,477.00","-","-20.40","-1.36","4,74,002","70.24","1,574.95","1,311.10","-1.46","4.82"
"NHPC","76.05","76.12","75.20","76.50","75.38","-","-1.12","-1.46","1,00,66,742","76.07","92.34","71.00","-7.42","0.11"
"JSWSTEEL","1,240.00","1,247.80","1,225.20","1,247.90","1,229.10","-","-18.80","-1.51","17,26,700","213.14","1,261.90","905.20","4.33","26.74"
"TATAPOWER","377.00","377.80","370.65","380.55","374.35","-","-6.20","-1.63","44,41,440","165.99","416.80","326.35","1.60","7.62"
"GRASIM","2,929.30","2,934.00","2,877.40","2,925.50","2,877.40","-","-48.10","-1.64","4,19,620","122.07","2,979.00","2,301.65","3.72","15.55"
"JINDALSTEL","1,193.40","1,193.40","1,167.30","1,203.40","1,183.60","-","-19.80","-1.65","13,02,484","153.91","1,207.00","770.00","17.10","40.82"
"PIIND","3,035.00","3,243.50","3,035.00","3,222.30","3,167.80","-","-54.50","-1.69","13,27,261","419.95","4,330.00","2,951.10","-3.04","-1.82"
"JSWENERGY","479.00","479.00","468.85","479.50","471.40","-","-8.10","-1.69","11,71,877","55.54","579.00","418.75","-4.60","0.80"
"RELIANCE","1,445.50","1,450.70","1,416.30","1,448.90","1,418.60","-","-30.30","-2.09","1,07,55,693","1,531.32","1,611.80","1,114.85","-2.35","16.65"
"COALINDIA","412.30","417.60","408.10","419.15","409.30","-","-9.85","-2.35","81,90,851","336.50","461.55","349.25","-4.57","13.18"
"TATASTEEL","206.59","206.85","202.56","208.11","202.98","-","-5.13","-2.47","2,58,70,923","529.19","211.10","125.30","11.18","48.98"
"AMBUJACEM","526.85","530.50","517.25","532.85","518.75","-","-14.10","-2.65","12,97,366","67.64","624.95","455.00","-3.52","3.23"
"UPL","740.15","742.95","720.95","744.90","723.35","-","-21.55","-2.89","13,32,082","97.36","812.20","588.85","-6.48","14.86"
"ONGC","270.00","271.35","266.00","276.35","267.50","-","-8.85","-3.20","2,07,48,628","556.23","280.30","205.00","9.73","13.85"
"NMDC","81.50","81.90","79.16","84.74","79.43","-","-2.81","-3.42","3,13,61,483","252.24","86.72","59.53","-3.28","25.72"
"ADANIENSOL","1,017.00","1,017.00","979.00","1,022.80","983.00","-","-39.80","-3.89","16,57,616","163.93","1,067.70","639.45","5.42","32.12"
"VEDL","685.00","685.00","662.55","702.75","673.90","-","-28.85","-4.11","1,58,68,021","1,069.27","769.80","363.00","5.76","58.73"
"OIL","471.00","471.00","452.30","474.85","454.90","-","-19.95","-4.20","53,41,810","244.30","524.00","325.00","1.56","10.17"
"ADANIGREEN","988.90","989.90","943.75","997.65","949.55","-","-48.10","-4.82","29,43,844","281.69","1,177.55","758.00","1.37","3.92"
"HINDALCO","923.55","932.65","901.00","964.40","905.75","-","-58.65","-6.08","1,01,70,485","928.56","1,029.80","546.45","-3.26","50.33"
"ADANIPOWER","149.20","149.30","139.10","149.79","140.40","-","-9.39","-6.27","3,86,79,559","548.05","182.70","92.40","-2.08","40.92"
