"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY CONGLOMERATE 50","14,799.75","14,840.55","14,706.60","14,974.25","14,759.50","-","-214.75","-1.43","55,57,16,763","17,349.99","15,284.30","12,226.80","0.10","11.49"
"BAJFINANCE","995.00","1,032.00","992.80","999.10","1,030.00","-","30.90","3.09","2,16,13,987","2,195.18","1,102.50","802.50","8.54","22.49"
"GODREJAGRO","632.00","656.70","621.95","633.00","652.00","-","19.00","3.00","16,53,084","106.92","876.35","506.10","16.44","-11.55"
"ZENSARTECH","571.35","607.45","558.30","576.85","587.00","-","10.15","1.76","23,10,507","135.81","901.50","535.85","-17.72","-32.10"
"COROMANDEL","2,255.00","2,300.00","2,241.00","2,270.20","2,288.00","-","17.80","0.78","3,23,878","73.61","2,718.90","1,596.00","-2.70","23.59"
"TECHM","1,482.60","1,548.00","1,464.40","1,536.60","1,534.00","-","-2.60","-0.17","70,58,376","1,069.54","1,854.00","1,209.40","-5.00","-8.43"
"LT","4,174.10","4,199.00","4,134.10","4,185.90","4,172.00","-","-13.90","-0.33","22,34,376","932.89","4,199.00","2,965.30","7.32","27.83"
"ULTRACEMCO","13,012.00","13,025.00","12,873.00","13,029.00","12,977.00","-","-52.00","-0.40","1,78,236","230.73","13,110.00","10,047.85","7.75","12.39"
"BAJAJFINSV","2,035.00","2,035.00","2,012.70","2,037.10","2,027.00","-","-10.10","-0.50","7,56,233","153.02","2,195.00","1,727.25","0.79","9.61"
"CGPOWER","680.00","684.50","671.40","685.10","680.00","-","-5.10","-0.74","11,43,123","77.62","797.55","517.70","16.92","17.34"
"CEATLTD","3,987.00","4,044.20","3,917.60","3,988.00","3,957.70","-","-30.30","-0.76","2,17,124","86.96","4,438.00","2,343.05","2.74","50.09"
"TRENT","4,247.10","4,299.00","4,195.10","4,285.60","4,249.00","-","-36.60","-0.85","6,65,095","282.92","6,261.00","3,645.00","8.34","-19.17"
"BAJAJ-AUTO","9,800.50","9,900.50","9,720.00","9,840.00","9,748.00","-","-92.00","-0.93","1,20,688","118.33","9,941.00","7,089.35","2.03","12.16"
"GODREJPROP","1,787.80","1,817.10","1,727.10","1,821.70","1,804.00","-","-17.70","-0.97","20,52,670","363.16","2,506.50","1,475.00","-3.98","-10.94"
"GODREJCP","1,196.00","1,202.20","1,191.00","1,204.30","1,192.00","-","-12.30","-1.02","8,27,685","99.13","1,309.00","979.50","-3.82","13.22"
"JIOFIN","265.00","267.25","262.85","267.55","263.85","-","-3.70","-1.38","1,22,22,314","323.30","338.60","198.65","-7.29","15.69"
"BAJAJHLDNG","11,040.00","11,040.00","10,821.00","11,040.00","10,888.00","-","-152.00","-1.38","32,683","35.57","14,763.00","10,400.00","1.48","-10.33"
