"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY CORE HOUSING","15,418.25","15,418.30","15,213.40","15,499.80","15,288.05","-","-211.75","-1.37","2,99,32,641","3,731.91","16,859.35","13,680.90","-1.38","3.67"
"CROMPTON","264.00","269.85","255.90","264.40","266.80","-","2.40","0.91","45,04,154","119.63","367.50","217.40","5.54","-22.05"
"BLUESTARCO","1,960.00","2,015.00","1,952.30","1,974.00","1,991.00","-","17.00","0.86","6,18,695","123.37","2,269.80","1,521.00","11.03","-0.19"
"HAVELLS","1,391.10","1,419.00","1,378.40","1,400.50","1,402.30","-","1.80","0.13","7,74,193","108.41","1,673.80","1,250.10","-2.05","-7.90"
"RAMCOCEM","1,135.20","1,148.70","1,128.70","1,145.00","1,145.00","-","-","-","91,192","10.40","1,214.50","788.20","5.54","32.86"
"BERGEPAINT","460.00","464.20","452.50","460.75","460.50","-","-0.25","-0.05","3,09,257","14.21","605.00","448.75","-11.57","-5.10"
"ULTRACEMCO","13,012.00","13,025.00","12,873.00","13,029.00","12,977.00","-","-52.00","-0.40","1,78,236","230.73","13,110.00","10,047.85","7.75","12.39"
"KEI","4,589.10","4,618.90","4,510.00","4,591.30","4,568.00","-","-23.30","-0.51","1,84,007","84.08","4,646.00","2,424.00","5.97","34.20"
"AMBER","7,750.00","7,820.50","7,660.00","7,784.50","7,715.00","-","-69.50","-0.89","3,51,861","271.86","8,626.00","5,235.00","25.54","25.58"
"SHREECEM","26,090.00","26,255.00","25,750.00","26,340.00","26,100.00","-","-240.00","-0.91","27,809","72.43","32,490.00","25,360.00","-3.89","-7.53"
"VOLTAS","1,534.00","1,534.00","1,510.20","1,535.80","1,521.30","-","-14.50","-0.94","5,34,253","81.36","1,546.80","1,182.70","4.15","21.85"
"GODREJPROP","1,787.80","1,817.10","1,727.10","1,821.70","1,804.00","-","-17.70","-0.97","20,52,670","363.16","2,506.50","1,475.00","-3.98","-10.94"
"BAJAJHFL","89.80","89.84","88.90","90.39","89.39","-","-1.00","-1.11","38,84,937","34.70","136.96","87.11","-5.14","-20.51"
"DALBHARAT","2,160.00","2,163.30","2,120.40","2,171.20","2,144.50","-","-26.70","-1.23","77,376","16.60","2,496.30","1,601.00","1.85","19.24"
"LODHA","1,071.25","1,079.05","1,045.90","1,084.85","1,070.35","-","-14.50","-1.34","17,95,630","191.47","1,531.00","863.80","-0.38","-8.77"
"OBEROIRLTY","1,539.00","1,556.60","1,515.30","1,566.60","1,545.00","-","-21.60","-1.38","4,94,872","76.18","2,005.00","1,425.50","-6.76","-5.14"
"PGEL","615.00","622.45","601.90","623.65","614.00","-","-9.65","-1.55","14,19,692","86.94","1,008.00","465.00","3.77","-24.28"
"GRASIM","2,929.30","2,934.00","2,877.40","2,925.50","2,877.40","-","-48.10","-1.64","4,19,620","122.07","2,979.00","2,301.65","3.72","15.55"
"ASIANPAINT","2,408.90","2,411.80","2,360.10","2,410.50","2,368.20","-","-42.30","-1.75","6,75,635","160.83","2,985.70","2,124.75","-17.95","5.89"
"KAJARIACER","955.00","955.00","935.35","955.40","937.45","-","-17.95","-1.88","65,100","6.14","1,321.90","758.70","-5.74","0.83"
"ACC","1,667.90","1,675.00","1,632.00","1,671.30","1,639.60","-","-31.70","-1.90","1,29,132","21.21","2,119.90","1,593.00","-3.97","-14.34"
"LICHSGFIN","515.00","515.35","506.70","517.10","507.00","-","-10.10","-1.95","9,67,179","49.30","646.50","483.70","-2.70","-8.03"
"DIXON","11,500.00","11,548.00","11,250.00","11,626.00","11,398.00","-","-228.00","-1.96","4,46,533","508.93","18,471.00","9,835.00","1.42","-22.52"
"PNBHOUSING","848.00","848.00","827.70","852.85","836.00","-","-16.85","-1.98","10,57,628","88.59","1,141.90","746.70","-13.82","3.70"
"POLYCAB","7,760.50","7,764.00","7,565.00","7,768.00","7,577.00","-","-191.00","-2.46","1,60,046","122.28","7,948.00","4,555.00","0.29","36.50"
"AMBUJACEM","526.85","530.50","517.25","532.85","518.75","-","-14.10","-2.65","12,97,366","67.64","624.95","455.00","-3.52","3.23"
"PHOENIXLTD","1,769.70","1,772.50","1,725.50","1,779.00","1,730.60","-","-48.40","-2.72","2,87,042","50.07","1,993.00","1,402.50","-8.66","8.15"
"JKCEMENT","5,779.00","5,787.50","5,580.00","5,812.00","5,596.00","-","-216.00","-3.72","39,240","22.15","7,565.50","4,218.90","-3.23","16.68"
"DLF","641.60","641.60","623.55","651.80","626.95","-","-24.85","-3.81","48,38,136","304.39","886.80","586.65","-3.90","-7.89"
"PRESTIGE","1,545.00","1,549.90","1,482.10","1,572.70","1,508.20","-","-64.50","-4.10","20,17,539","304.80","1,814.00","1,048.05","-0.63","21.84"
"BRIGADE","787.10","792.55","757.00","796.55","762.75","-","-33.80","-4.24","2,33,611","17.99","1,332.00","717.75","-10.89","-25.67"
