"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY ENERGY","36,154.00","36,168.55","35,678.10","36,452.65","35,709.90","-","-742.75","-2.04","30,90,13,062","7,621.13","36,938.90","29,313.20","3.76","14.14"
"THERMAX","2,829.50","2,895.00","2,749.80","2,831.60","2,880.00","-","48.40","1.71","3,02,282","84.97","4,091.80","2,742.70","-2.84","-9.36"
"TORNTPOWER","1,451.00","1,468.30","1,428.00","1,453.70","1,462.20","-","8.50","0.58","6,21,000","90.50","1,640.00","1,188.00","8.59","16.45"
"ENRIN","2,725.00","2,849.90","2,682.60","2,731.30","2,745.60","-","14.30","0.52","10,06,399","278.07","3,625.00","2,115.00","14.19","-"
"GUJGASLTD","425.00","426.05","416.20","425.35","426.00","-","0.65","0.15","1,95,691","8.28","508.70","360.25","4.25","5.75"
"GSPL","308.00","311.60","305.35","310.30","310.00","-","-0.30","-0.10","1,63,099","5.04","360.60","261.45","3.94","5.42"
"HINDPETRO","452.35","455.25","448.75","452.35","451.00","-","-1.35","-0.30","19,12,866","86.29","508.45","287.55","0.48","40.87"
"ABB","5,788.50","5,855.00","5,726.50","5,788.50","5,768.00","-","-20.50","-0.35","1,52,957","88.66","6,260.00","4,637.50","16.15","5.98"
"NLCINDIA","256.00","262.00","249.15","259.65","258.50","-","-1.15","-0.44","17,11,761","43.62","292.20","186.03","1.23","28.69"
"CGPOWER","680.00","684.50","671.40","685.10","680.00","-","-5.10","-0.74","11,43,123","77.62","797.55","517.70","16.92","17.34"
"CASTROLIND","186.01","186.99","185.00","186.71","185.29","-","-1.42","-0.76","16,22,832","30.13","251.95","180.66","-1.16","-10.41"
"IOC","177.28","177.90","176.04","178.11","176.72","-","-1.39","-0.78","98,35,632","173.97","182.25","110.72","12.27","47.17"
"BPCL","377.45","378.40","372.95","377.70","374.30","-","-3.40","-0.90","26,96,607","101.14","391.65","234.01","5.41","46.35"
"AEGISLOG","705.70","710.70","690.00","711.55","704.10","-","-7.45","-1.05","1,50,056","10.53","946.50","639.10","-2.78","-4.43"
