"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY EV & NEW AGE AUTOMOTIVE","3,072.80","3,075.75","3,037.75","3,094.50","3,058.20","-","-36.30","-1.17","13,80,90,335","8,150.11","-","-","-1.03","11.05"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"BHARATFORG","1,756.90","1,784.20","1,725.90","1,726.70","1,735.10","-","8.40","0.49","43,13,855","758.01","1,784.20","919.10","18.82","61.22"
"FLUOROCHEM","3,347.10","3,418.90","3,247.00","3,386.20","3,399.00","-","12.80","0.38","1,02,500","34.28","4,083.55","2,916.60","-1.61","-9.90"
"HYUNDAI","2,163.10","2,186.00","2,136.40","2,177.50","2,180.00","-","2.50","0.11","2,82,874","61.40","2,890.00","1,541.70","-5.48","21.16"
"OLAELEC","30.90","31.43","30.41","30.97","30.92","-","-0.05","-0.16","3,23,22,179","99.94","71.25","30.41","-20.70","-51.90"
"FORCEMOT","23,720.00","24,129.00","23,004.00","23,840.00","23,798.00","-","-42.00","-0.18","1,19,515","281.86","25,050.00","6,251.00","18.43","251.59"
"TVSMOTOR","3,861.60","3,894.00","3,832.20","3,881.20","3,870.00","-","-11.20","-0.29","2,60,604","100.75","3,909.00","2,192.75","3.05","56.34"
"TATACHEM","698.50","700.00","687.85","698.70","696.35","-","-2.35","-0.34","2,53,439","17.56","1,026.65","687.85","-8.71","-19.80"
"UNOMINDA","1,245.80","1,249.00","1,220.30","1,247.90","1,243.20","-","-4.70","-0.38","12,78,975","158.17","1,382.00","767.60","3.53","31.30"
"HSCL","450.00","457.45","447.00","452.25","450.50","-","-1.75","-0.39","5,86,000","26.45","534.45","365.35","-4.95","2.58"
"SCHAEFFLER","3,806.00","3,806.60","3,700.50","3,806.00","3,790.00","-","-16.00","-0.42","60,376","22.72","4,392.00","2,823.00","0.01","25.45"
"KEI","4,589.10","4,618.90","4,510.00","4,591.30","4,568.00","-","-23.30","-0.51","1,84,007","84.08","4,646.00","2,424.00","5.97","34.20"
"OLECTRA","1,011.00","1,030.80","1,009.50","1,031.50","1,024.00","-","-7.50","-0.73","2,10,446","21.45","1,714.20","965.10","-9.36","-16.68"
"CGPOWER","680.00","684.50","671.40","685.10","680.00","-","-5.10","-0.74","11,43,123","77.62","797.55","517.70","16.92","17.34"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"BAJAJ-AUTO","9,800.50","9,900.50","9,720.00","9,840.00","9,748.00","-","-92.00","-0.93","1,20,688","118.33","9,941.00","7,089.35","2.03","12.16"
"EXIDEIND","337.70","340.35","332.15","338.05","334.90","-","-3.15","-0.93","16,28,679","54.83","431.00","308.45","-3.21","-8.73"
"SONACOMS","526.05","531.85","520.10","532.80","527.60","-","-5.20","-0.98","10,82,968","57.03","559.50","380.00","15.44","2.16"
