"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY HOUSING","12,043.30","12,047.80","11,913.40","12,104.65","11,927.95","-","-176.70","-1.46","38,66,64,519","18,806.08","12,121.75","9,839.70","1.95","16.23"
"CROMPTON","264.00","269.85","255.90","264.40","266.80","-","2.40","0.91","45,04,154","119.63","367.50","217.40","5.54","-22.05"
"BLUESTARCO","1,960.00","2,015.00","1,952.30","1,974.00","1,991.00","-","17.00","0.86","6,18,695","123.37","2,269.80","1,521.00","11.03","-0.19"
"TORNTPOWER","1,451.00","1,468.30","1,428.00","1,453.70","1,462.20","-","8.50","0.58","6,21,000","90.50","1,640.00","1,188.00","8.59","16.45"
"INDUSINDBK","922.00","929.95","903.35","922.70","926.25","-","3.55","0.38","28,60,622","262.92","1,063.95","606.00","1.72","-11.55"
"SBIN","1,189.00","1,201.00","1,184.50","1,192.40","1,196.30","-","3.90","0.33","1,81,41,390","2,167.30","1,203.70","680.00","16.32","64.41"
"FEDERALBNK","287.05","290.55","285.10","287.10","287.70","-","0.60","0.21","62,02,181","178.86","298.25","172.66","15.40","58.25"
"HAVELLS","1,391.10","1,419.00","1,378.40","1,400.50","1,402.30","-","1.80","0.13","7,74,193","108.41","1,673.80","1,250.10","-2.05","-7.90"
"LT","4,174.10","4,199.00","4,134.10","4,185.90","4,172.00","-","-13.90","-0.33","22,34,376","932.89","4,199.00","2,965.30","7.32","27.83"
"ULTRACEMCO","13,012.00","13,025.00","12,873.00","13,029.00","12,977.00","-","-52.00","-0.40","1,78,236","230.73","13,110.00","10,047.85","7.75","12.39"
"KEI","4,589.10","4,618.90","4,510.00","4,591.30","4,568.00","-","-23.30","-0.51","1,84,007","84.08","4,646.00","2,424.00","5.97","34.20"
"AXISBANK","1,341.30","1,346.50","1,316.10","1,340.00","1,330.80","-","-9.20","-0.69","46,24,549","615.54","1,418.30","978.05","5.45","32.00"
