"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY INDIA CONSUMPTION","11,918.55","11,932.70","11,759.70","11,976.50","11,781.65","-","-194.85","-1.63","13,51,72,416","9,693.41","12,716.20","10,090.65","-2.17","9.24"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"HAVELLS","1,391.10","1,419.00","1,378.40","1,400.50","1,402.30","-","1.80","0.13","7,74,193","108.41","1,673.80","1,250.10","-2.05","-7.90"
"APOLLOHOSP","7,518.00","7,598.00","7,485.00","7,539.00","7,525.00","-","-14.00","-0.19","4,31,623","326.30","8,099.50","6,001.00","2.92","18.09"
"TVSMOTOR","3,861.60","3,894.00","3,832.20","3,881.20","3,870.00","-","-11.20","-0.29","2,60,604","100.75","3,909.00","2,192.75","3.05","56.34"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"TRENT","4,247.10","4,299.00","4,195.10","4,285.60","4,249.00","-","-36.60","-0.85","6,65,095","282.92","6,261.00","3,645.00","8.34","-19.17"
"BAJAJ-AUTO","9,800.50","9,900.50","9,720.00","9,840.00","9,748.00","-","-92.00","-0.93","1,20,688","118.33","9,941.00","7,089.35","2.03","12.16"
"GODREJCP","1,196.00","1,202.20","1,191.00","1,204.30","1,192.00","-","-12.30","-1.02","8,27,685","99.13","1,309.00","979.50","-3.82","13.22"
"BHARTIARTL","2,013.90","2,024.20","1,992.00","2,014.50","1,993.00","-","-21.50","-1.07","48,08,543","966.46","2,174.50","1,559.50","-1.67","16.24"
"INDIGO","4,966.00","4,988.00","4,900.60","4,982.80","4,928.10","-","-54.70","-1.10","2,32,702","114.84","6,232.50","4,157.85","3.54","12.90"
"ITC","316.00","318.40","313.25","317.45","313.60","-","-3.85","-1.21","87,30,618","275.33","444.20","302.00","-6.30","-23.46"
"UNITDSPR","1,414.00","1,423.00","1,398.10","1,417.40","1,400.20","-","-17.20","-1.21","3,83,577","54.06","1,645.00","1,271.10","6.12","0.24"
"NAUKRI","1,138.80","1,179.90","1,104.20","1,149.30","1,135.00","-","-14.30","-1.24","36,38,049","410.81","1,566.39","1,104.20","-14.82","-25.73"
"MAXHEALTH","1,062.00","1,067.95","1,044.15","1,062.90","1,049.00","-","-13.90","-1.31","27,45,794","289.38","1,314.30","933.80","2.02","4.73"
"VBL","452.50","453.75","445.60","455.70","448.45","-","-7.25","-1.59","30,80,721","138.55","568.50","419.55","-10.52","-12.65"
"TATAPOWER","377.00","377.80","370.65","380.55","374.35","-","-6.20","-1.63","44,41,440","165.99","416.80","326.35","1.60","7.62"
"TATACONSUM","1,148.90","1,154.00","1,125.40","1,149.30","1,130.30","-","-19.00","-1.65","5,25,887","59.82","1,220.90","930.10","-4.97","10.51"
"M&M","3,530.00","3,596.50","3,520.30","3,593.10","3,533.00","-","-60.10","-1.67","16,32,115","580.38","3,839.90","2,425.00","-3.51","18.64"
"ASIANPAINT","2,408.90","2,411.80","2,360.10","2,410.50","2,368.20","-","-42.30","-1.75","6,75,635","160.83","2,985.70","2,124.75","-17.95","5.89"
"DMART","3,944.30","3,949.50","3,887.00","3,963.00","3,890.00","-","-73.00","-1.84","2,19,061","85.69","4,949.50","3,340.00","1.65","5.23"
"DIXON","11,500.00","11,548.00","11,250.00","11,626.00","11,398.00","-","-228.00","-1.96","4,46,533","508.93","18,471.00","9,835.00","1.42","-22.52"
"INDHOTEL","707.00","707.00","683.40","712.00","697.40","-","-14.60","-2.05","38,61,052","268.89","858.00","627.20","2.84","-5.34"
"NESTLEIND","1,305.00","1,310.40","1,278.00","1,305.50","1,278.00","-","-27.50","-2.11","5,22,586","67.31","1,340.40","1,055.00","-3.09","17.38"
"BRITANNIA","6,080.00","6,098.50","5,968.00","6,102.00","5,971.00","-","-131.00","-2.15","1,59,821","96.04","6,336.00","4,506.00","0.90","22.14"
"TITAN","4,267.30","4,271.80","4,164.80","4,275.80","4,175.00","-","-100.80","-2.36","5,24,758","221.23","4,378.40","2,925.00","-1.51","29.20"
"HEROMOTOCO","5,702.00","5,724.50","5,560.00","5,733.00","5,562.00","-","-171.00","-2.98","3,94,003","221.74","6,388.50","3,344.00","-3.01","40.58"
"DLF","641.60","641.60","623.55","651.80","626.95","-","-24.85","-3.81","48,38,136","304.39","886.80","586.65","-3.90","-7.89"
"ETERNAL","298.00","300.00","283.80","298.00","285.20","-","-12.80","-4.30","4,75,83,835","1,369.80","368.45","194.80","-3.17","30.90"
"HINDUNILVR","2,400.00","2,400.00","2,300.30","2,409.70","2,305.00","-","-104.70","-4.34","27,91,519","651.59","2,750.00","2,136.00","-3.54","-0.71"
"ADANIPOWER","149.20","149.30","139.10","149.79","140.40","-","-9.39","-6.27","3,86,79,559","548.05","182.70","92.40","-2.08","40.92"
