"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY INDIA DIGITAL","8,396.90","8,509.55","8,312.55","8,596.75","8,446.30","-","-150.45","-1.75","56,33,13,614","21,575.33","10,152.15","4,924.40","-9.53","-4.64"
"PERSISTENT","5,210.00","5,540.00","5,210.00","5,452.00","5,473.00","-","21.00","0.39","18,06,431","978.62","6,599.00","4,148.95","-13.91","-3.36"
"INDIAMART","2,176.00","2,210.00","2,150.00","2,200.20","2,200.00","-","-0.20","-0.01","89,004","19.51","2,799.00","1,900.10","2.01","0.03"
"TECHM","1,482.60","1,548.00","1,464.40","1,536.60","1,534.00","-","-2.60","-0.17","70,58,376","1,069.54","1,854.00","1,209.40","-5.00","-8.43"
"MPHASIS","2,387.60","2,501.20","2,355.20","2,464.00","2,452.50","-","-11.50","-0.47","17,25,163","422.18","3,037.20","2,044.55","-14.66","-5.74"
"SWIGGY","337.00","341.65","329.35","337.35","335.30","-","-2.05","-0.61","1,01,14,145","339.35","474.00","297.00","-4.30","-8.26"
"BHARTIARTL","2,013.90","2,024.20","1,992.00","2,014.50","1,993.00","-","-21.50","-1.07","48,08,543","966.46","2,174.50","1,559.50","-1.67","16.24"
"IRCTC","625.00","632.75","612.00","622.05","614.95","-","-7.10","-1.14","39,30,956","245.44","820.25","596.00","-2.42","-17.61"
"INFY","1,293.90","1,377.30","1,281.50","1,386.00","1,369.00","-","-17.00","-1.23","4,57,85,709","6,116.33","1,894.60","1,281.50","-14.38","-25.73"
"HCLTECH","1,423.00","1,476.80","1,396.00","1,476.10","1,458.00","-","-18.10","-1.23","72,14,938","1,038.48","1,780.10","1,302.75","-12.43","-14.39"
"NAUKRI","1,138.80","1,179.90","1,104.20","1,149.30","1,135.00","-","-14.30","-1.24","36,38,049","410.81","1,566.39","1,104.20","-14.82","-25.73"
"BHARTIHEXA","1,680.20","1,683.00","1,661.10","1,681.90","1,661.10","-","-20.80","-1.24","46,525","7.77","2,052.90","1,234.00","-1.13","21.63"
"LTIM","5,004.00","5,178.50","4,988.00","5,211.50","5,124.50","-","-87.00","-1.67","6,87,029","349.33","6,429.50","3,802.00","-16.00","-8.51"
"CYIENT","990.00","1,029.70","982.50","1,017.00","999.00","-","-18.00","-1.77","3,70,990","37.35","1,537.05","982.50","-14.98","-31.06"
"POLICYBZR","1,534.90","1,556.50","1,519.40","1,553.60","1,525.00","-","-28.60","-1.84","13,64,875","209.56","1,978.00","1,311.35","-6.92","-6.66"
"OFSS","6,648.00","6,711.00","6,400.00","6,764.00","6,630.00","-","-134.00","-1.98","4,37,097","287.32","9,950.00","6,400.00","-13.85","-26.36"
"TCS","2,585.00","2,713.00","2,585.00","2,750.10","2,695.00","-","-55.10","-2.00","1,11,68,735","2,959.06","4,021.75","2,585.00","-17.53","-31.08"
"WIPRO","210.65","216.48","209.01","219.08","214.38","-","-4.70","-2.15","2,37,21,186","505.14","316.50","209.01","-18.86","-30.52"
"PAYTM","1,140.00","1,140.40","1,099.30","1,148.70","1,122.90","-","-25.80","-2.25","63,19,748","706.46","1,381.80","651.50","-12.38","48.65"
"IDEA","11.44","11.51","11.26","11.55","11.28","-","-0.27","-2.34","35,16,53,687","399.83","12.80","6.12","4.44","30.56"
"SONATSOFTW","279.00","286.80","275.00","288.65","280.20","-","-7.20","-2.51","19,56,919","54.78","464.20","275.00","-20.30","-34.89"
"TATACOMM","1,680.00","1,691.60","1,641.30","1,705.30","1,655.00","-","-50.30","-2.95","1,41,869","23.68","2,004.00","1,291.00","-4.81","8.65"
"TATAELXSI","4,850.00","4,891.50","4,755.00","4,976.00","4,814.50","-","-161.50","-3.25","4,41,804","212.81","6,735.00","4,700.00","-16.89","-21.52"
"NYKAA","279.39","280.25","269.88","280.14","271.00","-","-9.14","-3.26","81,82,107","223.76","285.60","154.90","6.44","59.03"
"TATATECH","603.50","607.05","575.30","614.75","594.05","-","-20.70","-3.37","28,99,790","171.39","797.00","575.30","-10.03","-19.49"
"KPITTECH","870.00","873.60","812.90","891.50","860.30","-","-31.20","-3.50","60,26,791","509.38","1,434.50","812.90","-26.70","-35.82"
"AFFLE","1,605.70","1,610.00","1,553.00","1,623.50","1,559.80","-","-63.70","-3.92","3,68,172","57.89","2,185.90","1,246.00","-10.03","0.22"
"ETERNAL","298.00","300.00","283.80","298.00","285.20","-","-12.80","-4.30","4,75,83,835","1,369.80","368.45","194.80","-3.17","30.90"
"COFORGE","1,359.40","1,392.50","1,334.00","1,421.50","1,358.90","-","-62.60","-4.40","1,28,47,607","1,747.03","1,994.00","1,194.01","-20.46","-13.73"
"INTELLECT","695.75","700.00","672.00","711.20","676.90","-","-34.30","-4.82","6,67,444","45.70","1,255.00","577.40","-27.29","-7.80"
"LTTS","3,640.00","3,678.10","3,490.00","3,704.10","3,504.30","-","-199.80","-5.39","2,56,090","90.56","5,322.00","3,490.00","-18.84","-30.24"
