"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","11,491.55","11,491.95","11,352.25","11,541.60","11,368.35","-","-173.25","-1.50","88,29,80,858","17,463.96","11,820.05","9,210.40","3.08","-"
"ENGINERSIN","199.10","210.00","197.15","180.90","199.32","-","18.42","10.18","13,40,19,973","2,747.95","255.45","142.20","2.81","20.79"
"SIGNATURE","981.90","1,052.60","981.90","982.90","1,041.00","-","58.10","5.91","17,15,847","177.08","1,309.50","775.20","9.86","-14.85"
"KIRLOSENG","1,340.00","1,394.40","1,330.20","1,337.00","1,371.00","-","34.00","2.54","15,86,476","219.09","1,434.90","544.40","19.14","91.53"
"THERMAX","2,829.50","2,895.00","2,749.80","2,831.60","2,880.00","-","48.40","1.71","3,02,282","84.97","4,091.80","2,742.70","-2.84","-9.36"
"HAL","4,189.00","4,263.50","4,155.80","4,158.90","4,206.00","-","47.10","1.13","35,32,180","1,489.71","5,165.00","3,046.05","-5.53","14.91"
"TORNTPOWER","1,451.00","1,468.30","1,428.00","1,453.70","1,462.20","-","8.50","0.58","6,21,000","90.50","1,640.00","1,188.00","8.59","16.45"
"ENRIN","2,725.00","2,849.90","2,682.60","2,731.30","2,745.60","-","14.30","0.52","10,06,399","278.07","3,625.00","2,115.00","14.19","-"
"TRITURBINE","483.50","496.80","478.50","488.90","490.90","-","2.00","0.41","18,26,116","89.55","675.20","454.10","-4.36","-13.31"
"GUJGASLTD","425.00","426.05","416.20","425.35","426.00","-","0.65","0.15","1,95,691","8.28","508.70","360.25","4.25","5.75"
"RAMCOCEM","1,135.20","1,148.70","1,128.70","1,145.00","1,145.00","-","-","-","91,192","10.40","1,214.50","788.20","5.54","32.86"
"NTPCGREEN","88.75","89.28","87.42","89.08","89.04","-","-0.04","-0.04","23,57,251","20.88","117.64","84.05","-2.86","-17.69"
"GSPL","308.00","311.60","305.35","310.30","310.00","-","-0.30","-0.10","1,63,099","5.04","360.60","261.45","3.94","5.42"
"BLUEDART","5,746.50","5,821.00","5,715.00","5,833.50","5,815.00","-","-18.50","-0.32","11,484","6.63","7,225.00","5,190.50","7.58","-4.07"
"LT","4,174.10","4,199.00","4,134.10","4,185.90","4,172.00","-","-13.90","-0.33","22,34,376","932.89","4,199.00","2,965.30","7.32","27.83"
"ABB","5,788.50","5,855.00","5,726.50","5,788.50","5,768.00","-","-20.50","-0.35","1,52,957","88.66","6,260.00","4,637.50","16.15","5.98"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
"ULTRACEMCO","13,012.00","13,025.00","12,873.00","13,029.00","12,977.00","-","-52.00","-0.40","1,78,236","230.73","13,110.00","10,047.85","7.75","12.39"
"BEML","1,731.10","1,748.90","1,700.60","1,740.40","1,731.00","-","-6.90","-0.40","1,71,064","29.60","2,437.40","1,175.00","-2.20","17.78"
"NLCINDIA","256.00","262.00","249.15","259.65","258.50","-","-1.15","-0.44","17,11,761","43.62","292.20","186.03","1.23","28.69"
"KPIL","1,101.90","1,108.90","1,078.10","1,101.90","1,096.20","-","-5.70","-0.52","66,660","7.28","1,335.60","786.30","-2.79","11.60"
"CGPOWER","680.00","684.50","671.40","685.10","680.00","-","-5.10","-0.74","11,43,123","77.62","797.55","517.70","16.92","17.34"
"KIRLOSBROS","1,610.80","1,615.50","1,576.20","1,618.90","1,605.50","-","-13.40","-0.83","33,026","5.28","2,475.00","1,422.35","-0.98","-8.65"
"ELGIEQUIP","513.05","523.65","499.40","512.25","507.85","-","-4.40","-0.86","23,65,077","121.11","608.40","401.00","15.37","-3.51"
"SHREECEM","26,090.00","26,255.00","25,750.00","26,340.00","26,100.00","-","-240.00","-0.91","27,809","72.43","32,490.00","25,360.00","-3.89","-7.53"
"ACE","895.00","902.00","876.05","904.70","896.00","-","-8.70","-0.96","1,73,931","15.49","1,389.00","775.45","1.08","-26.90"
"GODREJPROP","1,787.80","1,817.10","1,727.10","1,821.70","1,804.00","-","-17.70","-0.97","20,52,670","363.16","2,506.50","1,475.00","-3.98","-10.94"
"DATAPATTNS","2,760.00","2,789.00","2,725.00","2,783.30","2,754.90","-","-28.40","-1.02","2,56,905","70.83","3,268.80","1,351.15","6.31","63.66"
"IRCON","153.97","154.10","151.27","154.47","152.90","-","-1.57","-1.02","14,29,611","21.80","225.52","134.24","-5.76","-8.63"
"AEGISLOG","705.70","710.70","690.00","711.55","704.10","-","-7.45","-1.05","1,50,056","10.53","946.50","639.10","-2.78","-4.43"
"GAIL","162.40","163.33","161.12","163.72","161.99","-","-1.73","-1.06","85,23,271","137.86","202.79","150.52","-1.98","-0.21"
"BHARTIARTL","2,013.90","2,024.20","1,992.00","2,014.50","1,993.00","-","-21.50","-1.07","48,08,543","966.46","2,174.50","1,559.50","-1.67","16.24"
"INDIGO","4,966.00","4,988.00","4,900.60","4,982.80","4,928.10","-","-54.70","-1.10","2,32,702","114.84","6,232.50","4,157.85","3.54","12.90"
"POWERINDIA","22,500.00","22,679.00","22,225.00","22,702.00","22,450.00","-","-252.00","-1.11","72,497","162.74","23,140.00","10,300.00","31.24","90.98"
"SIEMENS","3,131.00","3,184.50","3,083.10","3,148.50","3,113.00","-","-35.50","-1.13","4,11,114","128.66","5,520.00","2,450.00","5.61","-39.02"
"NTPC","367.55","368.00","362.40","368.25","364.00","-","-4.25","-1.15","71,11,972","259.01","372.00","292.80","7.72","18.68"
"IRB","44.28","44.45","43.75","44.46","43.95","-","-0.51","-1.15","75,97,646","33.48","54.28","38.57","7.43","-11.16"
