"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY INDIA MANUFACTURING","15,673.90","15,695.95","15,542.85","15,781.80","15,570.85","-","-210.95","-1.34","29,16,89,498","19,665.90","-","-","2.09","20.82"
"LINDEINDIA","6,419.00","6,967.00","6,394.00","6,440.50","6,880.00","-","439.50","6.82","4,04,286","275.96","7,870.00","5,242.40","13.10","20.85"
"KPRMILL","897.00","988.70","869.05","897.80","926.00","-","30.70","3.43","38,75,768","367.65","1,389.00","755.50","8.39","5.80"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"HAL","4,189.00","4,263.50","4,155.80","4,158.90","4,206.00","-","47.10","1.13","35,32,180","1,489.71","5,165.00","3,046.05","-5.53","14.91"
"CROMPTON","264.00","269.85","255.90","264.40","266.80","-","2.40","0.91","45,04,154","119.63","367.50","217.40","5.54","-22.05"
"BLUESTARCO","1,960.00","2,015.00","1,952.30","1,974.00","1,991.00","-","17.00","0.86","6,18,695","123.37","2,269.80","1,521.00","11.03","-0.19"
"COROMANDEL","2,255.00","2,300.00","2,241.00","2,270.20","2,288.00","-","17.80","0.78","3,23,878","73.61","2,718.90","1,596.00","-2.70","23.59"
"ASTRAL","1,589.00","1,604.60","1,559.50","1,591.60","1,601.00","-","9.40","0.59","5,85,825","93.01","1,615.50","1,232.30","11.30","16.80"
"ENRIN","2,725.00","2,849.90","2,682.60","2,731.30","2,745.60","-","14.30","0.52","10,06,399","278.07","3,625.00","2,115.00","14.19","-"
"BHARATFORG","1,756.90","1,784.20","1,725.90","1,726.70","1,735.10","-","8.40","0.49","43,13,855","758.01","1,784.20","919.10","18.82","61.22"
"FLUOROCHEM","3,347.10","3,418.90","3,247.00","3,386.20","3,399.00","-","12.80","0.38","1,02,500","34.28","4,083.55","2,916.60","-1.61","-9.90"
"CIPLA","1,328.00","1,336.10","1,315.80","1,330.00","1,331.70","-","1.70","0.13","12,36,946","164.25","1,673.00","1,281.70","-8.05","-9.54"
"HAVELLS","1,391.10","1,419.00","1,378.40","1,400.50","1,402.30","-","1.80","0.13","7,74,193","108.41","1,673.80","1,250.10","-2.05","-7.90"
