"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY INDIA NEW AGE CONSUMPTION","11,634.95","11,650.25","11,508.50","11,711.00","11,548.60","-","-162.40","-1.39","60,57,86,630","13,887.67","-","-","-0.45","9.01"
"ABFRL","70.00","75.10","68.32","70.04","73.30","-","3.26","4.65","1,94,43,779","142.52","295.70","59.80","-0.03","-71.69"
"KPRMILL","897.00","988.70","869.05","897.80","926.00","-","30.70","3.43","38,75,768","367.65","1,389.00","755.50","8.39","5.80"
"ZEEL","93.00","99.10","92.35","93.72","95.99","-","2.27","2.42","3,14,29,607","302.89","151.70","78.40","7.70","-3.95"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"CROMPTON","264.00","269.85","255.90","264.40","266.80","-","2.40","0.91","45,04,154","119.63","367.50","217.40","5.54","-22.05"
"BLUESTARCO","1,960.00","2,015.00","1,952.30","1,974.00","1,991.00","-","17.00","0.86","6,18,695","123.37","2,269.80","1,521.00","11.03","-0.19"
"FIRSTCRY","263.80","270.95","261.00","267.80","270.05","-","2.25","0.84","10,19,948","27.06","438.70","254.50","0.35","-34.15"
"WHIRLPOOL","888.00","906.25","867.80","888.35","894.00","-","5.65","0.64","5,64,057","50.56","1,473.80","756.85","10.42","-12.58"
"HAVELLS","1,391.10","1,419.00","1,378.40","1,400.50","1,402.30","-","1.80","0.13","7,74,193","108.41","1,673.80","1,250.10","-2.05","-7.90"
"HYUNDAI","2,163.10","2,186.00","2,136.40","2,177.50","2,180.00","-","2.50","0.11","2,82,874","61.40","2,890.00","1,541.70","-5.48","21.16"
"INDIAMART","2,176.00","2,210.00","2,150.00","2,200.20","2,200.00","-","-0.20","-0.01","89,004","19.51","2,799.00","1,900.10","2.01","0.03"
"ABSLAMC","868.65","878.80","850.20","871.40","870.50","-","-0.90","-0.10","3,42,522","29.75","908.00","556.45","6.02","32.19"
"OLAELEC","30.90","31.43","30.41","30.97","30.92","-","-0.05","-0.16","3,23,22,179","99.94","71.25","30.41","-20.70","-51.90"
"TVSMOTOR","3,861.60","3,894.00","3,832.20","3,881.20","3,870.00","-","-11.20","-0.29","2,60,604","100.75","3,909.00","2,192.75","3.05","56.34"
"HDFCAMC","2,817.00","2,832.40","2,797.40","2,835.70","2,825.00","-","-10.70","-0.38","10,46,968","294.71","2,967.25","1,781.53","13.65","50.43"
"SWIGGY","337.00","341.65","329.35","337.35","335.30","-","-2.05","-0.61","1,01,14,145","339.35","474.00","297.00","-4.30","-8.26"
"UTIAMC","1,062.50","1,079.80","1,052.60","1,078.15","1,071.00","-","-7.15","-0.66","37,725","4.03","1,494.80","905.00","-0.80","8.06"
"OLECTRA","1,011.00","1,030.80","1,009.50","1,031.50","1,024.00","-","-7.50","-0.73","2,10,446","21.45","1,714.20","965.10","-9.36","-16.68"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
