"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","38,100.10","38,157.00","37,693.25","38,603.70","37,770.20","-","-833.50","-2.16","54,69,67,902","12,991.18","-","-","-1.34","12.58"
"ABFRL","70.00","75.10","68.32","70.04","73.30","-","3.26","4.65","1,94,43,779","142.52","295.70","59.80","-0.03","-71.69"
"ABSLAMC","868.65","878.80","850.20","871.40","870.50","-","-0.90","-0.10","3,42,522","29.75","908.00","556.45","6.02","32.19"
"TECHM","1,482.60","1,548.00","1,464.40","1,536.60","1,534.00","-","-2.60","-0.17","70,58,376","1,069.54","1,854.00","1,209.40","-5.00","-8.43"
"TATACHEM","698.50","700.00","687.85","698.70","696.35","-","-2.35","-0.34","2,53,439","17.56","1,026.65","687.85","-8.71","-19.80"
"ULTRACEMCO","13,012.00","13,025.00","12,873.00","13,029.00","12,977.00","-","-52.00","-0.40","1,78,236","230.73","13,110.00","10,047.85","7.75","12.39"
"TRENT","4,247.10","4,299.00","4,195.10","4,285.60","4,249.00","-","-36.60","-0.85","6,65,095","282.92","6,261.00","3,645.00","8.34","-19.17"
"VOLTAS","1,534.00","1,534.00","1,510.20","1,535.80","1,521.30","-","-14.50","-0.94","5,34,253","81.36","1,546.80","1,182.70","4.15","21.85"
"ABLBL","114.00","115.30","111.50","114.15","112.67","-","-1.48","-1.30","10,12,794","11.48","175.00","100.86","-4.83","-"
"TEJASNET","331.90","331.90","323.50","333.05","328.70","-","-4.35","-1.31","7,90,610","25.88","914.40","294.00","-12.46","-60.29"
"JIOFIN","265.00","267.25","262.85","267.55","263.85","-","-3.70","-1.38","1,22,22,314","323.30","338.60","198.65","-7.29","15.69"
"TMPV","379.00","387.50","374.40","383.45","378.00","-","-5.45","-1.42","1,55,65,868","593.03","744.00","335.60","8.08","-44.72"
"INDIACEM","449.95","450.20","438.15","448.25","441.00","-","-7.25","-1.62","1,38,428","6.12","485.80","238.85","-5.59","56.52"
"TATAPOWER","377.00","377.80","370.65","380.55","374.35","-","-6.20","-1.63","44,41,440","165.99","416.80","326.35","1.60","7.62"
"GRASIM","2,929.30","2,934.00","2,877.40","2,925.50","2,877.40","-","-48.10","-1.64","4,19,620","122.07","2,979.00","2,301.65","3.72","15.55"
"TATACONSUM","1,148.90","1,154.00","1,125.40","1,149.30","1,130.30","-","-19.00","-1.65","5,25,887","59.82","1,220.90","930.10","-4.97","10.51"
"M&M","3,530.00","3,596.50","3,520.30","3,593.10","3,533.00","-","-60.10","-1.67","16,32,115","580.38","3,839.90","2,425.00","-3.51","18.64"
"ACC","1,667.90","1,675.00","1,632.00","1,671.30","1,639.60","-","-31.70","-1.90","1,29,132","21.21","2,119.90","1,593.00","-3.97","-14.34"
"ABREL","1,409.60","1,413.10","1,374.10","1,415.20","1,388.00","-","-27.20","-1.92","77,682","10.81","2,537.90","1,186.00","-10.56","-33.90"
"TCS","2,585.00","2,713.00","2,585.00","2,750.10","2,695.00","-","-55.10","-2.00","1,11,68,735","2,959.06","4,021.75","2,585.00","-17.53","-31.08"
"INDHOTEL","707.00","707.00","683.40","712.00","697.40","-","-14.60","-2.05","38,61,052","268.89","858.00","627.20","2.84","-5.34"
"RELIANCE","1,445.50","1,450.70","1,416.30","1,448.90","1,418.60","-","-30.30","-2.09","1,07,55,693","1,531.32","1,611.80","1,114.85","-2.35","16.65"
"ADANIPORTS","1,543.00","1,543.00","1,507.00","1,543.70","1,508.00","-","-35.70","-2.31","18,38,361","279.43","1,583.90","1,036.50","5.56","35.67"
"IDEA","11.44","11.51","11.26","11.55","11.28","-","-0.27","-2.34","35,16,53,687","399.83","12.80","6.12","4.44","30.56"
"TITAN","4,267.30","4,271.80","4,164.80","4,275.80","4,175.00","-","-100.80","-2.36","5,24,758","221.23","4,378.40","2,925.00","-1.51","29.20"
"TATAINVEST","644.85","644.85","625.00","647.75","632.10","-","-15.65","-2.42","2,98,676","18.85","1,184.70","514.52","-5.53","18.42"
"TATASTEEL","206.59","206.85","202.56","208.11","202.98","-","-5.13","-2.47","2,58,70,923","529.19","211.10","125.30","11.18","48.98"
"AWL","205.00","205.45","200.20","206.30","201.19","-","-5.11","-2.48","15,24,928","30.78","291.20","200.20","-8.46","-17.61"
"ABCAPITAL","344.00","344.00","334.50","344.65","335.50","-","-9.15","-2.65","54,36,281","183.52","369.30","149.01","-4.38","110.68"
"AMBUJACEM","526.85","530.50","517.25","532.85","518.75","-","-14.10","-2.65","12,97,366","67.64","624.95","455.00","-3.52","3.23"
"TTML","44.48","44.48","43.30","44.70","43.50","-","-1.20","-2.68","8,65,854","3.79","81.12","41.07","-6.85","-36.64"
"ATGL","533.00","533.50","518.05","535.95","520.20","-","-15.75","-2.94","4,73,476","24.70","798.00","507.05","-6.35","-12.89"
"TATACOMM","1,680.00","1,691.60","1,641.30","1,705.30","1,655.00","-","-50.30","-2.95","1,41,869","23.68","2,004.00","1,291.00","-4.81","8.65"
"TATAELXSI","4,850.00","4,891.50","4,755.00","4,976.00","4,814.50","-","-161.50","-3.25","4,41,804","212.81","6,735.00","4,700.00","-16.89","-21.52"
"TATATECH","603.50","607.05","575.30","614.75","594.05","-","-20.70","-3.37","28,99,790","171.39","797.00","575.30","-10.03","-19.49"
"ALOKINDS","15.54","15.62","14.96","15.60","15.07","-","-0.53","-3.40","65,18,121","9.95","23.50","14.00","-5.04","-11.14"
"ADANIENT","2,210.00","2,210.00","2,124.20","2,211.80","2,127.00","-","-84.80","-3.83","14,89,548","320.70","2,616.50","1,848.00","-1.46","-2.40"
"ADANIENSOL","1,017.00","1,017.00","979.00","1,022.80","983.00","-","-39.80","-3.89","16,57,616","163.93","1,067.70","639.45","5.42","32.12"
"M&MFIN","377.20","377.20","361.55","379.05","363.00","-","-16.05","-4.23","10,23,886","37.70","412.20","231.02","0.06","32.30"
"ADANIGREEN","988.90","989.90","943.75","997.65","949.55","-","-48.10","-4.82","29,43,844","281.69","1,177.55","758.00","1.37","3.92"
"HINDALCO","923.55","932.65","901.00","964.40","905.75","-","-58.65","-6.08","1,01,70,485","928.56","1,029.80","546.45","-3.26","50.33"
