"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY INFRASTRUCTURE","9,631.45","9,646.40","9,528.00","9,663.30","9,542.50","-","-120.80","-1.25","21,39,08,222","10,265.67","9,792.60","7,589.95","3.42","19.05"
"BHARATFORG","1,756.90","1,784.20","1,725.90","1,726.70","1,735.10","-","8.40","0.49","43,13,855","758.01","1,784.20","919.10","18.82","61.22"
"APOLLOHOSP","7,518.00","7,598.00","7,485.00","7,539.00","7,525.00","-","-14.00","-0.19","4,31,623","326.30","8,099.50","6,001.00","2.92","18.09"
"HINDPETRO","452.35","455.25","448.75","452.35","451.00","-","-1.35","-0.30","19,12,866","86.29","508.45","287.55","0.48","40.87"
"LT","4,174.10","4,199.00","4,134.10","4,185.90","4,172.00","-","-13.90","-0.33","22,34,376","932.89","4,199.00","2,965.30","7.32","27.83"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
"ULTRACEMCO","13,012.00","13,025.00","12,873.00","13,029.00","12,977.00","-","-52.00","-0.40","1,78,236","230.73","13,110.00","10,047.85","7.75","12.39"
"CGPOWER","680.00","684.50","671.40","685.10","680.00","-","-5.10","-0.74","11,43,123","77.62","797.55","517.70","16.92","17.34"
"IOC","177.28","177.90","176.04","178.11","176.72","-","-1.39","-0.78","98,35,632","173.97","182.25","110.72","12.27","47.17"
"BPCL","377.45","378.40","372.95","377.70","374.30","-","-3.40","-0.90","26,96,607","101.14","391.65","234.01","5.41","46.35"
"SHREECEM","26,090.00","26,255.00","25,750.00","26,340.00","26,100.00","-","-240.00","-0.91","27,809","72.43","32,490.00","25,360.00","-3.89","-7.53"
"GODREJPROP","1,787.80","1,817.10","1,727.10","1,821.70","1,804.00","-","-17.70","-0.97","20,52,670","363.16","2,506.50","1,475.00","-3.98","-10.94"
"GAIL","162.40","163.33","161.12","163.72","161.99","-","-1.73","-1.06","85,23,271","137.86","202.79","150.52","-1.98","-0.21"
"BHARTIARTL","2,013.90","2,024.20","1,992.00","2,014.50","1,993.00","-","-21.50","-1.07","48,08,543","966.46","2,174.50","1,559.50","-1.67","16.24"
"INDIGO","4,966.00","4,988.00","4,900.60","4,982.80","4,928.10","-","-54.70","-1.10","2,32,702","114.84","6,232.50","4,157.85","3.54","12.90"
"NTPC","367.55","368.00","362.40","368.25","364.00","-","-4.25","-1.15","71,11,972","259.01","372.00","292.80","7.72","18.68"
"MAXHEALTH","1,062.00","1,067.95","1,044.15","1,062.90","1,049.00","-","-13.90","-1.31","27,45,794","289.38","1,314.30","933.80","2.02","4.73"
"MOTHERSON","132.58","133.49","130.72","132.74","130.99","-","-1.75","-1.32","1,93,24,007","255.48","135.83","71.50","13.97","51.36"
"INDUSTOWER","469.50","472.00","464.15","474.00","466.50","-","-7.50","-1.58","43,13,315","201.80","475.00","312.55","9.02","33.76"
"TATAPOWER","377.00","377.80","370.65","380.55","374.35","-","-6.20","-1.63","44,41,440","165.99","416.80","326.35","1.60","7.62"
"GRASIM","2,929.30","2,934.00","2,877.40","2,925.50","2,877.40","-","-48.10","-1.64","4,19,620","122.07","2,979.00","2,301.65","3.72","15.55"
"INDHOTEL","707.00","707.00","683.40","712.00","697.40","-","-14.60","-2.05","38,61,052","268.89","858.00","627.20","2.84","-5.34"
"RELIANCE","1,445.50","1,450.70","1,416.30","1,448.90","1,418.60","-","-30.30","-2.09","1,07,55,693","1,531.32","1,611.80","1,114.85","-2.35","16.65"
"POWERGRID","292.00","294.30","286.85","293.90","287.40","-","-6.50","-2.21","1,09,14,157","315.76","322.00","247.30","11.05","10.90"
"ADANIPORTS","1,543.00","1,543.00","1,507.00","1,543.70","1,508.00","-","-35.70","-2.31","18,38,361","279.43","1,583.90","1,036.50","5.56","35.67"
"SUZLON","46.60","46.74","45.55","46.81","45.70","-","-1.11","-2.37","5,26,18,195","242.10","74.30","44.88","-6.14","-14.34"
"AMBUJACEM","526.85","530.50","517.25","532.85","518.75","-","-14.10","-2.65","12,97,366","67.64","624.95","455.00","-3.52","3.23"
"ASHOKLEY","210.12","212.87","203.80","211.02","204.70","-","-6.32","-2.99","2,68,32,686","554.71","215.42","95.93","10.23","88.59"
"ONGC","270.00","271.35","266.00","276.35","267.50","-","-8.85","-3.20","2,07,48,628","556.23","280.30","205.00","9.73","13.85"
"DLF","641.60","641.60","623.55","651.80","626.95","-","-24.85","-3.81","48,38,136","304.39","886.80","586.65","-3.90","-7.89"
"ADANIGREEN","988.90","989.90","943.75","997.65","949.55","-","-48.10","-4.82","29,43,844","281.69","1,177.55","758.00","1.37","3.92"
