"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY IPO","1,989.80","1,994.05","1,964.55","1,997.75","1,979.50","-","-18.25","-0.91","24,85,96,122","5,088.77","2,289.75","1,617.15","-0.41","4.35"
"PWL","100.69","111.49","95.43","100.36","106.90","-","6.54","6.52","8,53,49,296","906.75","161.99","95.43","-16.74","-"
"HEXT","530.00","589.70","521.55","542.95","563.90","-","20.95","3.86","47,82,118","270.24","900.00","521.55","-23.24","-"
"CANHLIFE","147.25","153.72","146.19","147.09","151.50","-","4.41","3.00","16,26,233","24.54","157.80","106.00","6.97","-"
"LGEINDIA","1,468.00","1,531.90","1,461.30","1,469.00","1,507.10","-","38.10","2.59","12,00,452","181.27","1,749.00","1,325.50","7.73","-"
"PARKHOSPS","174.00","177.80","169.91","172.23","175.90","-","3.67","2.13","22,31,981","39.02","179.60","138.10","16.78","-"
"EBGNG","330.25","340.80","318.10","329.35","335.00","-","5.65","1.72","1,34,483","4.45","401.70","239.00","17.54","-"
"RUBICON","766.35","792.60","762.00","772.25","785.00","-","12.75","1.65","2,26,247","17.71","822.00","570.75","15.94","-"
"CPPLUS","1,557.00","1,649.00","1,515.00","1,546.20","1,570.00","-","23.80","1.54","11,19,694","178.98","1,745.10","1,015.00","10.59","-"
"MBEL","332.00","345.90","332.00","333.15","337.10","-","3.95","1.19","1,12,378","3.81","535.90","291.00","-3.37","-"
"BMWVENTLTD","57.25","58.33","56.60","57.57","58.20","-","0.63","1.09","1,07,765","0.62","78.00","50.02","14.70","-"
"EMMVEE","208.99","217.50","204.19","207.26","209.00","-","1.74","0.84","43,52,593","92.18","248.40","171.51","-1.45","-"
"SAATVIKGL","411.95","422.35","401.00","413.45","416.50","-","3.05","0.74","1,24,102","5.16","567.00","345.00","4.20","-"
"SAMBHV","97.47","100.50","96.10","98.50","99.21","-","0.71","0.72","11,56,213","11.49","149.40","81.42","10.82","-"
"QPOWER","802.90","818.60","785.00","800.60","804.70","-","4.10","0.51","8,36,232","67.13","1,082.00","267.80","20.71","-"
"EUROPRATIK","234.99","239.00","224.16","231.99","233.15","-","1.16","0.50","3,93,887","9.07","390.00","205.10","-16.15","-"
"ADVANCE","138.50","140.05","135.30","138.12","138.40","-","0.28","0.20","5,68,320","7.87","154.00","102.00","11.68","-"
"MEESHO","152.00","155.10","149.02","153.04","153.25","-","0.21","0.14","30,70,181","46.72","254.40","144.76","-6.99","-"
"URBANCO","121.00","122.89","120.82","121.08","121.20","-","0.12","0.10","25,61,165","31.15","201.18","116.58","-10.56","-"
"AEGISVOPAK","212.00","217.14","204.50","213.01","213.20","-","0.19","0.09","6,74,274","14.22","302.00","198.00","-7.46","-"
