"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDSMALL INDIA CONSUMPTION","18,499.25","18,501.75","18,241.70","18,594.95","18,295.15","-","-299.80","-1.61","40,77,03,676","4,648.47","20,923.30","16,870.20","-1.38","3.12"
"CROMPTON","264.00","269.85","255.90","264.40","266.80","-","2.40","0.91","45,04,154","119.63","367.50","217.40","5.54","-22.05"
"BLUESTARCO","1,960.00","2,015.00","1,952.30","1,974.00","1,991.00","-","17.00","0.86","6,18,695","123.37","2,269.80","1,521.00","11.03","-0.19"
"TORNTPOWER","1,451.00","1,468.30","1,428.00","1,453.70","1,462.20","-","8.50","0.58","6,21,000","90.50","1,640.00","1,188.00","8.59","16.45"
"UBL","1,615.70","1,649.00","1,569.30","1,621.20","1,625.00","-","3.80","0.23","1,21,184","19.62","2,294.90","1,401.10","5.95","-19.96"
"BERGEPAINT","460.00","464.20","452.50","460.75","460.50","-","-0.25","-0.05","3,09,257","14.21","605.00","448.75","-11.57","-5.10"
"ABBOTINDIA","26,680.00","26,685.00","26,300.00","26,660.00","26,500.00","-","-160.00","-0.60","6,553","17.34","37,000.00","26,300.00","-5.66","-6.56"
"SWIGGY","337.00","341.65","329.35","337.35","335.30","-","-2.05","-0.61","1,01,14,145","339.35","474.00","297.00","-4.30","-8.26"
"MANKIND","2,076.10","2,085.30","2,050.10","2,079.00","2,060.30","-","-18.70","-0.90","2,08,497","43.08","2,716.50","2,033.00","-6.94","-17.63"
"VOLTAS","1,534.00","1,534.00","1,510.20","1,535.80","1,521.30","-","-14.50","-0.94","5,34,253","81.36","1,546.80","1,182.70","4.15","21.85"
"GODREJPROP","1,787.80","1,817.10","1,727.10","1,821.70","1,804.00","-","-17.70","-0.97","20,52,670","363.16","2,506.50","1,475.00","-3.98","-10.94"
"FORTIS","928.15","930.90","914.30","928.55","919.00","-","-9.55","-1.03","12,21,319","112.37","1,104.30","587.10","1.21","50.21"
"COLPAL","2,128.00","2,130.00","2,100.50","2,138.90","2,115.40","-","-23.50","-1.10","3,74,088","79.29","2,747.40","2,029.40","0.41","-14.54"
"IRCTC","625.00","632.75","612.00","622.05","614.95","-","-7.10","-1.14","39,30,956","245.44","820.25","596.00","-2.42","-17.61"
"MARICO","769.00","771.85","757.85","770.65","760.40","-","-10.25","-1.33","9,66,405","73.78","780.00","577.85","0.58","19.84"
"OBEROIRLTY","1,539.00","1,556.60","1,515.30","1,566.60","1,545.00","-","-21.60","-1.38","4,94,872","76.18","2,005.00","1,425.50","-6.76","-5.14"
"RADICO","2,831.00","2,831.00","2,767.80","2,831.20","2,791.40","-","-39.80","-1.41","2,01,146","56.10","3,591.90","1,845.50","-4.66","31.35"
"JUBLFOOD","540.75","543.65","525.25","540.75","533.05","-","-7.70","-1.42","15,14,289","80.95","727.95","481.10","0.96","-19.49"
"PAGEIND","33,545.00","34,065.00","33,300.00","33,850.00","33,370.00","-","-480.00","-1.42","15,457","52.00","50,590.00","31,740.00","-3.68","-19.94"
"DABUR","517.25","518.95","510.10","519.55","511.30","-","-8.25","-1.59","17,46,636","89.90","577.00","433.30","-2.06","-1.64"
"PATANJALI","520.00","523.95","511.80","523.15","514.60","-","-8.55","-1.63","35,57,112","184.11","670.33","480.00","-5.38","-15.21"
"VMM","123.00","123.20","121.01","123.87","121.50","-","-2.37","-1.91","41,66,950","50.79","157.60","95.99","-5.20","13.60"
"DIXON","11,500.00","11,548.00","11,250.00","11,626.00","11,398.00","-","-228.00","-1.96","4,46,533","508.93","18,471.00","9,835.00","1.42","-22.52"
"IDEA","11.44","11.51","11.26","11.55","11.28","-","-0.27","-2.34","35,16,53,687","399.83","12.80","6.12","4.44","30.56"
"PHOENIXLTD","1,769.70","1,772.50","1,725.50","1,779.00","1,730.60","-","-48.40","-2.72","2,87,042","50.07","1,993.00","1,402.50","-8.66","8.15"
"HEROMOTOCO","5,702.00","5,724.50","5,560.00","5,733.00","5,562.00","-","-171.00","-2.98","3,94,003","221.74","6,388.50","3,344.00","-3.01","40.58"
"NYKAA","279.39","280.25","269.88","280.14","271.00","-","-9.14","-3.26","81,82,107","223.76","285.60","154.90","6.44","59.03"
"KALYANKJIL","429.90","429.90","415.10","432.50","417.90","-","-14.60","-3.38","66,04,401","277.37","617.70","347.50","-15.65","-20.62"
"PRESTIGE","1,545.00","1,549.90","1,482.10","1,572.70","1,508.20","-","-64.50","-4.10","20,17,539","304.80","1,814.00","1,048.05","-0.63","21.84"
"BRIGADE","787.10","792.55","757.00","796.55","762.75","-","-33.80","-4.24","2,33,611","17.99","1,332.00","717.75","-10.89","-25.67"
"ALKEM","5,850.00","5,850.00","5,331.50","5,870.50","5,400.00","-","-470.50","-8.01","6,05,115","331.45","5,933.50","4,491.65","-7.90","14.42"
