"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MNC","31,211.40","31,211.40","30,751.80","31,422.35","30,800.10","-","-622.25","-1.98","5,92,24,471","5,024.78","31,603.15","23,981.05","1.33","17.67"
"LINDEINDIA","6,419.00","6,967.00","6,394.00","6,440.50","6,880.00","-","439.50","6.82","4,04,286","275.96","7,870.00","5,242.40","13.10","20.85"
"ENRIN","2,725.00","2,849.90","2,682.60","2,731.30","2,745.60","-","14.30","0.52","10,06,399","278.07","3,625.00","2,115.00","14.19","-"
"UBL","1,615.70","1,649.00","1,569.30","1,621.20","1,625.00","-","3.80","0.23","1,21,184","19.62","2,294.90","1,401.10","5.95","-19.96"
"HYUNDAI","2,163.10","2,186.00","2,136.40","2,177.50","2,180.00","-","2.50","0.11","2,82,874","61.40","2,890.00","1,541.70","-5.48","21.16"
"TIMKEN","3,081.00","3,120.00","3,044.80","3,120.80","3,120.00","-","-0.80","-0.03","12,452","3.84","3,575.00","2,202.00","2.63","17.30"
"PGHH","11,651.00","11,870.00","11,470.00","11,683.00","11,655.00","-","-28.00","-0.24","4,467","5.18","14,543.00","11,470.00","-5.88","-16.27"
"ABB","5,788.50","5,855.00","5,726.50","5,788.50","5,768.00","-","-20.50","-0.35","1,52,957","88.66","6,260.00","4,637.50","16.15","5.98"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
"SCHAEFFLER","3,806.00","3,806.60","3,700.50","3,806.00","3,790.00","-","-16.00","-0.42","60,376","22.72","4,392.00","2,823.00","0.01","25.45"
"ABBOTINDIA","26,680.00","26,685.00","26,300.00","26,660.00","26,500.00","-","-160.00","-0.60","6,553","17.34","37,000.00","26,300.00","-5.66","-6.56"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"CASTROLIND","186.01","186.99","185.00","186.71","185.29","-","-1.42","-0.76","16,22,832","30.13","251.95","180.66","-1.16","-10.41"
"COLPAL","2,128.00","2,130.00","2,100.50","2,138.90","2,115.40","-","-23.50","-1.10","3,74,088","79.29","2,747.40","2,029.40","0.41","-14.54"
"POWERINDIA","22,500.00","22,679.00","22,225.00","22,702.00","22,450.00","-","-252.00","-1.11","72,497","162.74","23,140.00","10,300.00","31.24","90.98"
"SIEMENS","3,131.00","3,184.50","3,083.10","3,148.50","3,113.00","-","-35.50","-1.13","4,11,114","128.66","5,520.00","2,450.00","5.61","-39.02"
"UNITDSPR","1,414.00","1,423.00","1,398.10","1,417.40","1,400.20","-","-17.20","-1.21","3,83,577","54.06","1,645.00","1,271.10","6.12","0.24"
"ESCORTS","3,630.00","3,692.60","3,577.90","3,635.80","3,580.10","-","-55.70","-1.53","1,73,264","63.22","4,180.00","2,776.40","-3.83","18.45"
"OFSS","6,648.00","6,711.00","6,400.00","6,764.00","6,630.00","-","-134.00","-1.98","4,37,097","287.32","9,950.00","6,400.00","-13.85","-26.36"
"GLAND","1,811.00","1,811.10","1,770.10","1,816.00","1,780.00","-","-36.00","-1.98","1,08,641","19.38","2,131.00","1,277.80","3.54","20.58"
"NESTLEIND","1,305.00","1,310.40","1,278.00","1,305.50","1,278.00","-","-27.50","-2.11","5,22,586","67.31","1,340.40","1,055.00","-3.09","17.38"
"BRITANNIA","6,080.00","6,098.50","5,968.00","6,102.00","5,971.00","-","-131.00","-2.15","1,59,821","96.04","6,336.00","4,506.00","0.90","22.14"
"BOSCHLTD","36,415.00","36,420.00","35,600.00","36,495.00","35,700.00","-","-795.00","-2.18","13,848","49.73","41,945.00","25,921.60","-5.82","30.53"
"AMBUJACEM","526.85","530.50","517.25","532.85","518.75","-","-14.10","-2.65","12,97,366","67.64","624.95","455.00","-3.52","3.23"
"ASHOKLEY","210.12","212.87","203.80","211.02","204.70","-","-6.32","-2.99","2,68,32,686","554.71","215.42","95.93","10.23","88.59"
"VEDL","685.00","685.00","662.55","702.75","673.90","-","-28.85","-4.11","1,58,68,021","1,069.27","769.80","363.00","5.76","58.73"
"HINDUNILVR","2,400.00","2,400.00","2,300.30","2,409.70","2,305.00","-","-104.70","-4.34","27,91,519","651.59","2,750.00","2,136.00","-3.54","-0.71"
"CRISIL","4,605.00","4,649.00","4,355.10","4,665.20","4,428.90","-","-236.30","-5.07","1,33,926","59.47","6,139.00","3,973.60","-8.03","-13.10"
"NAM-INDIA","955.00","955.00","899.95","965.45","916.10","-","-49.35","-5.11","10,20,844","94.65","1,009.00","498.05","2.71","66.23"
"3MINDIA","36,995.00","36,995.00","34,705.00","37,515.00","35,050.00","-","-2,465.00","-6.57","9,115","32.58","38,030.00","25,718.15","0.16","28.88"
"COHANCE","320.50","341.00","311.15","350.75","311.95","-","-38.80","-11.06","42,18,793","136.73","1,328.00","311.15","-30.36","-72.15"
