"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MOBILITY","23,340.75","23,411.10","23,093.60","23,438.20","23,140.85","-","-297.35","-1.27","18,06,12,860","9,273.93","-","-","1.89","25.72"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"BHARATFORG","1,756.90","1,784.20","1,725.90","1,726.70","1,735.10","-","8.40","0.49","43,13,855","758.01","1,784.20","919.10","18.82","61.22"
"HYUNDAI","2,163.10","2,186.00","2,136.40","2,177.50","2,180.00","-","2.50","0.11","2,82,874","61.40","2,890.00","1,541.70","-5.48","21.16"
"TVSMOTOR","3,861.60","3,894.00","3,832.20","3,881.20","3,870.00","-","-11.20","-0.29","2,60,604","100.75","3,909.00","2,192.75","3.05","56.34"
"HINDPETRO","452.35","455.25","448.75","452.35","451.00","-","-1.35","-0.30","19,12,866","86.29","508.45","287.55","0.48","40.87"
"SWIGGY","337.00","341.65","329.35","337.35","335.30","-","-2.05","-0.61","1,01,14,145","339.35","474.00","297.00","-4.30","-8.26"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"IOC","177.28","177.90","176.04","178.11","176.72","-","-1.39","-0.78","98,35,632","173.97","182.25","110.72","12.27","47.17"
"MRF","1,50,750.00","1,51,500.00","1,48,505.00","1,51,210.00","1,50,000.00","-","-1,210.00","-0.80","7,131","107.13","1,63,600.00","1,02,124.05","1.55","36.65"
"BPCL","377.45","378.40","372.95","377.70","374.30","-","-3.40","-0.90","26,96,607","101.14","391.65","234.01","5.41","46.35"
"BAJAJ-AUTO","9,800.50","9,900.50","9,720.00","9,840.00","9,748.00","-","-92.00","-0.93","1,20,688","118.33","9,941.00","7,089.35","2.03","12.16"
"SONACOMS","526.05","531.85","520.10","532.80","527.60","-","-5.20","-0.98","10,82,968","57.03","559.50","380.00","15.44","2.16"
"GAIL","162.40","163.33","161.12","163.72","161.99","-","-1.73","-1.06","85,23,271","137.86","202.79","150.52","-1.98","-0.21"
"INDIGO","4,966.00","4,988.00","4,900.60","4,982.80","4,928.10","-","-54.70","-1.10","2,32,702","114.84","6,232.50","4,157.85","3.54","12.90"
"IRCTC","625.00","632.75","612.00","622.05","614.95","-","-7.10","-1.14","39,30,956","245.44","820.25","596.00","-2.42","-17.61"
"MOTHERSON","132.58","133.49","130.72","132.74","130.99","-","-1.75","-1.32","1,93,24,007","255.48","135.83","71.50","13.97","51.36"
"TMPV","379.00","387.50","374.40","383.45","378.00","-","-5.45","-1.42","1,55,65,868","593.03","744.00","335.60","8.08","-44.72"
"TIINDIA","2,490.00","2,517.90","2,452.40","2,511.40","2,472.50","-","-38.90","-1.55","3,15,365","78.61","3,419.90","2,164.90","3.57","-8.87"
"BALKRISIND","2,641.30","2,641.30","2,571.10","2,641.30","2,600.20","-","-41.10","-1.56","2,00,893","52.36","2,817.50","2,152.05","8.53","-1.18"
"M&M","3,530.00","3,596.50","3,520.30","3,593.10","3,533.00","-","-60.10","-1.67","16,32,115","580.38","3,839.90","2,425.00","-3.51","18.64"
"CONCOR","503.00","503.90","497.00","506.85","497.50","-","-9.35","-1.84","5,88,653","29.44","652.04","472.75","-3.86","-10.46"
"RELIANCE","1,445.50","1,450.70","1,416.30","1,448.90","1,418.60","-","-30.30","-2.09","1,07,55,693","1,531.32","1,611.80","1,114.85","-2.35","16.65"
"BOSCHLTD","36,415.00","36,420.00","35,600.00","36,495.00","35,700.00","-","-795.00","-2.18","13,848","49.73","41,945.00","25,921.60","-5.82","30.53"
"ADANIPORTS","1,543.00","1,543.00","1,507.00","1,543.70","1,508.00","-","-35.70","-2.31","18,38,361","279.43","1,583.90","1,036.50","5.56","35.67"
"GMRAIRPORT","95.60","96.00","93.53","96.33","94.08","-","-2.25","-2.34","78,36,032","73.85","110.36","67.75","-5.23","29.57"
"PETRONET","291.85","294.65","286.05","297.15","289.85","-","-7.30","-2.46","27,67,142","80.36","326.50","263.50","0.83","-2.42"
"ATGL","533.00","533.50","518.05","535.95","520.20","-","-15.75","-2.94","4,73,476","24.70","798.00","507.05","-6.35","-12.89"
"HEROMOTOCO","5,702.00","5,724.50","5,560.00","5,733.00","5,562.00","-","-171.00","-2.98","3,94,003","221.74","6,388.50","3,344.00","-3.01","40.58"
"ASHOKLEY","210.12","212.87","203.80","211.02","204.70","-","-6.32","-2.99","2,68,32,686","554.71","215.42","95.93","10.23","88.59"
"ETERNAL","298.00","300.00","283.80","298.00","285.20","-","-12.80","-4.30","4,75,83,835","1,369.80","368.45","194.80","-3.17","30.90"
