"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY RURAL","16,190.05","16,198.60","16,071.55","16,265.55","16,093.55","-","-172.00","-1.06","63,83,13,412","20,437.46","16,378.35","12,891.50","1.00","17.72"
"BAJFINANCE","995.00","1,032.00","992.80","999.10","1,030.00","-","30.90","3.09","2,16,13,987","2,195.18","1,102.50","802.50","8.54","22.49"
"ZEEL","93.00","99.10","92.35","93.72","95.99","-","2.27","2.42","3,14,29,607","302.89","151.70","78.40","7.70","-3.95"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"MFSL","1,821.30","1,848.50","1,817.30","1,813.50","1,835.00","-","21.50","1.19","15,88,459","291.28","1,848.50","950.00","11.48","69.93"
"CROMPTON","264.00","269.85","255.90","264.40","266.80","-","2.40","0.91","45,04,154","119.63","367.50","217.40","5.54","-22.05"
"BLUESTARCO","1,960.00","2,015.00","1,952.30","1,974.00","1,991.00","-","17.00","0.86","6,18,695","123.37","2,269.80","1,521.00","11.03","-0.19"
"SBILIFE","2,039.00","2,043.90","2,005.20","2,022.10","2,039.00","-","16.90","0.84","12,40,712","251.87","2,109.60","1,379.85","-2.08","38.66"
"COROMANDEL","2,255.00","2,300.00","2,241.00","2,270.20","2,288.00","-","17.80","0.78","3,23,878","73.61","2,718.90","1,596.00","-2.70","23.59"
"ASTRAL","1,589.00","1,604.60","1,559.50","1,591.60","1,601.00","-","9.40","0.59","5,85,825","93.01","1,615.50","1,232.30","11.30","16.80"
"TORNTPOWER","1,451.00","1,468.30","1,428.00","1,453.70","1,462.20","-","8.50","0.58","6,21,000","90.50","1,640.00","1,188.00","8.59","16.45"
"SBIN","1,189.00","1,201.00","1,184.50","1,192.40","1,196.30","-","3.90","0.33","1,81,41,390","2,167.30","1,203.70","680.00","16.32","64.41"
"HAVELLS","1,391.10","1,419.00","1,378.40","1,400.50","1,402.30","-","1.80","0.13","7,74,193","108.41","1,673.80","1,250.10","-2.05","-7.90"
"HYUNDAI","2,163.10","2,186.00","2,136.40","2,177.50","2,180.00","-","2.50","0.11","2,82,874","61.40","2,890.00","1,541.70","-5.48","21.16"
"ICICIPRULI","635.00","646.80","629.85","638.10","638.75","-","0.65","0.10","7,11,887","45.61","706.80","525.80","-6.27","8.11"
"BERGEPAINT","460.00","464.20","452.50","460.75","460.50","-","-0.25","-0.05","3,09,257","14.21","605.00","448.75","-11.57","-5.10"
"TVSMOTOR","3,861.60","3,894.00","3,832.20","3,881.20","3,870.00","-","-11.20","-0.29","2,60,604","100.75","3,909.00","2,192.75","3.05","56.34"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
"ULTRACEMCO","13,012.00","13,025.00","12,873.00","13,029.00","12,977.00","-","-52.00","-0.40","1,78,236","230.73","13,110.00","10,047.85","7.75","12.39"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"HDFCLIFE","702.00","707.55","695.05","702.70","696.85","-","-5.85","-0.83","20,76,033","145.21","820.75","600.35","-6.90","10.68"
"ELGIEQUIP","513.05","523.65","499.40","512.25","507.85","-","-4.40","-0.86","23,65,077","121.11","608.40","401.00","15.37","-3.51"
"INDIANB","875.00","881.90","864.15","880.70","872.70","-","-8.00","-0.91","8,77,486","76.73","923.00","478.00","6.72","67.86"
"SHREECEM","26,090.00","26,255.00","25,750.00","26,340.00","26,100.00","-","-240.00","-0.91","27,809","72.43","32,490.00","25,360.00","-3.89","-7.53"
"BAJAJ-AUTO","9,800.50","9,900.50","9,720.00","9,840.00","9,748.00","-","-92.00","-0.93","1,20,688","118.33","9,941.00","7,089.35","2.03","12.16"
"VOLTAS","1,534.00","1,534.00","1,510.20","1,535.80","1,521.30","-","-14.50","-0.94","5,34,253","81.36","1,546.80","1,182.70","4.15","21.85"
"BANKBARODA","287.30","288.00","284.60","289.85","287.10","-","-2.75","-0.95","62,95,039","180.34","313.35","190.70","-4.89","36.20"
"GODREJCP","1,196.00","1,202.20","1,191.00","1,204.30","1,192.00","-","-12.30","-1.02","8,27,685","99.13","1,309.00","979.50","-3.82","13.22"
"BHARTIARTL","2,013.90","2,024.20","1,992.00","2,014.50","1,993.00","-","-21.50","-1.07","48,08,543","966.46","2,174.50","1,559.50","-1.67","16.24"
"COLPAL","2,128.00","2,130.00","2,100.50","2,138.90","2,115.40","-","-23.50","-1.10","3,74,088","79.29","2,747.40","2,029.40","0.41","-14.54"
"IRCTC","625.00","632.75","612.00","622.05","614.95","-","-7.10","-1.14","39,30,956","245.44","820.25","596.00","-2.42","-17.61"
"NTPC","367.55","368.00","362.40","368.25","364.00","-","-4.25","-1.15","71,11,972","259.01","372.00","292.80","7.72","18.68"
"ITC","316.00","318.40","313.25","317.45","313.60","-","-3.85","-1.21","87,30,618","275.33","444.20","302.00","-6.30","-23.46"
"DALBHARAT","2,160.00","2,163.30","2,120.40","2,171.20","2,144.50","-","-26.70","-1.23","77,376","16.60","2,496.30","1,601.00","1.85","19.24"
"EMAMILTD","490.00","496.70","487.25","495.35","488.80","-","-6.55","-1.32","4,10,629","20.21","653.35","470.00","-4.26","-9.42"
"MARICO","769.00","771.85","757.85","770.65","760.40","-","-10.25","-1.33","9,66,405","73.78","780.00","577.85","0.58","19.84"
"TMPV","379.00","387.50","374.40","383.45","378.00","-","-5.45","-1.42","1,55,65,868","593.03","744.00","335.60","8.08","-44.72"
"CHOLAFIN","1,727.30","1,731.00","1,703.00","1,731.80","1,706.70","-","-25.10","-1.45","15,44,271","264.01","1,831.50","1,302.00","0.33","22.71"
"NHPC","76.05","76.12","75.20","76.50","75.38","-","-1.12","-1.46","1,00,66,742","76.07","92.34","71.00","-7.42","0.11"
"ESCORTS","3,630.00","3,692.60","3,577.90","3,635.80","3,580.10","-","-55.70","-1.53","1,73,264","63.22","4,180.00","2,776.40","-3.83","18.45"
"SBICARD","772.80","772.80","755.55","772.80","760.80","-","-12.00","-1.55","5,15,475","39.23","1,027.25","725.15","-11.31","-11.52"
"DABUR","517.25","518.95","510.10","519.55","511.30","-","-8.25","-1.59","17,46,636","89.90","577.00","433.30","-2.06","-1.64"
"PATANJALI","520.00","523.95","511.80","523.15","514.60","-","-8.55","-1.63","35,57,112","184.11","670.33","480.00","-5.38","-15.21"
