"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY SERVICES SECTOR","33,028.95","33,165.00","32,998.70","33,409.40","33,037.00","-","-372.40","-1.11","34,50,64,097","31,487.59","34,549.75","29,070.85","-1.50","8.34"
"BAJFINANCE","995.00","1,032.00","992.80","999.10","1,030.00","-","30.90","3.09","2,16,13,987","2,195.18","1,102.50","802.50","8.54","22.49"
"SBILIFE","2,039.00","2,043.90","2,005.20","2,022.10","2,039.00","-","16.90","0.84","12,40,712","251.87","2,109.60","1,379.85","-2.08","38.66"
"INDUSINDBK","922.00","929.95","903.35","922.70","926.25","-","3.55","0.38","28,60,622","262.92","1,063.95","606.00","1.72","-11.55"
"SBIN","1,189.00","1,201.00","1,184.50","1,192.40","1,196.30","-","3.90","0.33","1,81,41,390","2,167.30","1,203.70","680.00","16.32","64.41"
"TECHM","1,482.60","1,548.00","1,464.40","1,536.60","1,534.00","-","-2.60","-0.17","70,58,376","1,069.54","1,854.00","1,209.40","-5.00","-8.43"
"APOLLOHOSP","7,518.00","7,598.00","7,485.00","7,539.00","7,525.00","-","-14.00","-0.19","4,31,623","326.30","8,099.50","6,001.00","2.92","18.09"
"BAJAJFINSV","2,035.00","2,035.00","2,012.70","2,037.10","2,027.00","-","-10.10","-0.50","7,56,233","153.02","2,195.00","1,727.25","0.79","9.61"
"AXISBANK","1,341.30","1,346.50","1,316.10","1,340.00","1,330.80","-","-9.20","-0.69","46,24,549","615.54","1,418.30","978.05","5.45","32.00"
"HDFCLIFE","702.00","707.55","695.05","702.70","696.85","-","-5.85","-0.83","20,76,033","145.21","820.75","600.35","-6.90","10.68"
"ICICIBANK","1,425.30","1,434.40","1,410.70","1,430.00","1,415.50","-","-14.50","-1.01","1,22,28,083","1,733.58","1,500.00","1,200.10","-1.50","13.34"
"KOTAKBANK","426.00","428.90","419.55","426.25","421.90","-","-4.35","-1.02","2,32,33,320","979.82","460.38","378.78","-1.08","6.93"
"GAIL","162.40","163.33","161.12","163.72","161.99","-","-1.73","-1.06","85,23,271","137.86","202.79","150.52","-1.98","-0.21"
"BHARTIARTL","2,013.90","2,024.20","1,992.00","2,014.50","1,993.00","-","-21.50","-1.07","48,08,543","966.46","2,174.50","1,559.50","-1.67","16.24"
"INDIGO","4,966.00","4,988.00","4,900.60","4,982.80","4,928.10","-","-54.70","-1.10","2,32,702","114.84","6,232.50","4,157.85","3.54","12.90"
"NTPC","367.55","368.00","362.40","368.25","364.00","-","-4.25","-1.15","71,11,972","259.01","372.00","292.80","7.72","18.68"
"INFY","1,293.90","1,377.30","1,281.50","1,386.00","1,369.00","-","-17.00","-1.23","4,57,85,709","6,116.33","1,894.60","1,281.50","-14.38","-25.73"
"HCLTECH","1,423.00","1,476.80","1,396.00","1,476.10","1,458.00","-","-18.10","-1.23","72,14,938","1,038.48","1,780.10","1,302.75","-12.43","-14.39"
"NAUKRI","1,138.80","1,179.90","1,104.20","1,149.30","1,135.00","-","-14.30","-1.24","36,38,049","410.81","1,566.39","1,104.20","-14.82","-25.73"
"MAXHEALTH","1,062.00","1,067.95","1,044.15","1,062.90","1,049.00","-","-13.90","-1.31","27,45,794","289.38","1,314.30","933.80","2.02","4.73"
"JIOFIN","265.00","267.25","262.85","267.55","263.85","-","-3.70","-1.38","1,22,22,314","323.30","338.60","198.65","-7.29","15.69"
"TATAPOWER","377.00","377.80","370.65","380.55","374.35","-","-6.20","-1.63","44,41,440","165.99","416.80","326.35","1.60","7.62"
"SHRIRAMFIN","1,081.80","1,086.00","1,060.00","1,082.80","1,063.90","-","-18.90","-1.75","45,55,743","486.95","1,087.10","525.10","8.67","93.91"
"HDFCBANK","913.00","928.20","901.00","920.60","903.90","-","-16.70","-1.81","5,01,88,359","4,578.43","1,020.50","830.55","-3.57","6.49"
"DMART","3,944.30","3,949.50","3,887.00","3,963.00","3,890.00","-","-73.00","-1.84","2,19,061","85.69","4,949.50","3,340.00","1.65","5.23"
"TCS","2,585.00","2,713.00","2,585.00","2,750.10","2,695.00","-","-55.10","-2.00","1,11,68,735","2,959.06","4,021.75","2,585.00","-17.53","-31.08"
"WIPRO","210.65","216.48","209.01","219.08","214.38","-","-4.70","-2.15","2,37,21,186","505.14","316.50","209.01","-18.86","-30.52"
"POWERGRID","292.00","294.30","286.85","293.90","287.40","-","-6.50","-2.21","1,09,14,157","315.76","322.00","247.30","11.05","10.90"
"ADANIPORTS","1,543.00","1,543.00","1,507.00","1,543.70","1,508.00","-","-35.70","-2.31","18,38,361","279.43","1,583.90","1,036.50","5.56","35.67"
"BSE","3,100.00","3,127.00","3,017.90","3,143.20","3,023.90","-","-119.30","-3.80","38,85,000","1,184.59","3,227.00","1,227.33","6.78","72.61"
"ETERNAL","298.00","300.00","283.80","298.00","285.20","-","-12.80","-4.30","4,75,83,835","1,369.80","368.45","194.80","-3.17","30.90"
