"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"SHANTHALA","26.80","37.85","26.80","31.55","37.80","-","6.25","19.81","19,200","0.07","46.90","20.40","20.96","-5.50"
"UCL","69.45","70.00","67.80","60.00","69.90","-","9.90","16.50","10,000","0.07","70.00","38.00","30.65","16.40"
"SSFL","117.00","148.65","110.15","123.90","140.40","-","16.50","13.32","3,04,500","4.13","216.00","86.00","16.20","-15.03"
"DYNAMIC","114.05","134.65","112.85","122.45","134.65","-","12.20","9.96","39,500","0.46","260.00","85.40","-12.41","-51.82"
"FRESHARA","200.40","210.00","197.00","193.10","207.50","-","14.40","7.46","2,92,800","5.95","221.95","117.20","26.19","6.19"
"ARABIAN","70.00","73.90","70.00","68.00","72.65","-","4.65","6.84","8,000","0.06","92.95","63.00","3.05","-1.82"
"FORCAS","107.00","114.90","99.00","99.60","106.00","-","6.40","6.43","60,800","0.65","140.00","65.05","-11.22","14.71"
"MAITREYA","220.00","223.00","201.00","200.00","212.00","-","12.00","6.00","6,000","0.13","329.00","186.00","-2.71","-31.36"
"INSPIRE","10.00","11.65","10.00","11.00","11.65","-","0.65","5.91","4,000","-","28.25","9.50","7.87","-53.77"
"BHADORA","74.90","74.90","74.90","71.20","74.90","-","3.70","5.20","4,800","0.04","128.85","60.00","7.00","-"
"PRITIKA","63.90","65.75","63.90","62.55","65.75","-","3.20","5.12","4,000","0.03","95.25","56.05","-10.56","-62.54"
"DCCL","44.45","45.80","44.00","43.60","45.80","-","2.20","5.05","30,000","0.13","66.00","40.00","-7.85","-"
"KODYTECH","764.15","806.40","760.00","768.00","806.40","-","38.40","5.00","3,900","0.31","1,250.00","556.05","-5.31","-32.89"
"MAXVOLT","292.00","307.90","292.00","293.25","307.90","-","14.65","5.00","51,200","1.56","509.00","145.05","-31.03","-"
"SHEETAL","225.25","228.95","225.25","218.05","228.95","-","10.90","5.00","8,000","0.18","228.95","71.50","5.31","208.56"
"COOLCAPS","27.95","28.50","27.35","27.15","28.50","-","1.35","4.97","1,77,500","0.50","99.50","24.65","-57.56","-96.33"
"VILINBIO","33.95","33.95","33.95","32.35","33.95","-","1.60","4.95","4,000","0.01","38.40","16.50","23.01","68.07"
"BIKEWO","19.70","20.20","19.70","19.25","20.20","-","0.95","4.94","24,000","0.05","24.45","13.65","-1.46","-7.76"
"SATECH","48.60","51.00","47.00","48.60","51.00","-","2.40","4.94","20,000","0.10","75.90","31.80","1.19","-27.71"
"AILIMITED","28.00","28.75","28.00","27.40","28.75","-","1.35","4.93","3,000","0.01","90.90","23.75","-1.88","-52.16"
"MANAV","36.20","36.20","36.20","34.50","36.20","-","1.70","4.93","8,000","0.03","36.20","10.50","21.07","113.57"
"SATIPOLY","58.60","58.60","58.60","55.85","58.60","-","2.75","4.92","1,500","0.01","174.00","36.10","12.91","-63.83"
"INDIFRA","15.05","15.10","15.05","14.40","15.10","-","0.70","4.86","6,000","0.01","24.50","12.65","3.78","-16.11"
"REXPIPES","172.00","178.20","161.40","169.75","178.00","-","8.25","4.86","18,000","0.30","178.20","57.00","22.76","165.67"
"GRETEX","204.00","216.00","204.00","206.00","216.00","-","10.00","4.85","3,000","0.06","263.40","180.50","9.39","2.84"
"AMCL","308.70","322.55","308.70","307.20","322.00","-","14.80","4.82","36,000","1.13","385.00","161.70","-8.38","-"
"ETL","835.05","870.00","835.00","830.00","870.00","-","40.00","4.82","750","0.06","1,235.00","721.10","3.24","-"
"GOLDSTAR","5.50","5.50","5.50","5.25","5.50","-","0.25","4.76","11,250","0.01","13.50","4.50","-12.00","-46.60"
"ELGNZ","80.00","85.45","80.00","81.00","84.85","-","3.85","4.75","19,000","0.16","163.50","74.15","1.01","-"
"BOSS","39.90","39.90","39.90","38.10","39.90","-","1.80","4.72","2,000","0.01","56.30","35.75","-4.43","-15.47"
"MOXSH","97.00","103.50","97.00","98.85","103.50","-","4.65","4.70","12,800","0.13","103.50","25.50","29.21","219.44"
"VEEKAYEM","115.00","118.80","115.00","113.50","118.80","-","5.30","4.67","2,000","0.02","318.00","79.80","-14.22","-55.53"
"PSFL","32.30","34.95","32.30","33.40","34.95","-","1.55","4.64","12,000","0.04","65.00","25.10","27.32","-46.23"
"PARAMPARA","9.40","10.25","9.40","9.80","10.25","-","0.45","4.59","32,000","0.03","10.90","5.75","-","-"
"KOTYARK","234.80","244.50","231.15","226.10","236.15","-","10.05","4.44","13,800","0.33","700.00","191.20","10.42","-64.53"
"HOMESFY","153.00","156.00","153.00","149.45","156.00","-","6.55","4.38","1,200","0.02","508.00","148.05","-3.70","-69.29"
"QUADPRO","2.50","2.50","2.50","2.40","2.50","-","0.10","4.17","36,000","0.01","4.65","2.10","6.38","-35.90"
"SNEHAA","49.00","49.00","49.00","47.05","49.00","-","1.95","4.14","2,000","0.01","122.00","39.35","2.40","-"
"MACOBSTECH","229.00","229.00","221.00","212.25","221.00","-","8.75","4.12","38,400","0.87","246.95","150.60","6.76","32.34"
"ORIANA","1,950.00","2,069.95","1,890.10","1,963.85","2,044.00","-","80.15","4.08","57,825","11.47","3,064.00","1,000.00","8.69","33.81"
"PRECISION","11.00","11.60","10.75","11.15","11.60","-","0.45","4.04","2,08,000","0.23","36.90","8.40","1.31","-68.48"
"BULKCORP","50.85","55.65","50.85","53.45","55.60","-","2.15","4.02","7,200","0.04","94.60","50.55","-11.54","-20.80"
"JYOTIGLOBL","48.90","51.00","48.90","47.60","49.50","-","1.90","3.99","12,000","0.06","77.75","35.45","7.97","-"
"GICL","44.50","45.95","44.00","44.20","45.95","-","1.75","3.96","3,00,000","1.36","51.50","20.58","5.28","-61.01"
"SUNTECH","40.30","41.60","40.30","40.05","41.60","-","1.55","3.87","19,200","0.08","110.00","32.20","4.15","-"
"SONAMAC","40.00","40.50","39.00","39.00","40.50","-","1.50","3.85","3,000","0.01","108.90","36.20","1.38","-60.26"
"LRRPL","61.50","64.25","61.50","61.90","64.25","-","2.35","3.80","7,500","0.05","99.50","48.60","-6.88","-7.15"
"PROFX","58.25","63.00","58.25","60.75","63.00","-","2.25","3.70","83,200","0.51","136.90","56.90","-16.00","-"
"JIWANRAM","6.30","6.35","5.70","5.50","5.70","-","0.20","3.64","36,000","0.02","11.80","4.80","8.57","-42.71"
"PROPEQUITY","193.50","200.50","171.10","193.50","200.50","-","7.00","3.62","7,200","0.14","294.00","145.00","21.33","-27.20"
"TBI","69.25","73.95","69.25","71.40","73.95","-","2.55","3.57","12,000","0.09","159.00","66.30","-11.96","-49.33"
"VERITAAS","62.00","62.00","62.00","59.90","62.00","-","2.10","3.51","9,600","0.06","89.00","44.00","13.76","-27.57"
"RAJINDLTD","82.00","82.00","80.00","77.30","80.00","-","2.70","3.49","3,000","0.02","101.90","70.05","0.88","-11.31"
"NAMAN","58.10","62.00","58.00","60.00","62.00","-","2.00","3.33","7,200","0.04","119.95","55.75","-1.98","-35.82"
"SLONE","170.40","185.60","170.30","179.25","185.00","-","5.75","3.21","12,800","0.22","371.45","170.30","-21.01","-33.19"
"DIVINEHIRA","250.00","258.30","250.00","250.00","258.00","-","8.00","3.20","54,400","1.39","258.30","43.00","10.59","-"
"SAAKSHI","188.00","194.50","188.00","188.50","194.50","-","6.00","3.18","3,000","0.06","217.70","118.00","13.44","15.09"
"SACHEEROME","344.00","355.90","344.00","345.00","355.90","-","10.90","3.16","8,400","0.30","430.65","140.50","-10.35","-"
"AKANKSHA","80.00","83.00","77.55","76.60","79.00","-","2.40","3.13","65,000","0.52","133.75","63.00","21.06","-30.44"
"KORE","128.60","132.00","121.60","128.00","132.00","-","4.00","3.13","2,000","0.03","304.90","110.20","-10.20","-54.60"
"VMARCIND","599.10","617.80","594.00","599.05","617.80","-","18.75","3.13","22,500","1.36","805.00","200.30","-8.19","89.88"
"MHHL","39.50","41.40","39.50","40.15","41.40","-","1.25","3.11","30,000","0.12","66.00","35.15","1.51","-35.57"
"VIJAYPD","57.40","61.90","57.05","60.05","61.90","-","1.85","3.08","52,000","0.30","67.50","35.00","47.38","-"
"GURUNANAK","29.50","30.90","29.50","30.00","30.90","-","0.90","3.00","3,200","0.01","60.00","27.00","6.00","-"
"JALAN","3.60","3.60","3.60","3.50","3.60","-","0.10","2.86","3,000","-","14.60","2.50","-10.00","-68.14"
"KKJEWELS","90.00","91.75","84.95","89.05","91.35","-","2.30","2.58","74,000","0.64","190.00","84.00","-5.25","-51.56"
"BEWLTD","101.00","104.75","99.00","102.00","104.50","-","2.50","2.45","18,500","0.19","239.80","90.00","-4.78","-39.10"
"CHAVDA","108.00","111.10","108.00","106.40","109.00","-","2.60","2.44","10,000","0.11","169.80","82.10","-6.12","-33.92"
"MYMUDRA","75.00","79.85","75.00","78.00","79.85","-","1.85","2.37","4,800","0.04","119.10","51.60","-11.28","25.75"
"GCHOTELS","124.15","130.15","124.15","124.10","127.00","-","2.90","2.34","16,200","0.20","255.00","101.90","-12.53","-"
"BMETRICS","38.80","39.15","38.60","38.30","39.15","-","0.85","2.22","3,200","0.01","63.20","35.35","-2.75","-30.31"
"VIVO","-","-","-","76.00","77.60","-","1.60","2.11","-","-","81.70","62.00","2.70","16.03"
