"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY WAVES","2,033.95","2,041.90","2,003.65","2,037.35","2,020.30","-","-17.05","-0.84","6,21,64,620","633.96","2,789.80","1,839.00","-0.98","-"
"BTML","7.80","8.50","7.57","7.54","8.08","-","0.54","7.16","5,94,372","0.48","10.50","7.11","1.76","-10.52"
"ZEEMEDIA","9.90","10.35","9.55","9.40","10.01","-","0.61","6.49","1,11,75,771","11.22","16.46","7.10","15.32","-28.86"
"TVVISION","6.10","6.33","6.10","6.10","6.25","-","0.15","2.46","8,319","0.01","12.40","3.65","-5.30","62.34"
"ZEEL","93.00","99.10","92.35","93.72","95.99","-","2.27","2.42","3,14,29,607","302.89","151.70","78.40","7.70","-3.95"
"TIPSMUSIC","564.00","581.45","553.30","565.65","577.10","-","11.45","2.02","1,85,844","10.67","718.00","483.00","13.47","-15.01"
"NAZARA","277.00","281.30","273.40","277.80","279.30","-","1.50","0.54","29,52,569","82.28","363.25","221.35","5.74","20.62"
"CREATIVEYE","6.98","6.98","6.56","6.77","6.80","-","0.03","0.44","16,312","0.01","12.19","5.27","-2.44","-10.41"
"TIPSFILMS","386.50","386.50","378.00","384.50","386.00","-","1.50","0.39","416","0.02","666.00","330.80","-5.11","-26.52"
"RADAAN","3.05","3.25","3.05","3.12","3.12","-","-","-","14,282","-","5.37","2.81","-8.50","-27.44"
"NEXTMEDIA","5.60","6.09","5.60","5.99","5.99","-","-","-","2,846","-","8.48","5.00","0.84","-10.60"
"PFOCUS","259.50","277.60","256.43","261.91","261.50","-","-0.41","-0.16","59,08,232","157.70","292.00","85.00","7.86","143.21"
"PNC","25.31","26.97","25.30","25.60","25.48","-","-0.12","-0.47","4,170","0.01","40.64","21.76","1.88","-27.39"
"RADIOCITY","6.24","6.26","6.12","6.22","6.18","-","-0.04","-0.64","39,060","0.02","11.50","5.78","-3.59","-42.99"
"UFO","74.00","74.37","72.13","74.51","74.00","-","-0.51","-0.68","62,623","0.46","92.97","59.95","-7.34","-9.32"
"CINEVISTA","16.14","16.14","15.22","15.67","15.55","-","-0.12","-0.77","8,285","0.01","24.88","13.21","-7.99","0.32"
"GTPL","78.75","78.75","77.25","78.15","77.34","-","-0.81","-1.04","11,552","0.09","133.40","76.20","-12.96","-32.52"
"SAMBHAAV","7.50","7.86","7.30","7.59","7.50","-","-0.09","-1.19","27,061","0.02","11.53","5.00","-11.56","11.77"
"BAGFILMS","5.95","5.95","5.65","5.83","5.76","-","-0.07","-1.20","51,871","0.03","8.00","5.20","-5.73","-25.19"
"RAJTV","40.50","40.90","39.26","40.90","40.34","-","-0.56","-1.37","936","-","90.10","36.70","-0.35","-51.45"
"HATHWAY","11.40","11.50","11.04","11.45","11.29","-","-0.16","-1.40","15,71,440","1.77","17.98","9.91","-5.68","-21.27"
"AQYLON","1,914.90","1,949.90","1,852.00","1,914.90","1,887.00","-","-27.90","-1.46","9,673","1.83","2,247.00","435.10","-3.47","254.37"
"DISHTV","3.31","3.34","3.26","3.33","3.28","-","-0.05","-1.50","35,84,614","1.18","8.05","2.82","-14.14","-57.57"
"TVTODAY","125.03","131.44","123.76","127.03","125.09","-","-1.94","-1.53","80,264","1.02","184.80","117.69","-9.26","-25.35"
"NDTV","85.70","85.96","83.30","85.52","84.00","-","-1.52","-1.78","1,31,595","1.11","141.23","77.11","-9.94","-21.05"
"CINELINE","88.00","88.00","85.00","87.25","85.65","-","-1.60","-1.83","5,213","0.04","104.99","73.64","2.70","-8.47"
"NETWORK18","37.49","37.68","36.50","37.76","37.06","-","-0.70","-1.85","24,96,100","9.25","65.29","35.00","-8.85","-24.72"
"ENIL","109.94","109.94","106.01","110.18","108.00","-","-2.18","-1.98","49,929","0.54","174.58","106.01","-8.48","-28.86"
"SHEMAROO","110.01","110.20","105.00","110.72","108.27","-","-2.45","-2.21","9,515","0.10","161.00","88.80","5.60","-18.22"
"SILLYMONKS","20.01","20.01","19.05","19.92","19.45","-","-0.47","-2.36","13,481","0.03","28.45","13.45","-4.84","-5.12"
"CYBERMEDIA","15.21","15.79","15.06","15.51","15.14","-","-0.37","-2.39","4,651","0.01","22.81","11.00","-4.72","-23.73"
"DEN","28.97","28.97","28.28","29.04","28.28","-","-0.76","-2.62","2,77,807","0.79","42.60","26.90","-7.43","-20.47"
"SIGNPOST","247.99","247.99","237.36","246.91","240.10","-","-6.81","-2.76","38,114","0.92","314.90","180.37","20.91","-15.08"
"ONMOBILE","52.60","53.03","51.48","53.26","51.75","-","-1.51","-2.84","1,95,483","1.01","75.09","41.07","-9.05","-6.10"
"PVRINOX","1,070.05","1,074.80","1,047.10","1,081.50","1,048.30","-","-33.20","-3.07","2,62,874","27.85","1,249.70","830.00","0.54","-1.15"
"RKSWAMY","109.20","110.98","102.90","109.20","105.85","-","-3.35","-3.07","93,973","1.00","248.04","97.50","-2.01","-52.15"
"DNAMEDIA","3.61","3.82","3.45","3.67","3.55","-","-0.12","-3.27","1,15,478","0.04","6.91","3.07","-4.57","-44.70"
"SAREGAMA","351.90","353.65","341.25","354.65","341.25","-","-13.40","-3.78","1,52,592","5.27","603.00","317.10","-3.04","-34.19"
"BALAJITELE","92.94","92.94","89.00","93.02","89.35","-","-3.67","-3.95","3,73,333","3.41","141.32","49.02","-15.63","33.72"
"SUNTV","592.60","598.90","572.65","601.90","572.65","-","-29.25","-4.86","1,84,928","10.78","691.40","480.20","2.81","-4.22"
"MUKTAARTS","64.00","65.33","58.66","64.57","60.50","-","-4.07","-6.30","6,264","0.04","92.10","54.45","-6.27","-23.10"
"DGCONTENT","28.00","28.98","26.25","28.41","26.25","-","-2.16","-7.60","13,171","0.04","59.28","23.52","-18.88","-49.73"
