"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","15,896.95","15,906.45","15,731.20","16,002.30","15,758.95","-","-243.35","-1.52","26,80,17,013","17,340.77","16,323.15","12,294.45","0.61","15.27"
"PPLPHARMA","162.50","167.88","159.00","163.31","166.05","-","2.74","1.68","46,47,771","76.57","240.95","148.31","-1.37","-17.21"
"EICHERMOT","7,900.00","8,119.00","7,886.50","7,943.00","8,067.00","-","124.00","1.56","9,67,939","778.06","8,119.00","4,646.00","8.95","67.35"
"HAL","4,189.00","4,263.50","4,155.80","4,158.90","4,206.00","-","47.10","1.13","35,32,180","1,489.71","5,165.00","3,046.05","-5.53","14.91"
"CROMPTON","264.00","269.85","255.90","264.40","266.80","-","2.40","0.91","45,04,154","119.63","367.50","217.40","5.54","-22.05"
"NEULANDLAB","12,997.00","13,296.00","12,823.00","12,960.00","13,044.00","-","84.00","0.65","39,031","50.88","19,747.00","10,190.70","-8.95","2.17"
"WHIRLPOOL","888.00","906.25","867.80","888.35","894.00","-","5.65","0.64","5,64,057","50.56","1,473.80","756.85","10.42","-12.58"
"WOCKPHARMA","1,370.00","1,435.00","1,363.00","1,382.90","1,391.40","-","8.50","0.61","4,65,807","65.24","1,868.80","1,110.05","0.27","-3.14"
"ASTRAL","1,589.00","1,604.60","1,559.50","1,591.60","1,601.00","-","9.40","0.59","5,85,825","93.01","1,615.50","1,232.30","11.30","16.80"
"BHARATFORG","1,756.90","1,784.20","1,725.90","1,726.70","1,735.10","-","8.40","0.49","43,13,855","758.01","1,784.20","919.10","18.82","61.22"
"CIPLA","1,328.00","1,336.10","1,315.80","1,330.00","1,331.70","-","1.70","0.13","12,36,946","164.25","1,673.00","1,281.70","-8.05","-9.54"
"TIMKEN","3,081.00","3,120.00","3,044.80","3,120.80","3,120.00","-","-0.80","-0.03","12,452","3.84","3,575.00","2,202.00","2.63","17.30"
"AUROPHARMA","1,149.10","1,157.40","1,126.80","1,157.90","1,157.00","-","-0.90","-0.08","16,82,470","192.66","1,278.60","1,010.00","-0.92","-1.94"
"DIVISLAB","6,141.00","6,200.00","6,054.00","6,185.00","6,177.00","-","-8.00","-0.13","2,99,364","183.81","7,071.50","4,955.00","-4.03","2.77"
"HINDPETRO","452.35","455.25","448.75","452.35","451.00","-","-1.35","-0.30","19,12,866","86.29","508.45","287.55","0.48","40.87"
"SRF","2,815.00","2,841.00","2,765.60","2,841.50","2,833.00","-","-8.50","-0.30","1,96,550","55.46","3,325.00","2,570.20","-6.80","-0.30"
"TATACHEM","698.50","700.00","687.85","698.70","696.35","-","-2.35","-0.34","2,53,439","17.56","1,026.65","687.85","-8.71","-19.80"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
"HSCL","450.00","457.45","447.00","452.25","450.50","-","-1.75","-0.39","5,86,000","26.45","534.45","365.35","-4.95","2.58"
"DRREDDY","1,274.00","1,279.30","1,263.60","1,274.90","1,269.70","-","-5.20","-0.41","8,38,946","106.59","1,379.70","1,020.00","6.58","3.77"
"FINCABLES","819.00","823.75","800.00","819.10","815.00","-","-4.10","-0.50","2,22,791","18.08","1,059.95","700.80","6.98","-18.38"
"CHAMBLFERT","457.00","457.75","449.20","460.00","457.15","-","-2.85","-0.62","6,43,526","29.19","742.20","410.20","3.18","-14.59"
"MARUTI","15,309.00","15,434.00","15,190.00","15,326.00","15,211.00","-","-115.00","-0.75","2,08,645","319.38","17,370.00","11,059.45","-7.40","20.04"
"CASTROLIND","186.01","186.99","185.00","186.71","185.29","-","-1.42","-0.76","16,22,832","30.13","251.95","180.66","-1.16","-10.41"
"LUPIN","2,210.00","2,219.20","2,160.00","2,211.10","2,194.00","-","-17.10","-0.77","11,26,141","246.92","2,244.50","1,795.20","0.69","6.75"
"LAURUSLABS","1,008.50","1,021.35","1,001.80","1,018.60","1,010.00","-","-8.60","-0.84","10,53,338","106.64","1,141.00","512.35","-4.56","68.05"
"ELGIEQUIP","513.05","523.65","499.40","512.25","507.85","-","-4.40","-0.86","23,65,077","121.11","608.40","401.00","15.37","-3.51"
