"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,311.50","14,320.30","14,148.55","14,374.55","14,172.30","-","-202.25","-1.41","70,45,42,263","14,248.30","15,154.10","11,537.35","1.89","14.55"
"KIRLOSENG","1,340.00","1,394.40","1,330.20","1,337.00","1,371.00","-","34.00","2.54","15,86,476","219.09","1,434.90","544.40","19.14","91.53"
"TORNTPOWER","1,451.00","1,468.30","1,428.00","1,453.70","1,462.20","-","8.50","0.58","6,21,000","90.50","1,640.00","1,188.00","8.59","16.45"
"BHARATFORG","1,756.90","1,784.20","1,725.90","1,726.70","1,735.10","-","8.40","0.49","43,13,855","758.01","1,784.20","919.10","18.82","61.22"
"RAMCOCEM","1,135.20","1,148.70","1,128.70","1,145.00","1,145.00","-","-","-","91,192","10.40","1,214.50","788.20","5.54","32.86"
"ZFCVINDIA","15,800.00","16,146.00","15,672.00","15,816.00","15,800.00","-","-16.00","-0.10","19,294","30.83","16,146.00","9,900.00","11.80","45.57"
"GSPL","308.00","311.60","305.35","310.30","310.00","-","-0.30","-0.10","1,63,099","5.04","360.60","261.45","3.94","5.42"
"APOLLOHOSP","7,518.00","7,598.00","7,485.00","7,539.00","7,525.00","-","-14.00","-0.19","4,31,623","326.30","8,099.50","6,001.00","2.92","18.09"
"HINDPETRO","452.35","455.25","448.75","452.35","451.00","-","-1.35","-0.30","19,12,866","86.29","508.45","287.55","0.48","40.87"
"LT","4,174.10","4,199.00","4,134.10","4,185.90","4,172.00","-","-13.90","-0.33","22,34,376","932.89","4,199.00","2,965.30","7.32","27.83"
"UNOMINDA","1,245.80","1,249.00","1,220.30","1,247.90","1,243.20","-","-4.70","-0.38","12,78,975","158.17","1,382.00","767.60","3.53","31.30"
"CUMMINSIND","4,425.00","4,491.90","4,395.20","4,429.30","4,412.00","-","-17.30","-0.39","5,12,643","228.06","4,615.00","2,580.00","10.92","57.50"
