time,open,high,low,close,MA 1,MA 2,MA 3,MA 4,MA 5,Shapes,Shapes,Range Filter,Up Trend,UpTrend Begins,Down Trend,DownTrend Begins,HalfTrend,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,ParabolicSAR,VWAP,Range Top,Range Bottom,Basis,Upper,Lower,STC Sell,STC Buy,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Buy Signal,Sell Signal,Expired Signal,Expired Signal,long Signal,Short Signal,RSI Plot,Plot,Plot,Plot,Plot,MFI Plot,Angle Follow Line,Angle Follow Line Histogram,Sell,Buy,Add Sell 1,Add Buy 1,Reduce Buy 1,Reduce Buy 2,Reduce Buy 3,Reduce Buy 4,Reduce Buy 5,Reduce Sell 1,Reduce Sell 2,Reduce Sell 3,Reduce Sell 4,Reduce Sell 5,Volume MA,Volume,Volume MA,Stochastic,EMA,Plot,Plot,Plot,Plot
2015-07-31T09:15:00+05:30,26.9499995,27.6,26,26.87499975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN,NaN,28.662499999999998,NaN,NaN,NaN,26.824999916666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9499995,27.6,26,26.87499975,26.912499625000002,27.6,26,26.8562498125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1024657,NaN,NaN,NaN,40,40,-40,-40
2015-08-03T09:15:00+05:30,26.912499625000002,28.950001,26.912499625000002,28.512501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN,NaN,27.63749975,NaN,NaN,26,28.125000541666672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.912499625000002,28.950001,26.912499625000002,28.512501,26.884374718750003,28.950001,26.884374718750003,27.8218753125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1737709,NaN,NaN,NaN,40,40,-40,-40
2015-08-04T09:15:00+05:30,27.7125003125,30.35,27.7125003125,30.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN,NaN,26.51250025,NaN,NaN,26,29.470833437500005,NaN,NaN,NaN,NaN,NaN,1,NaN,27.7125003125,30.35,27.7125003125,30.35,27.353125015625004,30.35,27.353125015625004,29.031250156250003,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52219,NaN,0,NaN,40,40,-40,-40
2015-08-05T09:15:00+05:30,29.031250156250003,31.85,29.031250156250003,31.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.7125003125,NaN,NaN,27.162499999999998,NaN,NaN,26.174,30.910416718750007,NaN,NaN,NaN,NaN,NaN,1,NaN,29.031250156250003,31.85,29.031250156250003,31.85,28.192187585937504,31.85,28.192187585937504,30.440625078125002,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95349,NaN,0,NaN,40,40,-40,-40
2015-08-06T09:15:00+05:30,30.440625078125002,33.400002,30.440625078125002,33.400002,30.19750055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.031250156250003,NaN,NaN,26.12499975,NaN,NaN,26.51456,32.41354302604167,NaN,NaN,NaN,NaN,NaN,1,NaN,30.440625078125002,33.400002,30.440625078125002,33.400002,29.316406332031253,33.400002,29.316406332031253,31.9203135390625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,472314,NaN,0,NaN,40,40,-40,-40
2015-08-07T09:15:00+05:30,31.9203135390625,35.049999,31.9203135390625,35.049999,31.815000033333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.440625078125002,NaN,NaN,27.250000500000002,NaN,NaN,27.06539536,34.00677051302083,NaN,NaN,NaN,NaN,NaN,1,NaN,31.9203135390625,35.049999,31.9203135390625,35.049999,30.618359935546877,35.049999,30.618359935546877,33.48515626953125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144093,NaN,0,NaN,40,40,-40,-40
2015-08-10T09:15:00+05:30,33.48515626953125,36.799999,33.48515626953125,36.1499995,33.259999855555556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.9203135390625,NaN,NaN,27.924999999999997,NaN,NaN,27.863855724,35.47838492317709,NaN,NaN,NaN,NaN,NaN,1,NaN,33.48515626953125,36.799999,33.48515626953125,36.1499995,32.05175810253907,36.799999,32.05175810253907,34.98007775976563,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2275461,NaN,0,NaN,40,40,-40,-40
2015-08-11T09:15:00+05:30,34.817577884765626,37.849998,34.25,36.3374995,34.28583307037037,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,33.48515626953125,NaN,NaN,27.375,NaN,NaN,28.93619291712,36.145832500000004,NaN,NaN,NaN,NaN,NaN,1,NaN,34.817577884765626,37.849998,34.25,36.3374995,33.515917931152345,37.849998,33.515917931152345,35.81376884619141,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1558964,NaN,0,NaN,40,40,-40,-40
2015-08-12T09:15:00+05:30,35.57753869238282,37.450001,35.57753869238282,36.412499249999996,34.99472179691358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.25,31.924999,NaN,27.549999999999997,NaN,NaN,30.1841256287232,36.48001298079427,NaN,NaN,NaN,NaN,NaN,1,NaN,35.57753869238282,37.450001,35.57753869238282,36.412499249999996,34.664843388671876,37.450001,34.664843388671876,36.25439440869141,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,864261,NaN,0,NaN,40,40,-40,-40
2015-08-13T09:15:00+05:30,35.995018971191406,36.700001,33.900002,35.337500750000004,35.10898144794239,NaN,NaN,NaN,NaN,1,NaN,NaN,27.257716939355472,NaN,NaN,NaN,34.25,32.381248812500004,NaN,27.35000025,NaN,NaN,31.257347760701954,35.312501250000004,NaN,NaN,NaN,NaN,NaN,1,NaN,35.995018971191406,36.700001,33.900002,35.337500750000004,35.45961889868164,36.700001,33.900002,35.483130680297855,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,454471,NaN,0,0,40,40,-40,-40
