time,open,high,low,close,MA 1,MA 2,MA 3,MA 4,MA 5,Shapes,Shapes,Range Filter,Up Trend,UpTrend Begins,Down Trend,DownTrend Begins,HalfTrend,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,ParabolicSAR,VWAP,Range Top,Range Bottom,Basis,Upper,Lower,STC Sell,STC Buy,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Buy Signal,Sell Signal,Expired Signal,Expired Signal,long Signal,Short Signal,RSI Plot,Plot,Plot,Plot,Plot,MFI Plot,Angle Follow Line,Angle Follow Line Histogram,Sell,Buy,Add Sell 1,Add Buy 1,Reduce Buy 1,Reduce Buy 2,Reduce Buy 3,Reduce Buy 4,Reduce Buy 5,Reduce Sell 1,Reduce Sell 2,Reduce Sell 3,Reduce Sell 4,Reduce Sell 5,Volume MA,Volume,Volume MA,Stochastic,EMA,Plot,Plot,Plot,Plot
2022-01-31T09:15:00+05:30,168.025,181.85001,154,167.97500250000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,NaN,NaN,106.27499949999999,NaN,NaN,NaN,167.94167083333335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168.025,181.85001,154,167.97500250000002,168.00000125000003,181.85001,154,167.962503125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17654502,NaN,NaN,NaN,40,40,-40,-40
2022-02-01T09:15:00+05:30,168.00000125000003,168.39999,157.2,161.71249749999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,NaN,NaN,109.88750000000002,NaN,NaN,181.85001,162.43749583333332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168.00000125000003,168.39999,157.2,161.71249749999998,167.98125218750002,168.39999,157.2,163.8281221875,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3534400,NaN,NaN,NaN,40,40,-40,-40
2022-02-02T09:15:00+05:30,164.856249375,169.75,155.10001,163.10000250000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,NaN,NaN,113.78750000000001,NaN,NaN,181.85001,162.65000416666666,NaN,NaN,NaN,NaN,NaN,1,NaN,164.856249375,169.75,155.10001,163.10000250000002,165.90468718750003,169.75,155.10001,163.20156546875,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3292939,NaN,0,NaN,40,40,-40,-40
2022-02-03T09:15:00+05:30,163.9781259375,173.95,163.9781259375,170.4625025,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,154,NaN,NaN,109.975,NaN,NaN,180.78001,169.46354281249998,NaN,NaN,NaN,NaN,NaN,1,NaN,163.9781259375,173.95,163.9781259375,170.4625025,164.55312632812502,173.95,163.9781259375,168.09218859375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3262770,NaN,0,NaN,40,40,-40,-40
2022-02-04T09:15:00+05:30,167.22031421875,173,165.10001,168.925005,166.435002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,NaN,NaN,107.0125,NaN,NaN,179.75281,169.00833833333334,NaN,NaN,NaN,NaN,NaN,1,NaN,167.22031421875,173,165.10001,168.925005,166.3226574609375,173,165.10001,168.56133230468748,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,985376,NaN,0,NaN,40,40,-40,-40
2022-02-07T09:15:00+05:30,168.072659609375,168.072659609375,156,161.5625,164.81083466666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,NaN,NaN,103.8875,NaN,NaN,178.76669800000002,161.87838653645835,NaN,NaN,NaN,NaN,NaN,1,NaN,168.072659609375,168.072659609375,156,161.5625,167.44199488281248,168.072659609375,156,163.4269548046875,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,748846,NaN,0,NaN,40,40,-40,-40
2022-02-08T09:15:00+05:30,164.8175798046875,164.8175798046875,151.2,156.14999749999998,161.92388894444443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,NaN,NaN,103.7625,NaN,NaN,177.82003048,157.38919243489582,NaN,NaN,NaN,NaN,NaN,1,NaN,164.8175798046875,164.8175798046875,151.2,156.14999749999998,165.43447484375,165.43447484375,151.2,159.24628927734375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,964790,NaN,0,NaN,40,40,-40,-40
2022-02-09T09:15:00+05:30,160.48378865234375,160.48378865234375,148.8,152,158.61592596296296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,NaN,NaN,104.3625,NaN,NaN,176.22282865120002,153.7612628841146,NaN,NaN,NaN,NaN,NaN,1,NaN,160.48378865234375,160.48378865234375,148.8,152,162.34038206054686,162.34038206054686,148.8,155.44189432617188,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,753911,NaN,0,NaN,40,40,-40,-40
2022-02-10T09:15:00+05:30,156.24189432617186,156.24189432617186,144.3,149.36249750000002,155.53144980864198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,163.075005,NaN,103.9,NaN,NaN,174.02900235910403,149.96813060872395,NaN,NaN,NaN,NaN,NaN,1,NaN,156.24189432617186,156.24189432617186,144.3,149.36249750000002,158.89113819335938,158.89113819335938,144.3,151.53657153808592,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2166398,NaN,0,NaN,40,40,-40,-40
2022-02-11T09:15:00+05:30,152.80219591308594,152.80219591308594,135,143.26250249999998,151.44180070576132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.77496559765626,NaN,NaN,NaN,154,154.475,NaN,102.4,NaN,NaN,171.05610212319363,143.68823280436197,NaN,NaN,NaN,NaN,NaN,1,NaN,152.80219591308594,152.80219591308594,135,143.26250249999998,155.21385486572265,155.21385486572265,135,145.96672358154296,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1290602,NaN,0,0,40,40,-40,-40
