time,open,high,low,close,MA 1,MA 2,MA 3,MA 4,MA 5,Shapes,Shapes,Range Filter,Up Trend,UpTrend Begins,Down Trend,DownTrend Begins,HalfTrend,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,ParabolicSAR,VWAP,Range Top,Range Bottom,Basis,Upper,Lower,STC Sell,STC Buy,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Buy Signal,Sell Signal,Expired Signal,Expired Signal,long Signal,Short Signal,RSI Plot,Plot,Plot,Plot,Plot,MFI Plot,Angle Follow Line,Angle Follow Line Histogram,Sell,Buy,Add Sell 1,Add Buy 1,Reduce Buy 1,Reduce Buy 2,Reduce Buy 3,Reduce Buy 4,Reduce Buy 5,Reduce Sell 1,Reduce Sell 2,Reduce Sell 3,Reduce Sell 4,Reduce Sell 5,Volume MA,Volume,Volume MA,Stochastic,EMA,Plot,Plot,Plot,Plot
2015-06-30T09:15:00+05:30,11.102500249999999,11.3,11.0050005,11.12750025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0050005,NaN,NaN,11.16687475,NaN,NaN,NaN,11.144166916666668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.102500249999999,11.3,11.0050005,11.12750025,11.11500025,11.3,11.0050005,11.133750249999999,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3708620,NaN,NaN,NaN,40,40,-40,-40
2015-07-01T09:15:00+05:30,11.11500025,11.365,11.11500025,11.26125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0050005,NaN,NaN,11.116874750000001,NaN,NaN,11.0050005,11.247083416666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.11500025,11.365,11.11500025,11.26125,11.12437525,11.365,11.11500025,11.214062625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2062660,NaN,NaN,NaN,40,40,-40,-40
2015-07-02T09:15:00+05:30,11.188125125,11.2949995,11.188125125,11.25749975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0050005,NaN,NaN,11.141249875,NaN,NaN,11.0050005,11.246874791666665,NaN,NaN,NaN,NaN,NaN,1,NaN,11.188125125,11.2949995,11.188125125,11.25749975,11.1692189375,11.2949995,11.1692189375,11.232187375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2542340,NaN,0,NaN,40,40,-40,-40
2015-07-03T09:15:00+05:30,11.2228124375,11.35,11.1,11.274999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0050005,NaN,NaN,11.136250125,NaN,NaN,11.01220049,11.241666666666665,NaN,NaN,NaN,NaN,NaN,1,NaN,11.2228124375,11.35,11.1,11.274999999999999,11.20070315625,11.35,11.1,11.236953109375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2132440,NaN,0,NaN,40,40,-40,-40
2015-07-06T09:15:00+05:30,11.24890621875,11.5199995,11.0449995,11.292499875,11.242749974999999,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,11.0050005,NaN,NaN,11.115000249999998,NaN,NaN,11.0192564802,11.285832958333335,NaN,NaN,NaN,NaN,NaN,1,NaN,11.24890621875,11.5199995,11.0449995,11.292499875,11.2188281328125,11.5199995,11.0449995,11.2766012734375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2388640,NaN,0,NaN,40,40,-40,-40
2015-07-07T09:15:00+05:30,11.270703046875,11.5725,11.1800005,11.376875,11.287458316666665,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,11.0050005,NaN,NaN,11.079999874999999,NaN,NaN,11.039286200991999,11.3764585,NaN,NaN,NaN,NaN,NaN,1,NaN,11.270703046875,11.5725,11.1800005,11.376875,11.247714703125,11.5725,11.1800005,11.350019636718748,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2467700,NaN,0,NaN,40,40,-40,-40
2015-07-08T09:15:00+05:30,11.323789023437499,11.323789023437499,11.0550005,11.126249875000001,11.233722169444444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0050005,NaN,NaN,10.921249625000002,NaN,NaN,11.5725,11.168346466145833,NaN,NaN,NaN,NaN,NaN,1,NaN,11.323789023437499,11.323789023437499,11.0550005,11.126249875000001,11.298867169921873,11.323789023437499,11.0550005,11.207207105468749,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2087080,NaN,0,NaN,40,40,-40,-40
2015-07-09T09:15:00+05:30,11.225019449218749,11.225019449218749,10.7875,10.958125125,11.141856487962963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0050005,NaN,NaN,10.881874750000001,NaN,NaN,11.5725,10.990214858072918,NaN,NaN,NaN,NaN,NaN,1,NaN,11.225019449218749,11.225019449218749,10.7875,10.958125125,11.253037137695312,11.253037137695312,10.7875,11.048916005859375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3080660,NaN,0,NaN,40,40,-40,-40
2015-07-10T09:15:00+05:30,11.091572287109376,11.091572287109376,10.785,10.853125125,11.045612700308642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.0050005,11.17875,NaN,10.993124625,NaN,NaN,11.5411,10.909899137369791,NaN,NaN,NaN,NaN,NaN,1,NaN,11.091572287109376,11.091572287109376,10.785,10.853125125,11.150976571777344,11.150976571777344,10.785,10.955317424804688,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3246980,NaN,0,NaN,40,40,-40,-40
2015-07-13T09:15:00+05:30,10.972348706054689,10.972348706054689,10.5050005,10.739375124999999,10.943533508539094,NaN,NaN,NaN,NaN,1,NaN,NaN,9.7478683328125,NaN,NaN,NaN,11.0050005,11.03875025,NaN,11.056249999999999,NaN,NaN,11.495734,10.738908110351565,NaN,NaN,NaN,NaN,NaN,1,NaN,10.972348706054689,10.972348706054689,10.5050005,10.739375124999999,11.053146998291016,11.053146998291016,10.5050005,10.797268259277345,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3158860,NaN,0,0,40,40,-40,-40
2015-07-14T09:15:00+05:30,10.855861915527344,10.855861915527344,10.635,10.71624975,10.86777225569273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.787446739912108,NaN,NaN,NaN,11.0050005,11.03875025,NaN,10.981875124999998,NaN,NaN,11.41647532,10.735703888509114,NaN,NaN,NaN,NaN,NaN,1,NaN,10.855861915527344,10.855861915527344,10.635,10.71624975,10.92520762878418,10.92520762878418,10.635,10.765743395263673,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2340060,NaN,0,0,40,40,-40,-40
2015-07-15T09:15:00+05:30,10.786055832763672,10.7949995,10.6525,10.726874874999998,10.820806462128486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.818814103933592,NaN,NaN,NaN,11.0050005,11.03875025,NaN,10.927499999999998,NaN,NaN,11.3435573344,10.724791458333334,NaN,NaN,NaN,NaN,NaN,1,NaN,10.786055832763672,10.7949995,10.6525,10.726874874999998,10.845475512023928,10.845475512023928,10.6525,10.740107551940918,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2389680,NaN,0,0,40,40,-40,-40
2015-07-16T09:15:00+05:30,10.756465353881836,10.865,10.7449995,10.795624749999998,10.812412558085656,11.03894226923077,NaN,NaN,NaN,NaN,NaN,NaN,9.949120131040234,NaN,NaN,NaN,11.0050005,11.03875025,NaN,10.787499875000002,NaN,NaN,11.276472787648,10.801874750000001,NaN,NaN,NaN,NaN,NaN,1,NaN,10.756465353881836,10.865,10.7449995,10.795624749999998,10.792791531982424,10.865,10.7449995,10.79052240097046,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2964740,NaN,0,0,40,40,-40,-40
2015-07-17T09:15:00+05:30,10.776045051940917,10.81,10.725,10.770625249999998,10.798483455390437,11.000611266483517,NaN,NaN,NaN,NaN,NaN,NaN,9.971708342936209,NaN,NaN,NaN,11.0050005,11.03875025,NaN,10.645,NaN,NaN,11.21475500463616,10.768541749999999,NaN,NaN,NaN,NaN,NaN,1,NaN,10.776045051940917,10.81,10.725,10.770625249999998,10.791656966476442,10.81,10.725,10.77041757548523,0,0,0,0,NaN,NaN,NaN,70,70,30,30,33.64273823064386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2584160,NaN,-26.888215820658047,-9.777533025693836,40,40,-40,-40
2015-07-20T09:15:00+05:30,10.773335150970457,10.8949995,10.76,10.829374875,10.808780595260291,10.976148924843015,NaN,NaN,NaN,NaN,NaN,NaN,10.07078740864259,NaN,NaN,NaN,11.0050005,10.91439476171875,NaN,10.191874875,NaN,NaN,11.157974644265268,10.828124791666667,NaN,NaN,NaN,NaN,NaN,1,NaN,10.773335150970457,10.8949995,10.76,10.829374875,10.781037270980836,10.8949995,10.76,10.814427381492614,0,0,0,0,NaN,NaN,36.205877225868285,70,70,30,30,34.802506277592286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2519620,NaN,-38.17702282556378,-16.993586990198505,40,40,-40,-40
2015-07-21T09:15:00+05:30,10.801355012985228,10.8949995,10.7550005,10.838124750000002,10.818561980173529,10.956431185579728,NaN,NaN,NaN,NaN,NaN,NaN,10.101959192778327,NaN,NaN,NaN,11.0050005,10.865009974609375,NaN,10.289374875,NaN,NaN,11.105736712724047,10.829374916666666,NaN,NaN,NaN,NaN,NaN,1,NaN,10.801355012985228,10.8949995,10.7550005,10.838124750000002,10.797732326236725,10.8949995,10.7550005,10.82236994074631,0,0,0,0,NaN,NaN,36.757347048378335,70,70,30,30,35.091537557684205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2304720,NaN,-40.1099756745872,-21.54801272354616,40,40,-40,-40.1099756745872
2015-07-22T09:15:00+05:30,10.819739881492616,10.9449995,10.7800005,10.863125125,10.833416361782353,10.943101748354053,NaN,NaN,NaN,NaN,NaN,NaN,10.162263573500496,NaN,NaN,NaN,11.0050005,10.798286393554687,NaN,10.294999875,NaN,NaN,11.057677815706123,10.862708375000002,NaN,NaN,NaN,NaN,NaN,1,NaN,10.819739881492616,10.9449995,10.7800005,10.863125125,10.810051133491516,10.9449995,10.7800005,10.851966251623153,0,0,0,0,NaN,NaN,38.3959719474225,70,70,30,30,42.64657363877505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2856440,NaN,-35.92938202193566,-23.402699204589428,40,40,-40,-40
2015-07-23T09:15:00+05:30,10.841432503246308,10.9699995,10.841432503246308,10.933749875,10.866860866188235,10.94176576644633,NaN,NaN,NaN,NaN,NaN,NaN,10.236933118747494,NaN,NaN,NaN,11.0050005,10.738674603027345,NaN,10.617499875,NaN,NaN,11.013463630449634,10.915060626082102,NaN,NaN,NaN,NaN,NaN,1,NaN,10.841432503246308,10.9699995,10.841432503246308,10.933749875,10.831008692557335,10.9699995,10.831008692557335,10.896653595373156,0,0,0,0,NaN,NaN,42.89711297037418,70,70,30,30,49.9133373176773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3120080,NaN,-25.22716666069038,-21.788563221835915,40,40,-40,-40
2015-07-24T09:15:00+05:30,10.887591189123153,10.9949995,10.8800005,10.94125,10.89165724412549,10.941692085525426,NaN,NaN,NaN,NaN,1,NaN,10.301095705411905,NaN,NaN,NaN,11.0050005,10.81499975,NaN,10.946875,NaN,NaN,10.5050005,10.938749999999999,NaN,NaN,NaN,NaN,NaN,1,NaN,10.887591189123153,10.9949995,10.8800005,10.94125,10.863831143965246,10.9949995,10.863831143965246,10.925960297280788,0,0,0,0,NaN,NaN,43.370322908119185,70,70,30,30,51.53533919939596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3717240,NaN,-9.052739704912433,-16.53215404498111,40,40,-40,-40
2015-07-27T09:15:00+05:30,10.914420594561577,10.9875,10.825,10.885625125,10.889646537750327,10.93368251973608,10.978406225,NaN,NaN,NaN,NaN,NaN,10.301095705411905,NaN,NaN,NaN,11.0050005,10.823749750000001,NaN,10.930000125,NaN,NaN,10.51480048,10.899375041666667,NaN,NaN,10.978406225,11.40181177053966,10.55500067946034,1,NaN,10.914420594561577,10.9875,10.825,10.885625125,10.894895720623017,10.9875,10.825,10.903136429890395,0,0,0,0,NaN,NaN,40.67792170220695,70,70,30,30,44.61410054713919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2825680,NaN,5.182494320655374,-9.995811792034875,40,40,-40,-40
2015-07-28T09:15:00+05:30,10.900022859780789,10.900022859780789,10.75,10.79374975,10.857680941833552,10.913692124059496,10.960819894047619,NaN,NaN,1,NaN,NaN,10.301095705411905,NaN,NaN,NaN,11.0050005,10.85999975,NaN,10.808124875,NaN,NaN,10.5244044604,10.814590869926931,NaN,NaN,10.9617187,11.38660946140233,10.536827938597671,1,NaN,10.900022859780789,10.900022859780789,10.75,10.79374975,10.899016075256707,10.900022859780789,10.75,10.835948867390396,0,0,0,0,NaN,NaN,36.63279661709774,70,70,30,30,43.344192584338764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3309180,NaN,11.314006651594962,-5.0064789239313425,40,40,-40,-40
