time,open,high,low,close,MA 1,MA 2,MA 3,MA 4,MA 5,Shapes,Shapes,Range Filter,Up Trend,UpTrend Begins,Down Trend,DownTrend Begins,HalfTrend,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,ParabolicSAR,VWAP,Range Top,Range Bottom,Basis,Upper,Lower,STC Sell,STC Buy,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Buy Signal,Sell Signal,Expired Signal,Expired Signal,long Signal,Short Signal,RSI Plot,Plot,Plot,Plot,Plot,MFI Plot,Angle Follow Line,Angle Follow Line Histogram,Sell,Buy,Add Sell 1,Add Buy 1,Reduce Buy 1,Reduce Buy 2,Reduce Buy 3,Reduce Buy 4,Reduce Buy 5,Reduce Sell 1,Reduce Sell 2,Reduce Sell 3,Reduce Sell 4,Reduce Sell 5,Volume MA,Volume,Volume MA,Stochastic,EMA,Plot,Plot,Plot,Plot
2014-07-07T09:15:00+05:30,2.206893648084996,2.206893648084996,2.2,2.2,2.1930585823071223,2.181436977672251,2.1586073734495725,2.0147531879473424,1.8602089657130845,NaN,NaN,2.2476948724119423,2.035504808763438,NaN,NaN,NaN,2.160298369359932,2.2,2.2,1.6875,NaN,NaN,2.3600159717785747,2.2022978826949986,2.55163117445819,1.28563934200998,2.2231249999999996,2.3960185727550734,2.050231427244926,1,NaN,2.206893648084996,2.206893648084996,2.2,2.2,2.1858339295286626,2.206893648084996,2.1858339295286626,2.203446824042498,0,0,0,0,NaN,NaN,55.26409945406897,70,70,30,30,21.976917344301413,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5563.083333333333,400,5563.083333333333,-26.466419955233164,-35.15999807460515,40,40,-40,-40
2014-07-08T09:15:00+05:30,2.203446824042498,2.3,2.203446824042498,2.275,2.220372388204748,2.194803123719072,2.1696923855019943,2.024958945282741,1.8643362396860885,NaN,NaN,2.2476948724119423,2.035504808763438,NaN,NaN,NaN,2.160298369359932,2.2,2.2,1.6625,NaN,NaN,2.349615332907432,2.2594822746808325,2.55163117445819,1.28563934200998,2.221875,2.3928784721870002,2.0508715278129994,1,NaN,2.203446824042498,2.3,2.203446824042498,2.275,2.19464037678558,2.3,2.19464037678558,2.2454734120212487,0,0,0,0,NaN,NaN,59.41821730588016,70,70,30,30,29.030972852266643,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5575.583333333333,1492,5575.583333333333,-6.46169338862174,-26.30490148322427,40,40,-40,-40
2014-07-09T09:15:00+05:30,2.239223412021249,2.35,2.239223412021249,2.35,2.263581592136499,2.216974106044919,2.186864539263709,2.0377056533108684,1.8691687149130927,NaN,1,2.2476948724119423,2.035504808763438,NaN,NaN,NaN,2.203446824042498,2.225,2.236987490026218,1.6624999999999999,NaN,NaN,2.1,2.3130744706737496,2.55163117445819,1.28563934200998,2.2193750000000003,2.3810991092107177,2.057650890789283,1,NaN,2.239223412021249,2.35,2.239223412021249,2.35,2.2200568944034145,2.35,2.2200568944034145,2.294611706010625,0,0,0,0,NaN,NaN,63.107526748866825,70,70,30,30,30.061150691130564,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4621.85,32,4621.85,19.12500995345421,-13.39278970526892,40,40,-40,-40
2014-07-10T09:15:00+05:30,2.294611706010625,2.3,2.25,2.275,2.2673877280909993,2.2252635194670733,2.1952583926671654,2.0470113139653443,1.8732068371527635,NaN,NaN,2.2476948724119423,2.035504808763438,NaN,NaN,NaN,2.239223412021249,2.225,2.265368745013109,1.65,NaN,NaN,2.105,2.275,2.55163117445819,1.28563934200998,2.211875,2.346382202409423,2.077367797590577,NaN,NaN,2.294611706010625,2.3,2.25,2.275,2.2573343002070194,2.3,2.25,2.2799029265026562,0,0,0,0,NaN,NaN,57.48002552461531,70,70,30,30,27.76343759540333,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4603.033333333334,529,4603.033333333334,34.76373064844944,-1.7936549691391743,40,40,-40,-40
2014-07-14T09:15:00+05:30,2.284805853005312,2.284805853005312,2.15,2.15,2.2282584853939995,2.214511588114634,2.190948069556007,2.051050085966703,1.8759609979771141,NaN,NaN,2.2476948724119423,2.035504808763438,NaN,NaN,NaN,2.239223412021249,2.225,2.3,1.6500000000000001,NaN,NaN,2.1099,2.194935284335104,2.55163117445819,1.28563934200998,2.20625,2.341226849866993,2.0712731501330066,NaN,NaN,2.284805853005312,2.284805853005312,2.15,2.15,2.268618613354838,2.284805853005312,2.15,2.2174029265026562,0,0,0,0,NaN,NaN,49.54941845580107,70,70,30,30,27.166434267365887,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4600.483333333334,1500,4600.483333333334,28.53844573112852,2.5894024459420573,40,40,-40,-40
2014-07-15T09:15:00+05:30,2.217402926502656,2.25,2.05,2.15,2.202172323596,2.205295646955401,2.1870482534078155,2.0549304747523225,1.8786877542161478,NaN,NaN,2.2476948724119423,2.035504808763438,NaN,NaN,NaN,2.239223412021249,2.2,2.275,1.725,NaN,NaN,2.35,2.15,2.55163117445819,1.28563934200998,2.2,2.3332291259447673,2.066770874055233,NaN,NaN,2.217402926502656,2.25,2.05,2.15,2.2430107699287474,2.25,2.05,2.1668507316256638,0,0,0,0,NaN,NaN,49.549418455801074,70,70,30,30,26.86590034618625,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4280.816666666667,2870,4280.816666666667,14.060197885083507,2.0425929174141375,40,40,-40,-40
2014-07-16T09:15:00+05:30,2.183701463251328,2.25,2.1,2.175,2.193114882397333,2.2009676973903436,2.185900800702309,2.059639083585565,1.881636134771211,NaN,NaN,2.2476948724119423,2.035504808763438,NaN,NaN,NaN,2.239223412021249,2.2,2.275,1.725,NaN,NaN,2.3440000000000003,2.175,2.55163117445819,1.28563934200998,2.19625,2.32785072188255,2.06464927811745,1,NaN,2.183701463251328,2.25,2.1,2.175,2.204930750777206,2.25,2.1,2.1771753658128317,0,0,0,0,NaN,NaN,51.113913231128116,70,70,30,30,47.23789810678351,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4294.8,1039,4294.8,2.087212885959744,-0.12620072450916453,40,40,-40,-40
2014-07-17T09:15:00+05:30,2.179350731625664,2.2,2.05,2.125,2.170409921598222,2.190115169191723,2.180100724444946,2.062202256778288,1.8840576657685124,NaN,NaN,2.2476948724119423,2.035504808763438,NaN,NaN,NaN,2.239223412021249,2.2,2.275,1.7375,NaN,NaN,2.3381200000000004,2.125,2.55163117445819,1.28563934200998,2.1925,2.327685058346007,2.057314941653993,1,NaN,2.179350731625664,2.2,2.05,2.125,2.1910530582950187,2.2,2.05,2.138587682906416,0,0,0,0,NaN,NaN,47.913676429554506,70,70,30,30,42.04869366343357,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4248.133333333333,2300,4248.133333333333,-10.312421212235826,-4.2327197401313885,40,40,-40,-40
2014-07-18T09:15:00+05:30,2.152175365812832,2.152175365812832,1.95,2.0625,2.134439947732148,2.1718844307357625,2.1689006554501895,2.062213932983061,1.885833211382756,1,NaN,2.2114488313112717,2.035504808763438,NaN,NaN,NaN,2.239223412021249,2.15,2.225,1.7375,NaN,NaN,2.3323576000000004,2.0548917886042775,2.55163117445819,1.28563934200998,2.1856249999999995,2.3320991871457952,2.0391508128542037,1,NaN,2.152175365812832,2.152175365812832,1.95,2.0625,2.1648203706007174,2.1648203706007174,1.95,2.079212682906416,0,0,0,0,NaN,NaN,44.18929025088386,70,70,30,30,27.565375531755492,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4302.583333333333,8457,4302.583333333333,-21.240563659576218,-9.311989988637793,40,40,-40,-40
2014-07-21T09:15:00+05:30,2.107337682906416,2.107337682906416,2.05,2.05,2.1062932984880987,2.154472369202082,2.1575767835025523,2.0617349552190194,1.8874667117670072,NaN,NaN,2.1990260053905617,2.035504808763438,NaN,NaN,NaN,2.239223412021249,2.15,2.1598104491408296,1.725,NaN,NaN,2.317063296,2.0691125609688052,2.55163117445819,1.28563934200998,2.1731249999999998,2.321085087523679,2.0251649124763205,1,NaN,2.107337682906416,2.107337682906416,2.05,2.05,2.1220165267535664,2.1220165267535664,2.05,2.078668841453208,0,0,0,0,NaN,NaN,43.46165101375843,70,70,30,30,27.973903719830105,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4303.233333333334,455,4303.233333333334,-30.267494856139148,-14.763342000285846,40,40,-40,-40
