time,open,high,low,close,MA 1,MA 2,MA 3,MA 4,MA 5,Shapes,Shapes,Range Filter,Up Trend,UpTrend Begins,Down Trend,DownTrend Begins,HalfTrend,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,ParabolicSAR,VWAP,Range Top,Range Bottom,Basis,Upper,Lower,STC Sell,STC Buy,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Buy Signal,Sell Signal,Expired Signal,Expired Signal,long Signal,Short Signal,RSI Plot,Plot,Plot,Plot,Plot,MFI Plot,Angle Follow Line,Angle Follow Line Histogram,Sell,Buy,Add Sell 1,Add Buy 1,Reduce Buy 1,Reduce Buy 2,Reduce Buy 3,Reduce Buy 4,Reduce Buy 5,Reduce Sell 1,Reduce Sell 2,Reduce Sell 3,Reduce Sell 4,Reduce Sell 5,Volume MA,Volume,Volume MA,Stochastic,EMA,Plot,Plot,Plot,Plot
2018-01-30T09:15:00+05:30,1210.125,1269,1115,1201.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1115,NaN,NaN,1118.8375,NaN,NaN,NaN,1195.0208333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1210.125,1269,1115,1201.0625,1205.59375,1269,1115,1198.796875,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10960670,NaN,NaN,NaN,40,40,-40,-40
2018-01-31T09:15:00+05:30,1205.59375,1299,1205.59375,1249.1375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1115,NaN,NaN,1110.475,NaN,NaN,1115,1251.2437499999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1205.59375,1299,1205.59375,1249.1375,1202.1953125,1299,1202.1953125,1239.83125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3002179,NaN,NaN,NaN,40,40,-40,-40
2018-02-01T09:15:00+05:30,1227.365625,1328.9,1226.6,1271.6,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1115,NaN,NaN,1119.0625,NaN,NaN,1115,1275.7,NaN,NaN,NaN,NaN,NaN,1,NaN,1227.365625,1328.9,1226.6,1271.6,1221.01328125,1328.9,1221.01328125,1263.61640625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1847017,NaN,0,NaN,40,40,-40,-40
2018-02-02T09:15:00+05:30,1249.4828125,1274.35,1199,1239.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1115,NaN,NaN,1160.875,NaN,NaN,1123.556,1237.6583333333333,NaN,NaN,NaN,NaN,NaN,1,NaN,1249.4828125,1274.35,1199,1239.625,1242.31484375,1274.35,1199,1240.614453125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,604175,NaN,0,NaN,40,40,-40,-40
2018-02-05T09:15:00+05:30,1244.55390625,1246.95,1125,1199,1232.085,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1115,NaN,NaN,1170.5375,NaN,NaN,1328.9,1190.3166666666666,NaN,NaN,NaN,NaN,NaN,1,NaN,1244.55390625,1246.95,1125,1199,1241.4646484374998,1246.95,1125,1203.8759765625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,419983,NaN,0,NaN,40,40,-40,-40
2018-02-06T09:15:00+05:30,1221.776953125,1225,1150,1190.9125,1218.3608333333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1115,NaN,NaN,1172.975,NaN,NaN,1324.8220000000001,1188.6375,NaN,NaN,NaN,NaN,NaN,1,NaN,1221.776953125,1225,1150,1190.9125,1222.6703125,1225,1150,1196.92236328125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216840,NaN,0,NaN,40,40,-40,-40
2018-02-07T09:15:00+05:30,1206.3447265625,1249,1194.8,1218.4,1218.373888888889,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1115,NaN,NaN,1173.1375,NaN,NaN,1320.8255600000002,1220.7333333333333,NaN,NaN,NaN,NaN,NaN,1,NaN,1206.3447265625,1249,1194.8,1218.4,1209.796337890625,1249,1194.8,1217.1361816406252,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,130420,NaN,0,NaN,40,40,-40,-40
2018-02-08T09:15:00+05:30,1212.37236328125,1235,1177.15,1204.775,1213.840925925926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1115,NaN,NaN,1138.9875,NaN,NaN,1316.9090488000002,1205.6416666666667,NaN,NaN,NaN,NaN,NaN,1,NaN,1212.37236328125,1235,1177.15,1204.775,1213.4662597656252,1235,1177.15,1207.3243408203125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,273312,NaN,0,NaN,40,40,-40,-40
2018-02-09T09:15:00+05:30,1208.5736816406252,1218,1172,1191.0375,1206.2397839506173,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1115,1221.95,NaN,1107.825,NaN,NaN,1313.070867824,1193.6791666666666,NaN,NaN,NaN,NaN,NaN,1,NaN,1208.5736816406252,1218,1172,1191.0375,1210.3953002929688,1218,1172,1197.4027954101562,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114219,NaN,0,NaN,40,40,-40,-40
2018-02-12T09:15:00+05:30,1199.8055908203125,1214.95,1188,1198.4,1203.6265226337448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,956.8474999999999,NaN,NaN,NaN,1115,1226.95,NaN,1106.4875,NaN,NaN,1309.30945046752,1200.45,NaN,NaN,NaN,NaN,NaN,1,NaN,1199.8055908203125,1214.95,1188,1198.4,1203.8990478515625,1214.95,1188,1200.2888977050782,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64215,NaN,0,0,40,40,-40,-40
