time,open,high,low,close,MA 1,MA 2,MA 3,MA 4,MA 5,Shapes,Shapes,Range Filter,Up Trend,UpTrend Begins,Down Trend,DownTrend Begins,HalfTrend,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,ParabolicSAR,VWAP,Range Top,Range Bottom,Basis,Upper,Lower,STC Sell,STC Buy,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Buy Signal,Sell Signal,Expired Signal,Expired Signal,long Signal,Short Signal,RSI Plot,Plot,Plot,Plot,Plot,MFI Plot,Angle Follow Line,Angle Follow Line Histogram,Sell,Buy,Add Sell 1,Add Buy 1,Reduce Buy 1,Reduce Buy 2,Reduce Buy 3,Reduce Buy 4,Reduce Buy 5,Reduce Sell 1,Reduce Sell 2,Reduce Sell 3,Reduce Sell 4,Reduce Sell 5,Volume MA,Volume,Volume MA,Stochastic,EMA,Plot,Plot,Plot,Plot
2006-11-02T09:15:00+05:30,9.4,10.25,8.8,9.4625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,NaN,NaN,10.15,NaN,NaN,NaN,9.504166666666668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4,10.25,8.8,9.4625,9.43125,10.25,8.8,9.478125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4338,NaN,NaN,NaN,40,40,-40,-40
2006-11-03T09:15:00+05:30,9.43125,10.15,9.43125,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,NaN,NaN,9.924999999999999,NaN,NaN,8.8,9.860416666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.43125,10.15,9.43125,10,9.4546875,10.15,9.43125,9.753125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10534,NaN,NaN,NaN,40,40,-40,-40
2006-11-06T09:15:00+05:30,9.715625,10.2,9.715625,10.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,NaN,NaN,9.837499999999999,NaN,NaN,8.8,9.976041666666665,NaN,NaN,NaN,NaN,NaN,1,NaN,9.715625,10.2,9.715625,10.0125,9.603906250000001,10.2,9.603906250000001,9.9109375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11942,NaN,0,NaN,40,40,-40,-40
2006-11-07T09:15:00+05:30,9.8640625,10.4,9.8640625,10.2125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,NaN,NaN,9.450000000000001,NaN,NaN,8.856,10.158854166666666,NaN,NaN,NaN,NaN,NaN,1,NaN,9.8640625,10.4,9.8640625,10.2125,9.757421875,10.4,9.757421875,10.08515625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7851,NaN,0,NaN,40,40,-40,-40
2006-11-08T09:15:00+05:30,10.03828125,10.75,9.9,10.25,9.9875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,NaN,NaN,9.475000000000001,NaN,NaN,8.94864,10.299999999999999,NaN,NaN,NaN,NaN,NaN,1,NaN,10.03828125,10.75,9.9,10.25,9.921289062500001,10.75,9.9,10.2345703125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12119,NaN,0,NaN,40,40,-40,-40
2006-11-09T09:15:00+05:30,10.144140625,10.25,9.9,10.0125,9.995833333333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,NaN,NaN,9.7,NaN,NaN,9.092748799999999,10.054166666666665,NaN,NaN,NaN,NaN,NaN,1,NaN,10.144140625,10.25,9.9,10.0125,10.077929687500001,10.25,9.9,10.07666015625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7929,NaN,0,NaN,40,40,-40,-40
2006-11-10T09:15:00+05:30,10.0783203125,11.3,9.9,10.325,10.105555555555556,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,8.8,NaN,NaN,9.725,NaN,NaN,9.225328895999999,10.508333333333335,NaN,NaN,NaN,NaN,NaN,1,NaN,10.0783203125,11.3,9.9,10.325,10.077294921875001,11.3,9.9,10.400830078125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55049,NaN,0,NaN,40,40,-40,-40
2006-11-13T09:15:00+05:30,10.20166015625,10.5,10,10.2625,10.15787037037037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,NaN,NaN,10.0375,NaN,NaN,9.432796006399998,10.254166666666666,NaN,NaN,NaN,NaN,NaN,1,NaN,10.20166015625,10.5,10,10.2625,10.239062500000001,10.5,10,10.2410400390625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8512,NaN,0,NaN,40,40,-40,-40
2006-11-14T09:15:00+05:30,10.232080078125,10.232080078125,9.9,9.975,10.096913580246913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8,10.05,NaN,10.3,NaN,NaN,9.619516405759999,10.035693359375001,NaN,NaN,NaN,NaN,NaN,1,NaN,10.232080078125,10.232080078125,9.9,9.975,10.24005126953125,10.24005126953125,9.9,10.0847900390625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8581,NaN,0,NaN,40,40,-40,-40
2006-11-15T09:15:00+05:30,10.1035400390625,10.1035400390625,9.5,9.7625,9.985442386831275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.625239257812501,NaN,NaN,NaN,8.8,10.365625000000001,NaN,10.075000000000001,NaN,NaN,11.3,9.788680013020834,NaN,NaN,NaN,NaN,NaN,1,NaN,10.1035400390625,10.1035400390625,9.5,9.7625,10.162420654296875,10.162420654296875,9.5,9.86739501953125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9416,NaN,0,0,40,40,-40,-40
