time,open,high,low,close,MA 1,MA 2,MA 3,MA 4,MA 5,Shapes,Shapes,Range Filter,Up Trend,UpTrend Begins,Down Trend,DownTrend Begins,HalfTrend,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,ParabolicSAR,VWAP,Range Top,Range Bottom,Basis,Upper,Lower,STC Sell,STC Buy,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Buy Signal,Sell Signal,Expired Signal,Expired Signal,long Signal,Short Signal,RSI Plot,Plot,Plot,Plot,Plot,MFI Plot,Angle Follow Line,Angle Follow Line Histogram,Sell,Buy,Add Sell 1,Add Buy 1,Reduce Buy 1,Reduce Buy 2,Reduce Buy 3,Reduce Buy 4,Reduce Buy 5,Reduce Sell 1,Reduce Sell 2,Reduce Sell 3,Reduce Sell 4,Reduce Sell 5,Volume MA,Volume,Volume MA,Stochastic,EMA,Plot,Plot,Plot,Plot
2021-12-14T09:15:00+05:30,591.774995,615,565.54999,591.024995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,565.54999,NaN,NaN,619.8874975,NaN,NaN,NaN,590.524995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,591.774995,615,565.54999,591.024995,591.399995,615,565.54999,590.837495,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13930950,NaN,NaN,NaN,40,40,-40,-40
2021-12-15T09:15:00+05:30,591.399995,598.79999,578,586.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,565.54999,NaN,NaN,611.1374975,NaN,NaN,615,587.8291633333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,591.399995,598.79999,578,586.6875,591.118745,598.79999,578,588.72187125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1337812,NaN,NaN,NaN,40,40,-40,-40
2021-12-16T09:15:00+05:30,589.0437475,594.5,566.09998,579.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,565.54999,NaN,NaN,609.8249975,NaN,NaN,615,579.99166,NaN,NaN,NaN,NaN,NaN,1,NaN,589.0437475,594.5,566.09998,579.375,589.920308125,594.5,566.09998,582.254681875,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,664868,NaN,0,NaN,40,40,-40,-40
2021-12-17T09:15:00+05:30,584.2093737499999,584.2093737499999,564.95001,570.8625025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,565.54999,NaN,NaN,603.9875025,NaN,NaN,613.0439992,573.3406287500001,NaN,NaN,NaN,NaN,NaN,1,NaN,584.2093737499999,584.2093737499999,564.95001,570.8625025,586.087495,586.087495,564.95001,576.057815,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,664213,NaN,0,NaN,40,40,-40,-40
2021-12-20T09:15:00+05:30,577.535938125,577.535938125,542.59998,552.4499975,576.0799989999999,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,565.54999,NaN,NaN,591.0625,NaN,NaN,610.158359848,557.5286385416666,NaN,NaN,NaN,NaN,NaN,1,NaN,577.535938125,577.535938125,542.59998,552.4499975,581.0726549999999,581.0726549999999,542.59998,562.5304634375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,790254,NaN,0,NaN,40,40,-40,-40
2021-12-21T09:15:00+05:30,564.9929678125,578.40002,552,564.26251,572.1408359999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,565.54999,NaN,NaN,586.875,NaN,NaN,604.75368946016,564.88751,NaN,NaN,NaN,NaN,NaN,1,NaN,564.9929678125,578.40002,552,564.26251,571.80155921875,578.40002,552,564.913874453125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,571786,NaN,0,NaN,40,40,-40,-40
2021-12-22T09:15:00+05:30,564.62773890625,588.95001,564.62773890625,577.3625025,573.8813915,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,565.54999,NaN,NaN,591.375,NaN,NaN,599.7813927033471,576.9800838020833,NaN,NaN,NaN,NaN,NaN,1,NaN,564.62773890625,588.95001,564.62773890625,577.3625025,568.3577168359375,588.95001,564.62773890625,573.891997578125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,302623,NaN,0,NaN,40,40,-40,-40
2021-12-23T09:15:00+05:30,570.9951207031249,587,570.04999,578.4124925,575.3917584999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,565.54999,NaN,NaN,598.01251,NaN,NaN,595.2068796870793,578.4874941666667,NaN,NaN,NaN,NaN,NaN,1,NaN,570.9951207031249,587,570.04999,578.4124925,571.1248572070313,587,570.04999,576.6144008007813,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,205315,NaN,0,NaN,40,40,-40,-40
2021-12-24T09:15:00+05:30,574.7038066015625,577.29999,565.59998,572.0999925,574.2945031666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,565.54999,578.79999,NaN,592.287505,NaN,NaN,590.998327712113,571.6666541666667,NaN,NaN,NaN,NaN,NaN,1,NaN,574.7038066015625,577.29999,565.59998,572.0999925,573.8696290039063,577.29999,565.59998,572.4259422753906,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148467,NaN,0,NaN,40,40,-40,-40
2021-12-27T09:15:00+05:30,573.4018995507813,573.4018995507813,563.09998,567.649995,572.079667111111,NaN,NaN,NaN,NaN,1,NaN,NaN,495.0517485976562,NaN,NaN,NaN,565.54999,570.699985,NaN,589.024995,NaN,NaN,587.126459895144,568.0506248502604,NaN,NaN,NaN,NaN,NaN,1,NaN,573.4018995507813,573.4018995507813,563.09998,567.649995,573.1477856396484,573.4018995507813,563.09998,569.3884435253906,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,218861,NaN,0,0,40,40,-40,-40
2021-12-28T09:15:00+05:30,570.5259472753906,578,567,572.2624975,572.140610574074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,503.320727940039,NaN,NaN,NaN,565.54999,568.54999,NaN,593.6624925,NaN,NaN,583.5643415035324,572.4208325,NaN,NaN,NaN,NaN,NaN,1,NaN,570.5259472753906,578,567,572.2624975,571.2681145825195,578,567,571.9471111938476,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235878,NaN,0,0,40,40,-40,-40
2021-12-29T09:15:00+05:30,571.3942223876953,602.04999,568.20001,580.875,575.0520737160493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512.7086611460352,NaN,NaN,NaN,565.54999,572.324985,NaN,589.6374975,NaN,NaN,542.59998,583.7083333333334,NaN,NaN,NaN,NaN,NaN,1,NaN,571.3942223876953,602.04999,568.20001,580.875,571.6076128881836,602.04999,568.20001,580.6298055969238,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,373429,NaN,0,0,40,40,-40,-40
2021-12-30T09:15:00+05:30,576.1346111938476,605,576.1346111938476,587.76251,579.2888858106995,575.4682688461538,NaN,NaN,NaN,NaN,NaN,NaN,516.7329839865097,NaN,NaN,NaN,565.54999,573.79999,NaN,584.8874975,NaN,NaN,543.7889802,589.6323737312825,NaN,NaN,NaN,NaN,NaN,1,NaN,576.1346111938476,605,576.1346111938476,587.76251,576.1187092425537,605,576.1187092425537,586.2579330969238,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,637277,NaN,0,0,40,40,-40,-40
2021-12-31T09:15:00+05:30,581.9485605969238,606,581.9485605969238,591.8625025,583.4800913737997,577.8103022252747,NaN,NaN,NaN,NaN,NaN,NaN,520.3079590281664,NaN,NaN,NaN,565.54999,579,NaN,585.01251,NaN,NaN,546.237420992,593.2703543656413,NaN,NaN,NaN,NaN,NaN,1,NaN,581.9485605969238,606,581.9485605969238,591.8625025,581.1883211697387,606,581.1883211697387,590.439905923462,0,0,0,0,NaN,NaN,NaN,70,70,30,30,48.44342042016632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,383891,NaN,9.908801781342595,3.6032006477609437,40,40,-40,-40
