time,open,high,low,close,MA 1,MA 2,MA 3,MA 4,MA 5,Shapes,Shapes,Range Filter,Up Trend,UpTrend Begins,Down Trend,DownTrend Begins,HalfTrend,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,ParabolicSAR,VWAP,Range Top,Range Bottom,Basis,Upper,Lower,STC Sell,STC Buy,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Buy Signal,Sell Signal,Expired Signal,Expired Signal,long Signal,Short Signal,RSI Plot,Plot,Plot,Plot,Plot,MFI Plot,Angle Follow Line,Angle Follow Line Histogram,Sell,Buy,Add Sell 1,Add Buy 1,Reduce Buy 1,Reduce Buy 2,Reduce Buy 3,Reduce Buy 4,Reduce Buy 5,Reduce Sell 1,Reduce Sell 2,Reduce Sell 3,Reduce Sell 4,Reduce Sell 5,Volume MA,Volume,Volume MA,Stochastic,EMA,Plot,Plot,Plot,Plot
2017-03-28T09:15:00+05:30,110.1,114.95,103.95,109.775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.95,NaN,NaN,164.462495,NaN,NaN,NaN,109.55833333333335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110.1,114.95,103.95,109.775,109.9375,114.95,103.95,109.69375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201010,NaN,NaN,NaN,40,40,-40,-40
2017-03-29T09:15:00+05:30,109.9375,109.9375,100,104.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.95,NaN,NaN,164.7249975,NaN,NaN,114.95,104.75416666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109.9375,109.9375,100,104.325,109.815625,109.9375,100,106.05,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,241882,NaN,NaN,NaN,40,40,-40,-40
2017-03-30T09:15:00+05:30,107.13125,113,101.65,106.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.95,NaN,NaN,160.7249975,NaN,NaN,114.95,107.175,NaN,NaN,NaN,NaN,NaN,1,NaN,107.13125,113,101.65,106.875,107.9328125,113,101.65,107.1640625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,878640,NaN,0,NaN,40,40,-40,-40
2017-03-31T09:15:00+05:30,107.003125,123,107.003125,117.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.95,NaN,NaN,161.4875025,NaN,NaN,100,115.89687500000001,NaN,NaN,NaN,NaN,NaN,1,NaN,107.003125,123,107.003125,117.6875,107.5484375,123,107.003125,113.6734375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,733527,NaN,0,NaN,40,40,-40,-40
2017-04-03T09:15:00+05:30,112.3453125,131.75,112.3453125,125.175,112.7675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.95,NaN,NaN,166.800005,NaN,NaN,100.46,123.09010416666666,NaN,NaN,NaN,NaN,NaN,1,NaN,112.3453125,131.75,112.3453125,125.175,110.6109375,131.75,110.6109375,120.40390625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,737644,NaN,0,NaN,40,40,-40,-40
2017-04-05T09:15:00+05:30,118.76015625,133.89999,118.76015625,129.7749975,118.43666583333334,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,103.95,NaN,NaN,172.2249975,NaN,NaN,101.71159999999999,127.47838125,NaN,NaN,NaN,NaN,NaN,1,NaN,118.76015625,133.89999,118.76015625,129.7749975,115.507421875,133.89999,115.507421875,125.298825,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1355933,NaN,0,NaN,40,40,-40,-40
2017-04-06T09:15:00+05:30,124.267576875,130.10001,124.267576875,127.62500499999999,121.49944555555555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.95,NaN,NaN,170.9625025,NaN,NaN,103.6429034,127.33086395833334,NaN,NaN,NaN,NaN,NaN,1,NaN,124.267576875,130.10001,124.267576875,127.62500499999999,120.4031234375,130.10001,120.4031234375,126.5650421875,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,905768,NaN,0,NaN,40,40,-40,-40
2017-04-07T09:15:00+05:30,125.9462909375,131.5,125.9462909375,128.2625,123.75379703703703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.95,NaN,NaN,167,NaN,NaN,105.458328596,128.56959697916668,NaN,NaN,NaN,NaN,NaN,1,NaN,125.9462909375,131.5,125.9462909375,128.2625,123.48408281249999,131.5,123.48408281249999,127.91377046875,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,820123,NaN,0,NaN,40,40,-40,-40
2017-04-10T09:15:00+05:30,127.10439546875,134.10001,126.3,129.0875025,125.53169885802468,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,103.95,117.050005,NaN,167.46249749999998,NaN,NaN,107.16482828024,129.82917083333334,NaN,NaN,NaN,NaN,NaN,1,NaN,127.10439546875,134.10001,126.3,129.0875025,125.69892664062499,134.10001,125.69892664062499,129.1479769921875,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,718482,NaN,0,NaN,40,40,-40,-40
2017-04-11T09:15:00+05:30,128.095948984375,129.39999,126.15,127.48749749999999,126.18363173868312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.15704596875001,NaN,NaN,NaN,103.95,117.050005,NaN,164.925,NaN,NaN,109.3196428178208,127.6791625,NaN,NaN,NaN,NaN,NaN,1,NaN,128.095948984375,129.39999,126.15,127.48749749999999,127.42345181640624,129.39999,126.15,127.78335912109375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,621038,NaN,0,0,40,40,-40,-40
