time,open,high,low,close,EMA50,EMA200,VWAP,PEMA-Short,PEMA-Medium,PEMA-Long,Major Trend,Mid Trend,Minor Trend,,UT2,TRB,TC,PUT,PUC,ND,ND,NS,LVT,ST,ST1,ST2,ST3,ST4,SV,EU,EUF,ED,EDF,RUT,BCE1,SCE,SCE,BC,BC,SC,SC,TB,TB,TB,TB,,Strength band,Period High,Period Low,HV - High,HV - Low,MA 1,MA 2,MA 3,MA 4,MA 5,Shapes,Shapes,Range Filter,Up Trend,UpTrend Begins,Down Trend,DownTrend Begins,HalfTrend,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,ParabolicSAR,VWAP,Range Top,Range Bottom,Basis,Upper,Lower,STC Sell,STC Buy,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Buy Signal,Sell Signal,Expired Signal,Expired Signal,long Signal,Short Signal,RSI Plot,Plot,Plot,Plot,Plot,MFI Plot,Angle Follow Line,Angle Follow Line Histogram,Sell,Buy,Add Sell 1,Add Buy 1,Reduce Buy 1,Reduce Buy 2,Reduce Buy 3,Reduce Buy 4,Reduce Buy 5,Reduce Sell 1,Reduce Sell 2,Reduce Sell 3,Reduce Sell 4,Reduce Sell 5,Volume MA,Volume,Volume MA,Stochastic,EMA,Plot,Plot,Plot,Plot
2023-11-15T09:15:00+05:30,306.7,316.70001,303.29999,308.35,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,303.29999,NaN,NaN,277.4124975,NaN,NaN,NaN,309.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,306.7,316.70001,303.29999,308.35,307.525,316.70001,303.29999,308.76250000000005,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21693577,NaN,NaN,NaN,40,40,-40,-40
2023-11-16T09:15:00+05:30,307.525,319.70001,307.525,315.38750500000003,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,303.29999,NaN,NaN,280.3625025,NaN,NaN,303.29999,314.2041716666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,307.525,319.70001,307.525,315.38750500000003,308.14375,319.70001,307.525,312.53437875,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4725578,NaN,NaN,NaN,40,40,-40,-40
2023-11-17T09:15:00+05:30,311.4562525,318.79999,306.20001,311.7874975,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,303.29999,NaN,NaN,279.2250075,NaN,NaN,303.29999,312.26249916666666,NaN,NaN,NaN,NaN,NaN,1,NaN,311.4562525,318.79999,306.20001,311.7874975,310.339064375,318.79999,306.20001,312.0609375,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2579193,NaN,0,NaN,40,40,-40,-40
2023-11-20T09:15:00+05:30,311.621875,311.621875,292.35001,303.51250500000003,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,303.29999,NaN,NaN,282.2875,NaN,NaN,319.70001,302.4947966666667,NaN,NaN,NaN,NaN,NaN,1,NaN,311.621875,311.621875,292.35001,303.51250500000003,311.2000009375,311.621875,292.35001,304.77656625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2760212,NaN,0,NaN,40,40,-40,-40
2023-11-21T09:15:00+05:30,307.56719,307.56719,297.70001,301.4499975,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,308.097501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,303.29999,NaN,NaN,288.875,NaN,NaN,319.15301,302.2390658333333,NaN,NaN,NaN,NaN,NaN,1,NaN,307.56719,307.56719,297.70001,301.4499975,307.98828359375,307.98828359375,297.70001,303.57109687499997,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1936376,NaN,0,NaN,40,40,-40,-40
2023-11-22T09:15:00+05:30,304.50859375,304.50859375,290,295.3499975,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,303.8483331666667,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,303.29999,NaN,NaN,290.1624925,NaN,NaN,318.61695,296.6195304166667,NaN,NaN,NaN,NaN,NaN,1,NaN,304.50859375,304.50859375,290,295.3499975,305.779690234375,305.779690234375,290,298.59179625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,894399,NaN,0,NaN,40,40,-40,-40
2023-11-23T09:15:00+05:30,299.929295625,302.10001,291.29999,294.8875,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,300.8613887777778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,303.29999,NaN,NaN,287.9375,NaN,NaN,317.472272,296.0958333333333,NaN,NaN,NaN,NaN,NaN,1,NaN,299.929295625,302.10001,291.29999,294.8875,302.1857432421875,302.1857432421875,291.29999,297.05419890625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1042513,NaN,0,NaN,40,40,-40,-40
2023-11-24T09:15:00+05:30,297.40839781249997,297.40839781249997,293.10001,294.6624975,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,298.7950916851852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,303.29999,NaN,NaN,286.0500025,NaN,NaN,316.37338112,295.05696843749996,NaN,NaN,NaN,NaN,NaN,1,NaN,297.40839781249997,297.40839781249997,293.10001,294.6624975,299.61997107421877,299.61997107421877,293.10001,295.64482578125,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,353653,NaN,0,NaN,40,40,-40,-40
2023-11-28T09:15:00+05:30,296.03544765624997,302.14999,295.04999,297.6624975,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,298.41756029012345,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,303.29999,304.850005,NaN,286.4625025,NaN,NaN,315.3184458752,298.2874925,NaN,NaN,NaN,NaN,NaN,1,NaN,296.03544765624997,302.14999,295.04999,297.6624975,297.6323984277344,302.14999,295.04999,297.7244812890625,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,728239,NaN,0,NaN,40,40,-40,-40
2023-11-29T09:15:00+05:30,296.848972578125,299.64999,293,296.2499975,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,297.6950393600823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,262.95474653125,NaN,NaN,NaN,303.29999,304.850005,NaN,288.275,NaN,NaN,314.305708040192,296.2999958333333,NaN,NaN,NaN,NaN,NaN,1,NaN,296.848972578125,299.64999,293,296.2499975,297.67843985839846,299.64999,293,296.43724001953126,0,0,0,0,NaN,NaN,NaN,70,70,30,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,668376,NaN,0,0,40,40,-40,-40
